horizon_step,physical_time,truth_modal_tie_rate,dense_modal_tie_rate,sparse_modal_tie_rate,persistence_modal_tie_rate
1,0.10000000000000001,0.020833333333333332,0.010937500000000001,0.010416666666666668,0.018229166666666668
2,0.20000000000000001,0.016927083333333332,0.010807291666666666,0.010937499999999999,0.018229166666666668
3,0.30000000000000004,0.018229166666666668,0.009244791666666665,0.011848958333333333,0.018229166666666668
4,0.40000000000000002,0.020833333333333332,0.0092447916666666668,0.011588541666666667,0.018229166666666668
5,0.5,0.018229166666666668,0.010677083333333334,0.010677083333333334,0.018229166666666668
6,0.60000000000000009,0.018229166666666668,0.010286458333333333,0.012239583333333333,0.018229166666666668
7,0.70000000000000007,0.014322916666666666,0.0097656249999999983,0.012890624999999999,0.018229166666666668
8,0.80000000000000004,0.016927083333333332,0.010026041666666667,0.011588541666666665,0.018229166666666668
9,0.90000000000000002,0.015625,0.0095052083333333343,0.011328125,0.018229166666666668
10,1,0.010416666666666666,0.011588541666666667,0.010677083333333334,0.018229166666666668
11,1.1000000000000001,0.01171875,0.011197916666666665,0.010286458333333335,0.018229166666666668
12,1.2000000000000002,0.01171875,0.010937499999999999,0.0088541666666666664,0.018229166666666668
13,1.3,0.022135416666666668,0.010156249999999999,0.008984375000000001,0.018229166666666668
14,1.4000000000000001,0.014322916666666666,0.010677083333333334,0.0089843749999999993,0.018229166666666668
15,1.5,0.015625,0.010026041666666667,0.0091145833333333339,0.018229166666666668
16,1.6000000000000001,0.013020833333333334,0.010156249999999999,0.0095052083333333325,0.018229166666666668
17,1.7000000000000002,0.018229166666666668,0.010026041666666667,0.0089843749999999993,0.018229166666666668
18,1.8,0.016927083333333332,0.009244791666666665,0.0082031250000000003,0.018229166666666668
19,1.9000000000000001,0.016927083333333332,0.0088541666666666664,0.0085937500000000007,0.018229166666666668
20,2,0.018229166666666668,0.0085937500000000007,0.0098958333333333346,0.018229166666666668
21,2.1000000000000001,0.020833333333333332,0.0082031250000000003,0.0088541666666666664,0.018229166666666668
22,2.2000000000000002,0.022135416666666668,0.0095052083333333308,0.0079427083333333329,0.018229166666666668
23,2.3000000000000003,0.024739583333333332,0.0095052083333333343,0.0091145833333333339,0.018229166666666668
24,2.4000000000000004,0.014322916666666666,0.0091145833333333322,0.0089843749999999993,0.018229166666666668
25,2.5,0.014322916666666666,0.0093749999999999997,0.0087239583333333336,0.018229166666666668
26,2.6000000000000001,0.016927083333333332,0.010546875000000001,0.0093749999999999997,0.018229166666666668
27,2.7000000000000002,0.010416666666666666,0.011328125,0.010416666666666668,0.018229166666666668
28,2.8000000000000003,0.01171875,0.010026041666666666,0.010156250000000002,0.018229166666666668
29,2.9000000000000004,0.016927083333333332,0.0089843749999999993,0.010937499999999999,0.018229166666666668
30,3,0.0234375,0.010546875000000001,0.010546875000000001,0.018229166666666668
31,3.1000000000000001,0.024739583333333332,0.0095052083333333343,0.010677083333333334,0.018229166666666668
32,3.2000000000000002,0.01953125,0.0097656250000000017,0.0093749999999999997,0.018229166666666668
33,3.3000000000000003,0.022135416666666668,0.010286458333333331,0.0079427083333333329,0.018229166666666668
34,3.4000000000000004,0.022135416666666668,0.010807291666666666,0.0084635416666666661,0.018229166666666668
