metric_order,metric_name,family,direction,horizon_step,physical_time,dense_instantaneous,sparse_instantaneous,persistence_instantaneous,dense_cumulative,sparse_cumulative,persistence_cumulative
0,nearest_well_pixel_disagreement,phase_assignment,lower,1,0.10000000000000001,0.24171193440755206,0.22270812988281249,0.014806111653645834,0.24171193440755206,0.22270812988281249,0.014806111653645834
0,nearest_well_pixel_disagreement,phase_assignment,lower,2,0.20000000000000001,0.23623860677083336,0.21744689941406251,0.023152669270833332,0.23897527058919271,0.2200775146484375,0.018979390462239582
0,nearest_well_pixel_disagreement,phase_assignment,lower,3,0.30000000000000004,0.23078816731770835,0.21225077311197915,0.030970255533854168,0.23624623616536464,0.21746860080295138,0.022976345486111108
0,nearest_well_pixel_disagreement,phase_assignment,lower,4,0.40000000000000002,0.22488861083984374,0.2066045125325521,0.039250691731770836,0.23340682983398434,0.21475257873535156,0.027044932047526043
0,nearest_well_pixel_disagreement,phase_assignment,lower,5,0.5,0.21884918212890625,0.2006678263346354,0.047648111979166664,0.23049530029296875,0.21193562825520837,0.031165568033854164
0,nearest_well_pixel_disagreement,phase_assignment,lower,6,0.60000000000000009,0.21276550292968749,0.19497273763020834,0.056218465169270836,0.22754033406575522,0.20910847981770836,0.035341050889756948
0,nearest_well_pixel_disagreement,phase_assignment,lower,7,0.70000000000000007,0.20655263264973955,0.18903299967447917,0.065022786458333329,0.22454209100632441,0.20624055408296127,0.039581298828125
0,nearest_well_pixel_disagreement,phase_assignment,lower,8,0.80000000000000004,0.20001373291015626,0.18296508789062499,0.074320475260416671,0.22147604624430337,0.2033311208089193,0.043923695882161461
0,nearest_well_pixel_disagreement,phase_assignment,lower,9,0.90000000000000002,0.19396107991536457,0.17729339599609378,0.083185831705729171,0.2184188277633102,0.20043804027416087,0.04828615541811343
0,nearest_well_pixel_disagreement,phase_assignment,lower,10,1,0.18775075276692707,0.17147521972656249,0.092366536458333329,0.21535202026367184,0.19754175821940106,0.052694193522135412
0,nearest_well_pixel_disagreement,phase_assignment,lower,11,1.1000000000000001,0.18179880777994792,0.16587270100911455,0.10140482584635417,0.21230172821969698,0.19466275301846586,0.05712243282433712
0,nearest_well_pixel_disagreement,phase_assignment,lower,12,1.2000000000000002,0.17662099202473955,0.16121826171875003,0.10979715983072917,0.20932833353678387,0.19187571207682291,0.061511993408203125
0,nearest_well_pixel_disagreement,phase_assignment,lower,13,1.3,0.17141469319661459,0.15648905436197916,0.118194580078125,0.20641189966446319,0.18915366148337343,0.0658721923828125
0,nearest_well_pixel_disagreement,phase_assignment,lower,14,1.4000000000000001,0.16656443277994795,0.15209859212239585,0.12653096516927084,0.20356565202985491,0.18650687081473216,0.070204961867559521
0,nearest_well_pixel_disagreement,phase_assignment,lower,15,1.5,0.16202545166015625,0.14801991780598961,0.1344451904296875,0.20079630533854168,0.18394107394748266,0.074487643771701403
0,nearest_well_pixel_disagreement,phase_assignment,lower,16,1.6000000000000001,0.15763753255208332,0.14408416748046876,0.14206949869791666,0.198098882039388,0.1814500172932943,0.078711509704589844
0,nearest_well_pixel_disagreement,phase_assignment,lower,17,1.7000000000000002,0.15379435221354165,0.14083099365234375,0.1493072509765625,0.19549273322610294,0.17906066296147366,0.082864200367647065
0,nearest_well_pixel_disagreement,phase_assignment,lower,18,1.8,0.1502360026041667,0.13771158854166668,0.15639750162760416,0.19297847041377311,0.17676349216037326,0.086949383770978009
0,nearest_well_pixel_disagreement,phase_assignment,lower,19,1.9000000000000001,0.14678599039713541,0.13471527099609376,0.16320292154947916,0.19054728725500275,0.17455042788856909,0.090962727864583329
0,nearest_well_pixel_disagreement,phase_assignment,lower,20,2,0.14350280761718751,0.13183746337890626,0.1699371337890625,0.18819506327311197,0.17241477966308588,0.09491144816080728
0,nearest_well_pixel_disagreement,phase_assignment,lower,21,2.1000000000000001,0.14036712646484378,0.12908274332682296,0.17622884114583334,0.18591754247271824,0.17035134936135912,0.098783704969618039
0,nearest_well_pixel_disagreement,phase_assignment,lower,22,2.2000000000000002,0.13747711181640626,0.12651468912760416,0.18253072102864584,0.18371570471561316,0.16835877389618847,0.10259038751775568
0,nearest_well_pixel_disagreement,phase_assignment,lower,23,2.3000000000000003,0.13489990234374999,0.1242441813151042,0.1887359619140625,0.18159327852553217,0.16644074813179349,0.10633584727411684
0,nearest_well_pixel_disagreement,phase_assignment,lower,24,2.4000000000000004,0.13235168457031249,0.12216389973958333,0.19461568196614584,0.17954154544406467,0.1645958794487847,0.11001417371961804
0,nearest_well_pixel_disagreement,phase_assignment,lower,25,2.5,0.13007253011067707,0.12017974853515626,0.20053609212239584,0.17756278483072915,0.16281923421223959,0.11363505045572915
0,nearest_well_pixel_disagreement,phase_assignment,lower,26,2.6000000000000001,0.12790730794270833,0.1181391398111979,0.206085205078125,0.1756529587965745,0.16110076904296877,0.11719082563351362
0,nearest_well_pixel_disagreement,phase_assignment,lower,27,2.7000000000000002,0.12559254964192709,0.1161565144856771,0.21177164713541666,0.17379886956862461,0.15943616702232832,0.120693819022473
0,nearest_well_pixel_disagreement,phase_assignment,lower,28,2.8000000000000003,0.12340647379557293,0.11423187255859375,0.2171630859375,0.17199914114815845,0.15782172793433774,0.12413914998372395
0,nearest_well_pixel_disagreement,phase_assignment,lower,29,2.9000000000000004,0.12151692708333332,0.11248524983723959,0.22214253743489584,0.17025837514592315,0.15625840110340339,0.12751857713721262
0,nearest_well_pixel_disagreement,phase_assignment,lower,30,3,0.11977691650390625,0.11095021565755207,0.22718302408854166,0.16857565985785591,0.15474812825520834,0.13084072536892363
