metric_order,metric_name,family,direction,model_seed,dense_h200_cumulative,sparse_h200_cumulative,oriented_absolute_improvement,sparse_better
0,nearest_well_pixel_disagreement,phase_assignment,lower,64,0.095690739949544287,0.090666249593098949,0.005024490356445338,true
0,nearest_well_pixel_disagreement,phase_assignment,lower,65,0.094381434122721361,0.086869277954101556,0.0075121561686198046,true
0,nearest_well_pixel_disagreement,phase_assignment,lower,66,0.094778035481770842,0.087357025146484371,0.0074210103352864709,true
0,nearest_well_pixel_disagreement,phase_assignment,lower,67,0.091352920532226559,0.094013570149739586,-0.0026606496175130279,false
0,nearest_well_pixel_disagreement,phase_assignment,lower,68,0.091793492635091137,0.088498611450195316,0.0032948811848958204,true
0,nearest_well_pixel_disagreement,phase_assignment,lower,69,0.096625111897786456,0.089539362589518223,0.0070857493082682327,true
0,nearest_well_pixel_disagreement,phase_assignment,lower,70,0.092703501383463546,0.089734395345052079,0.0029691060384114676,true
0,nearest_well_pixel_disagreement,phase_assignment,lower,71,0.089963506062825507,0.089026209513346347,0.00093729654947916075,true
0,nearest_well_pixel_disagreement,phase_assignment,lower,72,0.099041417439778637,0.093705393473307308,0.0053360239664713288,true
0,nearest_well_pixel_disagreement,phase_assignment,lower,73,0.096044921874999981,0.089549916585286451,0.0064950052897135291,true
1,modal_well_accuracy,phase_assignment,higher,64,0.91456380208333332,0.91111328124999991,-0.0034505208333334147,false
1,modal_well_accuracy,phase_assignment,higher,65,0.91204427083333328,0.91952473958333336,0.0074804687500000799,true
1,modal_well_accuracy,phase_assignment,higher,66,0.92437499999999995,0.92953125000000014,0.0051562500000001954,true
1,modal_well_accuracy,phase_assignment,higher,67,0.92396484374999999,0.90448567708333327,-0.019479166666666714,false
1,modal_well_accuracy,phase_assignment,higher,68,0.88888020833333325,0.89873046875000007,0.0098502604166668117,true
1,modal_well_accuracy,phase_assignment,higher,69,0.8972070312499999,0.92518880208333343,0.02798177083333353,true
1,modal_well_accuracy,phase_assignment,higher,70,0.91642578124999996,0.9082877604166667,-0.0081380208333332593,false
1,modal_well_accuracy,phase_assignment,higher,71,0.90257161458333324,0.90249999999999997,-7.16145833332682e-05,false
1,modal_well_accuracy,phase_assignment,higher,72,0.89784505208333343,0.88751302083333339,-0.01033203125000004,false
1,modal_well_accuracy,phase_assignment,higher,73,0.89627604166666675,0.91083984374999993,0.014563802083333188,true
