arm,target_size,b_proxy,n_runs,m1_local_fit_nrmse_1_step_mean,m1_local_fit_nrmse_1_step_std,m1_local_fit_nrmse_1_step_ci_low,m1_local_fit_nrmse_1_step_ci_high,m1_local_fit_nrmse_h_step_mean,m1_local_fit_nrmse_h_step_std,m1_local_fit_nrmse_h_step_ci_low,m1_local_fit_nrmse_h_step_ci_high,m2_lqr_feasibility_rate_mean,m2_lqr_feasibility_rate_std,m2_lqr_feasibility_rate_ci_low,m2_lqr_feasibility_rate_ci_high,m3_closed_loop_stability_rate_mean,m3_closed_loop_stability_rate_std,m3_closed_loop_stability_rate_ci_low,m3_closed_loop_stability_rate_ci_high,m4_closed_loop_cost_reduction_mean,m4_closed_loop_cost_reduction_std,m4_closed_loop_cost_reduction_ci_low,m4_closed_loop_cost_reduction_ci_high,m4_recovery_success_rate_mean,m4_recovery_success_rate_std,m4_recovery_success_rate_ci_low,m4_recovery_success_rate_ci_high
ah_prag_no_excl,128,8,8,0.029304067587353412,0.002625410111500707,0.027559224923179033,0.03108555902202726,0.3517013274777539,0.04789087820673177,0.3210917336031301,0.38356892382501584,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8208961138468416,0.02570047986301732,0.8040227304993557,0.8373953991907935,0.4609375,0.07041318436065817,0.41893310546875,0.509765625
ah_prag_no_excl,128,13,8,0.03201003504543192,0.002309458083182634,0.03041906351268905,0.033497429768917994,0.5790020606840175,0.2588984528251999,0.45726522333047637,0.7654505934899815,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.7900456005685423,0.03549279375105699,0.7648438680135736,0.8114201536558677,0.5243389423076923,0.09773711518804441,0.4625901442307692,0.5874399038461539
ah_prag_no_excl,128,20,8,0.03840183687392937,0.004232139255742861,0.03591941430001348,0.041414834577381196,3.581697548465768,8.083509029580336,0.606577618682625,9.341659258730257,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8429935060214404,0.019874888250760867,0.8299657106200719,0.8558863173873104,0.7355674342105263,0.04023137407478265,0.7089946546052632,0.7589549496299343
ah_prag_no_excl,256,8,8,0.02742415692402264,0.0031153512464023583,0.02556188933359695,0.029465244918927963,0.282243464893243,0.02008247260311725,0.2698216894333892,0.295514085903731,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8299155414501007,0.014805960492064415,0.8207506277685954,0.8395929264509017,0.359130859375,0.03761893892646157,0.3330078125,0.38184204101562497
ah_prag_no_excl,256,13,8,0.029777791690713477,0.002755979404290912,0.028005925458134222,0.03154766006961657,1.4950383797804108,2.520365856354621,0.372673317703066,3.3011768398096106,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8070710277254715,0.023866413651796543,0.791242034714219,0.8220089956781182,0.48046875,0.06465136457990298,0.44666090745192305,0.52509765625
ah_prag_no_excl,256,20,8,0.036444427493536095,0.0045131197810986965,0.03389929354923153,0.03957405455120367,36.69996974917801,98.40976751899761,0.7175087052475242,106.61531080319241,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8482454981051866,0.013112676039737077,0.8399182480152859,0.8571177235462627,0.70029296875,0.04732657761849299,0.66923583984375,0.7270532226562499
ah_prag_no_excl,512,8,8,0.02654112482413161,0.003476986711984392,0.024317680329699016,0.02896061644285486,0.28510638971919566,0.028121254073695746,0.267069928776857,0.30324494267173596,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8165041682867914,0.02297167636440872,0.8005618635926108,0.8301521371741863,0.38720703125,0.07128810695298934,0.34765625,0.43848266601562497
ah_prag_no_excl,512,13,8,0.0289078281278908,0.0031508652251583677,0.026909345837592146,0.030997087016774942,2.600460274664131,5.2834491114714925,0.46199037303423185,6.394229442203844,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8048544240718585,0.007215684504909564,0.8002948740050291,0.8093562298667359,0.46334134615384615,0.08028116124605054,0.4112041766826923,0.513671875
ah_prag_no_excl,512,20,8,0.03607613898475588,0.006098660730048789,0.032484164757172265,0.040276990935737104,7.100011293549376,15.206034301321223,0.9495652667386502,18.084759759008005,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8464384921448218,0.010569086555725329,0.8398499061088069,0.8533534893313638,0.74443359375,0.022505415007495373,0.73007080078125,0.75908203125
bd_c2,128,8,8,0.045015612518746445,0.03681202205853298,0.03020795773142408,0.07171107323477567,0.5768865711801577,0.3077817001624317,0.3832392080745983,0.787699333649744,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8193727802760372,0.019123181679213334,0.8064961319241248,0.8324301266269633,0.609375,0.21148706930377775,0.48607177734375,0.7580627441406249
bd_c2,128,13,8,0.06874741889570657,0.09725531637224752,0.03298100574687094,0.13819942336491395,14.023521168685157,37.47567287806278,0.5405815100591909,40.609695849199184,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.7421091360445234,0.1319351814216366,0.6455486948399963,0.805342196909763,0.6323617788461539,0.15713958185708282,0.5531775841346155,0.7484975961538461
bd_c2,128,20,8,0.18490342297168477,0.31660775905358707,0.03697282655317763,0.40789410668900383,1585.0162164516971,4477.220589316965,1.2343603155033058,4751.208759843444,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8437260910412192,0.015839433343556426,0.8326966510416615,0.8540400089767018,0.8301306652046784,0.1302444252438526,0.7509645696271929,0.9161912349232455
bd_c2,256,8,8,0.07739155159855227,0.12310240813406197,0.029829333059052984,0.16615774287201293,0.6399456886362214,0.36281727960983884,0.4165681005291527,0.8770347099597466,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.7671781997487584,0.17409744582092315,0.6398882355502732,0.8489039123589469,0.559326171875,0.31337582608291836,0.348876953125,0.7524475097656249
bd_c2,256,13,8,0.15877554994559923,0.1885934597268548,0.052880504191679154,0.2904177625143656,1.2165352427713696,1.075420455757073,0.6055414412551985,1.9578709201074511,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.6839359544254152,0.23747134545951545,0.5098440359829769,0.8255047313600322,0.6630108173076923,0.3042924024497639,0.4517690805288461,0.8509615384615384
bd_c2,256,20,8,0.27635589049624465,0.33650129382305893,0.09679716868063848,0.5067859220956253,3.463374969662658,5.706452538480531,0.6946818949716529,7.524764755997489,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8408002691271147,0.02363050050457183,0.8228056124528489,0.8586147620452683,0.8339329769736842,0.1641221038905537,0.7241416529605263,0.9381167763157895
bd_c2,512,8,8,0.17685002828872354,0.26001404272660156,0.032541901785433966,0.3611928276113083,0.8415510215937765,1.0219232469079897,0.35881850289589584,1.5607040226505593,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8350589917384007,0.07199648319230842,0.7847212254525845,0.8897744115894578,0.705322265625,0.27258004409070113,0.53271484375,0.88427734375
bd_c2,512,13,8,0.17506303668584855,0.1848520843390687,0.06893506273987915,0.2965022347442079,5.215388888435834,11.926686329936128,0.7891474916415678,13.736272595568737,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,-116.75701116536193,288.1632599892451,-352.0480118078272,0.9249704269442529,0.8291766826923077,0.26951763494377556,0.6338604266826924,0.9752103365384616
bd_c2,512,20,8,0.20573362992948493,0.29224749177884324,0.05357380590474712,0.4130150757440867,10.841865612429892,25.941617557786646,0.7935978354637754,29.38168270959978,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9026087673259368,0.044462238773821966,0.871315157419573,0.9342427510245533,0.9216468330753353,0.12518014089116378,0.8273961255966202,0.9919562290376677
ah_prag_no_excl,all,all,72,0.03165415639464058,0.005411732295583522,0.03047773646552111,0.0328444327787476,5.886136720934657,33.350697665637576,1.0700681423695826,14.302251884630495,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.822996041357895,0.02772385488828985,0.8162903850341755,0.8289273731527292,0.5395242695330071,0.15353315014073837,0.5019893864173907,0.5752298002461833
bd_c2,all,all,72,0.1520929045922879,0.22492401434732864,0.10297427866495146,0.2053732838895013,180.20392062389914,1492.2206022569144,1.9631021776771944,534.1769024294529,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,-10.763756456480802,90.36520518350697,-33.92210030497599,0.8279938894060023,0.7315870212888724,0.24530892294897336,0.6762827852888496,0.7831105540385945
