system,Dense_H5000,Dense_H10000,Dense_H20000,Dense_H30000,Dense_H40000,Dense_H50000,Dense_H60000,LISTA-D_n,LISTA-D_H5000,LISTA-D_ratio_H5000,LISTA-D_H10000,LISTA-D_ratio_H10000,LISTA-D_H20000,LISTA-D_ratio_H20000,LISTA-D_H30000,LISTA-D_ratio_H30000,LISTA-D_H40000,LISTA-D_ratio_H40000,LISTA-D_H50000,LISTA-D_ratio_H50000,LISTA-D_H60000,LISTA-D_ratio_H60000,LISTA-BD_n,LISTA-BD_H5000,LISTA-BD_ratio_H5000,LISTA-BD_H10000,LISTA-BD_ratio_H10000,LISTA-BD_H20000,LISTA-BD_ratio_H20000,LISTA-BD_H30000,LISTA-BD_ratio_H30000,LISTA-BD_H40000,LISTA-BD_ratio_H40000,LISTA-BD_H50000,LISTA-BD_ratio_H50000,LISTA-BD_H60000,LISTA-BD_ratio_H60000,Sparse MLP_n,Sparse MLP_H5000,Sparse MLP_ratio_H5000,Sparse MLP_H10000,Sparse MLP_ratio_H10000,Sparse MLP_H20000,Sparse MLP_ratio_H20000,Sparse MLP_H30000,Sparse MLP_ratio_H30000,Sparse MLP_H40000,Sparse MLP_ratio_H40000,Sparse MLP_H50000,Sparse MLP_ratio_H50000,Sparse MLP_H60000,Sparse MLP_ratio_H60000,Sparse MLP-BD_n,Sparse MLP-BD_H5000,Sparse MLP-BD_ratio_H5000,Sparse MLP-BD_H10000,Sparse MLP-BD_ratio_H10000,Sparse MLP-BD_H20000,Sparse MLP-BD_ratio_H20000,Sparse MLP-BD_H30000,Sparse MLP-BD_ratio_H30000,Sparse MLP-BD_H40000,Sparse MLP-BD_ratio_H40000,Sparse MLP-BD_H50000,Sparse MLP-BD_ratio_H50000,Sparse MLP-BD_H60000,Sparse MLP-BD_ratio_H60000,Dense MLP_n,Dense MLP_H5000,Dense MLP_ratio_H5000,Dense MLP_H10000,Dense MLP_ratio_H10000,Dense MLP_H20000,Dense MLP_ratio_H20000,Dense MLP_H30000,Dense MLP_ratio_H30000,Dense MLP_H40000,Dense MLP_ratio_H40000,Dense MLP_H50000,Dense MLP_ratio_H50000,Dense MLP_H60000,Dense MLP_ratio_H60000
Chua,0.013219214230775767,0.1422366345922152,0.8260896493991216,1.8827511111895243,2.605170170466105,3.2005284706751507,3.598744789759318,15,0.014776417737205777,1.1177984923494675,0.13688083142042154,0.962345824708603,1.0474304179350535,1.2679379516459626,1.96430610815684,1.0433169294032651,2.661153797308604,1.0214894318525392,3.1707870880762736,0.9907073525914916,3.5496489365895587,0.9863575062867843,15,3538371616.4033456,267668830736.21973,2.686901801589361e+16,1.8890364000052195e+17,2.686901801589361e+16,3.2525547360915984e+16,2.686901801589361e+16,1.4271147076321592e+16,2.686901801589361e+16,1.031372856963364e+16,2.686901801589361e+16,8395181690174309.0,2.686901801589361e+16,7466219358581022.0,15,0.042243324406444994,3.1956002580015648,0.30541284183661144,2.1472164517405354,1.5169524629910787,1.8363048902676298,2.4905343929926556,1.3228165837698713,3.1006078720092773,1.1901747943991432,3.5601919809977214,1.112376288359247,3.8651185671488446,1.074018523944106,15,0.0798487325509389,6.040353923990609,0.5152343943715095,3.6223747549192153,2.0314697066942853,2.4591395233821527,2.8312434434890745,1.5037799880517886,3.3242388089497883,1.276015995667197,3.7102261861165364,1.159254235702476,3.9935210704803468,1.1096983264399338,15,0.013219214230775767,1.0,0.1422366345922152,1.0,0.8260896493991216,1.0,1.8827511111895243,1.0,2.605170170466105,1.0,3.2005284706751507,1.0,3.598744789759318,1.0
Dadras,0.4335786650578181,1.8858088334401448,3.5308394273122152,4.231442872683207,4.5302787780761715,4.688075685501099,4.806048568089803,15,0.2783319428563118,0.6419410485043031,1.5714760581652323,0.8333167340713438,3.280738933881124,0.9291668458507399,4.007644446690877,0.9471106115039155,4.394981145858765,0.9701348109365441,4.575536378224691,0.9759945626252451,4.688753159840902,0.975594210797682,15,3157243630522642.5,7281824233906023.0,3157243630522643.5,1674211921450761.2,3157243630522644.5,894190657921262.8,3157243630522645.0,746138781857310.1,3157243630522645.0,696920385076920.2,3157243630522645.0,673462597945488.1,3157243630522645.0,656931278532108.8,15,0.33671735872824987,0.7766003861913923,1.7689113020896912,0.9380119929032223,3.333506139119466,0.9441115088195995,4.011399745941162,0.9479980863826449,4.264705753326416,0.9413782158318889,4.400752544403076,0.9387119235325845,4.498901224136352,0.9360915022805254,15,0.32789334654808044,0.7562488032116514,1.726690948009491,0.9156235337277604,3.360337559382121,0.9517106706662428,4.130358449618021,0.9761111218781298,4.509809843699137,0.9954817494949556,4.6984056313832605,1.0022034511759503,4.81046249071757,1.000918409908937,15,0.4335786650578181,1.0,1.8858088334401448,1.0,3.5308394273122152,1.0,4.231442872683207,1.0,4.5302787780761715,1.0,4.688075685501099,1.0,4.806048568089803,1.0
DequanLi,0.1432545070846875,0.8644841651121775,4.5331746737162275,5.649785375595092,5.666817204157511,5.585994148254395,5.551707394917806,15,0.08429821332295731,0.5884506884877478,0.45753230502208075,0.529254697178531,3.1765171766281126,0.7007268427236782,4.2433186054229735,0.7510583718370053,4.313596121470133,0.7612026232830352,4.0585945765177405,0.7265662062653678,3.910634708404541,0.7044021649960244,15,8.82637448968208e+28,6.161324114196427e+29,8.826374489683641e+28,1.0209989778746624e+29,8.826374489694705e+28,1.9470625168870843e+28,8.826374489694705e+28,1.5622495197465836e+28,8.826374489694705e+28,1.5575541210715525e+28,8.826374489694705e+28,1.5800901782994024e+28,8.826374489694705e+28,1.5898486468819707e+28,15,0.10983059207598364,0.7666815816905174,0.8031262358029684,0.9290236515769527,4.31998610496521,0.9529714639087029,5.082197109858195,0.8995380836609014,5.007143910725912,0.8835901583436246,4.655114078521729,0.8333546285537082,4.273505123456319,0.7697641138955574,15,0.09388913586735721,0.6554009209068231,0.7414560576279958,0.8576861064098065,4.08258417447408,0.9006015581409837,4.851140888532003,0.8586416237131895,5.05187447865804,0.8914835782865357,4.690124130249023,0.8396220987296723,4.415327588717143,0.7953098523814605,15,0.1432545070846875,1.0,0.8644841651121775,1.0,4.5331746737162275,1.0,5.649785375595092,1.0,5.666817204157511,1.0,5.585994148254395,1.0,5.551707394917806,1.0
Hadley,0.10427436778942742,0.3207267239689827,1.5005342185497283,2.410439197222392,3.263441284497579,3.9164473533630373,4.3260829528172815,15,0.04769593315819894,0.4574080300780776,0.1728597670793533,0.5389627809626193,1.1981298963228861,0.7984688929525932,2.3915480534235636,0.9921627793720758,3.5353970527648926,1.0833340466578005,4.364082415898641,1.114296203203452,4.825763622919719,1.1155041813927837,15,8.71611643632253,83.588293279552,9.607818007469177,29.956399917577006,10.458658997217814,6.96995701126106,10.534884532292685,4.370524900371803,10.609965340296428,3.251158643698374,10.656166219711304,2.720875645260723,10.647918081283569,2.4613300755939758,15,0.09474245471258955,0.9085881479896699,0.38420977095762887,1.1979350089791256,1.6616751511891683,1.1073890422806774,3.0913880586624147,1.2824999121424414,4.051178407669068,1.2413823490293818,4.715821750958761,1.2041070198248176,4.961361821492513,1.1468485176091037,15,0.11667096465826031,1.1188844116884669,0.5376404156287511,1.676319356789071,1.9541531324386596,1.3023049446532153,3.0718761682510376,1.2744051672370893,3.884985597928365,1.1904567170806246,4.4505579471588135,1.136376298621029,4.798420063654581,1.109183553803493,15,0.10427436778942742,1.0,0.3207267239689827,1.0,1.5005342185497283,1.0,2.410439197222392,1.0,3.263441284497579,1.0,3.9164473533630373,1.0,4.3260829528172815,1.0
LorenzCoupled,2.520491631825765,6.221607573827108,9.617206446329753,10.828538640340168,11.342124621073404,11.66633809407552,11.85341796875,15,1.0758859237035117,0.4268555825056137,3.6597885688145957,0.5882384135268345,8.012504863739014,0.8331426499424741,9.659433746337891,0.8920348411883627,10.467753314971924,0.9229093899676505,10.998591423034668,0.9427629590659684,11.328268019358317,0.9556963273567023,15,2.4046049850744957e+32,9.540222053158238e+31,2.4046049850744957e+32,3.864925514090801e+31,2.4046049850744957e+32,2.5003154486635493e+31,2.4046049850744957e+32,2.2206181876809164e+31,2.4046049850744957e+32,2.120065742009919e+31,2.4046049850744957e+32,2.0611480360710776e+31,2.4046049850744957e+32,2.028617392395953e+31,15,1.4917207717895509,0.5918372245136141,4.85675458908081,0.780626957172946,8.445263528823853,0.8781410252503051,9.749288050333659,0.9003327571842505,10.466328016916911,0.9227837258524489,10.913790607452393,0.9354941130151807,11.206531620025634,0.9454261757722712,15,1.796371082464854,0.7127066242880638,4.9838725010554,0.8010586398958077,8.709606043497722,0.9056274389140933,9.926495774586995,0.9166976361526067,10.567692756652832,0.9317207410169259,10.989382203420003,0.9419735751530043,11.261398061116536,0.9500549200918884,15,2.520491631825765,1.0,6.221607573827108,1.0,9.617206446329753,1.0,10.828538640340168,1.0,11.342124621073404,1.0,11.66633809407552,1.0,11.85341796875,1.0
LuChenCheng,0.15591075072685875,0.36366868317127227,1.1362075924873352,1.8398154536883036,2.4117643237113953,2.895285065968831,3.2951934576034545,15,0.054917733247081386,0.3522382708764721,0.10520135785142574,0.28927802343068526,0.5216405401627223,0.4591067192402491,1.0855879306793212,0.5900526210403484,1.5632047533988953,0.6481581711903442,1.9262362162272135,0.6653010575256254,2.304169845581055,0.6992517663156699,15,0.7290716243286928,4.676211364064041,1.1372955036660035,3.1272846860184176,1.8455316178500651,1.624290869074294,2.3651644182701905,1.2855443808392373,2.6280489079654217,1.0896789881696203,2.7948962164421878,0.9653267822548414,2.79022078042229,0.8467547706445061,15,0.11539697622259455,0.7401476529656342,0.29396392678221067,0.8083289554073765,1.1214084486166636,0.9869749648140671,1.8515897750854493,1.0063997295889333,2.4398857315381366,1.0116600977758332,2.9302615761756896,1.0120805065511413,3.3795460939407347,1.025598690159645,15,0.15860745906829832,1.0172964874382777,0.32865548332532246,0.9037222574662551,1.1184163431326548,0.9843415503713256,1.8860148072242737,1.0251108628549421,2.396249039967855,0.9935668325503446,2.876811647415161,0.9936194819740527,3.2679594278335573,0.9917352258311097,15,0.15591075072685875,1.0,0.36366868317127227,1.0,1.1362075924873352,1.0,1.8398154536883036,1.0,2.4117643237113953,1.0,2.895285065968831,1.0,3.2951934576034545,1.0
MultiChua,0.03816435666133957,0.24311834871768948,1.5248333136240642,2.968301852544149,3.841792265574137,4.697908671696981,5.448169326782226,15,0.024725356077154426,0.6478651349100605,0.20716296955943106,0.8521075050570945,1.4560468316078186,0.9548891794259393,2.7167529582977297,0.915254948201843,3.531726042429606,0.9192912573844767,4.276254073778788,0.9102463186527033,4.916405614217123,0.9023958910470994,15,0.5025674164295196,13.168502246459184,1.1212974518537522,4.612146544133572,1.167677288254102,0.7657737260992081,1.189493923385938,0.4007321298426627,1.2044571369886399,0.3135143843621226,1.2126227507988612,0.25811969443008287,1.2238976289828618,0.2246438309041534,15,0.06150599395235374,1.6116082998107815,0.43377131074666975,1.78419816124355,2.1692912340164185,1.4226415534303054,3.430164829889933,1.1555983859761159,4.240905276934305,1.1038871921672013,4.94259991645813,1.0520851429563365,5.564489062627157,1.0213502424150298,15,0.060887685169776225,1.595407089134961,0.3703447625041008,1.5233106199406916,1.9228323260943094,1.2610114882159302,3.2487298409144083,1.0944742153261477,4.077234689394633,1.0612845275186449,4.772084808349609,1.015789182343946,5.311732816696167,0.9749573660614104,15,0.03816435666133957,1.0,0.24311834871768948,1.0,1.5248333136240642,1.0,2.968301852544149,1.0,3.841792265574137,1.0,4.697908671696981,1.0,5.448169326782226,1.0
QiChen,0.5429141317804654,1.8165282249450683,3.794876527786255,4.535917202631633,4.933186674118042,5.153575913111369,5.29006093343099,15,0.4337039197484652,0.7988444108576624,1.4726688265800476,0.810705171742972,3.5078885157903037,0.9243748749413552,4.364961465199788,0.9623106574051528,4.81313172976176,0.975663814834709,5.091807572046916,0.9880144695438935,5.256758197148641,0.993704659227668,15,2.2493741764860535e+31,4.143149063203272e+31,2.2430673928314355e+31,1.2348100965506692e+31,2.2430673928314355e+31,5.910778325480673e+30,2.2430673928314355e+31,4.945124200084738e+30,2.2430673928314355e+31,4.5468933997565625e+30,2.2430673928314355e+31,4.35244853408442e+30,2.2430673928314355e+31,4.2401541703540323e+30,15,0.5225067724784215,0.9624114420541627,1.6248014609018961,0.8944542884551271,3.6096898555755614,0.9512008702115211,4.387760655085246,0.9673370255831764,4.825535678863526,0.9781782035901241,5.109050941467285,0.9913603733805868,5.288195610046387,0.999647390945383,15,0.5250710924466451,0.9671346935190196,1.6184584418932597,0.8909624522581816,3.5312039216359454,0.930518791792121,4.345367844899496,0.9579909973617717,4.798277552922567,0.9726527435291926,5.09723637898763,0.9890678753794228,5.303091796239217,1.002463272724493,15,0.5429141317804654,1.0,1.8165282249450683,1.0,3.794876527786255,1.0,4.535917202631633,1.0,4.933186674118042,1.0,5.153575913111369,1.0,5.29006093343099,1.0
Sakarya,2.046404206752777,3.438977615038554,4.473462311426799,4.797763268152873,5.027942832310995,5.0823406219482425,5.084612798690796,15,0.8342087606588999,0.407646132619429,2.246111687024434,0.6531335584163881,4.1873321533203125,0.9360383215086872,4.711320161819458,0.9819826236723231,5.45255249341329,1.084449977906199,5.948673327763875,1.170459394648668,6.108008400599162,1.2012730649169339,15,1.0833993775587746e+30,5.294161212060382e+29,1.0833993775587746e+30,3.1503530957023366e+29,1.0833993775587746e+30,2.421836381165861e+29,1.0833993775587746e+30,2.258134295100143e+29,1.0833993775587746e+30,2.1547567537891268e+29,1.0833993775587746e+30,2.1316937571639364e+29,1.0833993775587746e+30,2.1307411605417273e+29,15,1.5911735932032267,0.7775460917997683,3.02162979443868,0.8786418908995443,4.774230178197225,1.0672337991989247,6.285971291859945,1.3101878814208414,7.118557755152384,1.415799262753447,8.160631068547566,1.6056836161877133,7.306351613998413,1.4369533931629324,15,1.4961124658584595,0.7310933299108501,3.014092477162679,0.8764501589024994,7.484650627772013,1.6731225405998345,11.023793935775757,2.297694429600294,6.38246914545695,1.2693997044758312,6.643350060780843,1.3071438053741093,5.55728751818339,1.0929617924130428,15,2.046404206752777,1.0,3.438977615038554,1.0,4.473462311426799,1.0,4.797763268152873,1.0,5.027942832310995,1.0,5.0823406219482425,1.0,5.084612798690796,1.0
SanUmSrisuchinwong,0.23098923265933988,1.4057531078656516,3.816532921791077,4.738283888498942,5.172597583134969,5.478175767262777,5.707564194997151,15,0.2861674912273883,1.2388780547594818,1.5574851155281066,1.1079364554226945,3.853055238723755,1.0095695013461428,4.715878438949585,0.995271399925247,5.159952481587728,0.9975553672320324,5.474526071548462,0.9993337753534443,5.717985423405965,1.0018258626714962,15,4.510074760392528e+30,1.9525043260539903e+31,4.5100765578698514e+30,3.208299190401563e+30,4.5100765578698514e+30,1.1817208577237422e+30,4.5100765578698514e+30,9.518375563813283e+29,4.5100765578698514e+30,8.719171529165077e+29,4.5100765578698514e+30,8.232807323966815e+29,4.5100765578698514e+30,7.901928745406082e+29,15,0.41443662693103156,1.7941815822308813,1.8594422976175944,1.322737461659094,4.068458930651347,1.0660091276618786,4.780063597361247,1.0088174769273988,5.198302825291951,1.0049695035702744,5.508119297027588,1.005465967328714,5.690427954991659,0.9969976264094387,15,0.4241777797540029,1.8363530406613158,1.7676120122273764,1.257412843220481,4.038838259379069,1.0582479811240997,4.823113441467285,1.0179030119267962,5.210955413182576,1.007415583646536,5.487557586034139,1.001712580824337,5.697569624582926,0.9982488904070522,15,0.23098923265933988,1.0,1.4057531078656516,1.0,3.816532921791077,1.0,4.738283888498942,1.0,5.172597583134969,1.0,5.478175767262777,1.0,5.707564194997151,1.0
