horizon,model,root_label,subset,depth_stratum,selector,rollout_mode,finite_ratio_iqm,finite_ratio_global_iqm,finite_ratio_n,finite_ratio_n_systems,censored_log10_iqm_ratio,K,N,sign_test_iqm_in_direction,sign_test_iqm_total,sign_test_iqm_p,censor_finite_finite,censor_missing_row_neutral,censor_routed_invalid_global_finite_loss,censor_routed_finite_global_invalid_win,censor_both_invalid_neutral
100,Sparse MLP,mlp_sparse_hardinit_basin_partition_control,all,all,Basin labels,oracle_basin_local_centered,0.003691193736022195,0.0039574213071752315,236,17,0.003276356307643407,10,17,13,17,0.0245208740234375,236,,19.0,,
100,Sparse MLP,mlp_sparse_hardinit_basin_partition_control,all,all,Latent clusters,latent_kmeans_local_centered,0.013265278196456037,0.018462692507595725,255,17,0.010059887788468128,14,17,15,17,0.0011749267578125,255,,,,
100,Sparse MLP,mlp_sparse_hardinit_basin_partition_control,all,all,Random matched,random_count_matched_local_centered,0.9657195473149005,0.9587907920744807,255,17,0.9582507558131454,14,17,17,17,7.62939453125e-06,255,,,,
100,Sparse MLP,mlp_sparse_hardinit_basin_partition_control,deep,deep,Support family,family_local_centered,0.06051844016817534,0.07889841932706375,240,16,0.031103926174457692,5,17,14,17,0.0063629150390625,240,15.0,,,
100,Sparse MLP,mlp_sparse_hardinit_basin_partition_control,deep,deep,Basin labels,oracle_basin_local_centered,0.0036587926186521565,0.003947244841521329,207,16,0.01172855464261069,10,17,11,17,0.1661529541015625,207,15.0,33.0,,
100,Sparse MLP,mlp_sparse_hardinit_basin_partition_control,deep,deep,Latent clusters,latent_kmeans_local_centered,0.011374746801404937,0.012325669585691508,240,16,0.008262449360705987,13,17,14,17,0.0063629150390625,240,15.0,,,
100,Sparse MLP,mlp_sparse_hardinit_basin_partition_control,deep,deep,Random matched,random_count_matched_local_centered,0.9820814648067178,0.9818275760046022,240,16,0.9847681180877431,13,17,14,17,0.0063629150390625,240,15.0,,,
100,Dense MLP,mlp_zero_sparse_hardinit_basin_partition_control,all,all,Support family,family_local_centered,1043.638907878629,744.6801646183575,255,17,186.78546072266536,0,17,1,17,0.9999923706054688,255,,,,
100,Dense MLP,mlp_zero_sparse_hardinit_basin_partition_control,all,all,Basin labels,oracle_basin_local_centered,10.577379444861776,7.538305630756066,188,16,1.839422104105447e+17,5,17,7,17,0.8338470458984375,188,,67.0,,
100,Dense MLP,mlp_zero_sparse_hardinit_basin_partition_control,all,all,Latent clusters,latent_kmeans_local_centered,1620481.0515251267,216512.8937295617,254,17,1033.656574960486,1,17,2,17,0.9998626708984375,254,,1.0,,
100,Dense MLP,mlp_zero_sparse_hardinit_basin_partition_control,all,all,Random matched,random_count_matched_local_centered,1.0851884462854606,0.999494651576522,255,17,0.9988000528626702,1,17,7,17,0.8338470458984375,255,,,,
100,Dense MLP,mlp_zero_sparse_hardinit_basin_partition_control,deep,deep,Support family,family_local_centered,661.8658364349116,547.1177460299255,240,16,82.41684612294655,0,17,1,17,0.9999923706054688,240,15.0,,,
100,Dense MLP,mlp_zero_sparse_hardinit_basin_partition_control,deep,deep,Basin labels,oracle_basin_local_centered,9.319349167211849,6.860214727940967,172,15,9.539468345829328e+16,4,17,5,17,0.9754791259765625,172,15.0,68.0,,
100,Dense MLP,mlp_zero_sparse_hardinit_basin_partition_control,deep,deep,Latent clusters,latent_kmeans_local_centered,131772.36379858435,20285.07260791387,239,16,48.582728798061915,3,17,4,17,0.9936370849609375,239,15.0,1.0,,
100,Dense MLP,mlp_zero_sparse_hardinit_basin_partition_control,deep,deep,Random matched,random_count_matched_local_centered,0.9995613543126297,0.9841429699759661,240,16,0.9884451856596317,1,17,6,17,0.9282684326171875,240,15.0,,,
1000,LISTA-SB (p64),lista_dense_softblock_signsplit_p64_hardinit_basin_partition,all,all,Support family,family_local_centered,20.8874458060262,0.08670353485281464,110,16,4.275912463569384e-32,13,17,17,17,7.62939453125e-06,110,7.0,,132.0,6.0
1000,LISTA-SB (p64),lista_dense_softblock_signsplit_p64_hardinit_basin_partition,all,all,Basin labels,oracle_basin_local_centered,771913960312.1973,20239.17355034418,107,15,1.3294578096393013e-30,11,17,14,17,0.0063629150390625,107,7.0,3.0,121.0,17.0
1000,LISTA-SB (p64),lista_dense_softblock_signsplit_p64_hardinit_basin_partition,all,all,Latent clusters,latent_kmeans_local_centered,1.5090749123860985,0.017125374192232073,110,16,3.8570726886104553e-35,16,17,16,17,0.0001373291015625,110,7.0,,137.0,1.0
1000,LISTA-SB (p64),lista_dense_softblock_signsplit_p64_hardinit_basin_partition,all,all,Random matched,random_count_matched_local_centered,3.934731808709682e-06,2.0675633474579603e-06,110,16,4.899650714631758e-36,17,17,17,17,7.62939453125e-06,110,7.0,,138.0,
