method,horizon,system,seed_iqm_mse,num_seeds
gmm_soft,100,dysts:DequanLi,0.2060494586729523,3
gmm_soft,100,dysts:Hadley,0.11793073519322378,3
gmm_soft,100,dysts:LuChenCheng,0.3250627402743412,3
gmm_soft,100,dysts:QiChen,1.2875086952885015,3
gmm_soft,100,dysts:Sakarya,1.3591684159986837,3
gmm_soft,100,dysts:SanUmSrisuchinwong,2.226148802231661,3
gmm_soft,100,dysts:ShimizuMorioka,8.924187590915972,3
gmm_soft,100,dysts:WangSun,34.32770499739059,3
gmm_soft,2000,dysts:Chua,215382320098.163,3
gmm_soft,2000,dysts:Dadras,5.4523579534753,3
gmm_soft,2000,dysts:DequanLi,8.814615232506155,3
gmm_soft,2000,dysts:Hadley,52617525847193.836,3
gmm_soft,2000,dysts:LuChenCheng,21.41717739789838,3
gmm_soft,2000,dysts:QiChen,6.733550031094293,3
gmm_soft,2000,dysts:Sakarya,5.294941770950933,3
gmm_soft,2000,dysts:SanUmSrisuchinwong,246073999624020.47,3
gmm_soft,2000,dysts:ShimizuMorioka,10809.578632939449,3
gmm_soft,2000,dysts:WangSun,1687914.732231685,3
gmm_soft,4000,dysts:Chua,5.5605814318044045e+23,3
gmm_soft,4000,dysts:Dadras,5.209039320539177,3
gmm_soft,4000,dysts:DequanLi,55.99956544562815,3
gmm_soft,4000,dysts:Hadley,4.057170522328151e+35,3
gmm_soft,4000,dysts:LuChenCheng,22.220623264061814,3
gmm_soft,4000,dysts:QiChen,6.753362788228183,3
gmm_soft,4000,dysts:Sakarya,167475022625040.1,3
gmm_soft,4000,dysts:SanUmSrisuchinwong,1.6860305569728945e+31,3
gmm_soft,4000,dysts:ShimizuMorioka,38243.98039152785,3
gmm_soft,4000,dysts:WangSun,117962913332.48418,3
kmeans_hard,100,dysts:Chua,0.0675945215404986,3
kmeans_hard,100,dysts:Dadras,4.064741854283507,3
kmeans_hard,100,dysts:DequanLi,0.4544995356892844,3
kmeans_hard,100,dysts:Hadley,0.09158246385967833,3
kmeans_hard,100,dysts:LuChenCheng,0.07121917786037486,3
