root_label,label,metric,system,p_raw,p_holm,median_diff
mlp_sparse_blockdiag_hardinit_basin_partition_control,"Sparse MLP, BD",HSgivenB,claude_snic_multi,0.751953125,1.0,0.12621369586833375
mlp_sparse_blockdiag_hardinit_basin_partition_control,"Sparse MLP, BD",HSgivenB,claude_transition_routes_4,0.5771484375,1.0,-0.005971295893843749
mlp_sparse_blockdiag_hardinit_basin_partition_control,"Sparse MLP, BD",HSgivenB,claude_var_depth_gradient_4,0.58984375,1.0,0.000767332770753304
mlp_sparse_blockdiag_hardinit_basin_partition_control,"Sparse MLP, BD",HSgivenB,claude_var_diamond_4,0.5,1.0,0.0
mlp_sparse_blockdiag_hardinit_basin_partition_control,"Sparse MLP, BD",HSgivenB,claude_var_l_shape_5,0.5,1.0,-0.018096352461441312
mlp_sparse_blockdiag_hardinit_basin_partition_control,"Sparse MLP, BD",HSgivenB,gated_local_linear,0.5,1.0,0.11648217290615603
mlp_sparse_blockdiag_hardinit_basin_partition_control,"Sparse MLP, BD",HSgivenB,gated_transfer_linear,0.9970703125,1.0,0.4377813508368684
mlp_sparse_blockdiag_hardinit_basin_partition_control,"Sparse MLP, BD",HSgivenB,multiwell_strong_transition,0.9755859375,1.0,0.1604535851555049
mlp_sparse_hardinit_basin_partition_control,Sparse MLP,HSgivenB,claude_arrested_spiral,0.849609375,1.0,0.10342267206856129
mlp_sparse_hardinit_basin_partition_control,Sparse MLP,HSgivenB,claude_cal_asymmetric_3,0.212890625,1.0,-0.0109030450294056
mlp_sparse_hardinit_basin_partition_control,Sparse MLP,HSgivenB,claude_cal_hexagon_6,0.005859375,0.099609375,-0.1677355301175498
mlp_sparse_hardinit_basin_partition_control,Sparse MLP,HSgivenB,claude_cal_high_cross_3,0.919921875,1.0,0.0026229257074184007
mlp_sparse_hardinit_basin_partition_control,Sparse MLP,HSgivenB,claude_cal_octagon_8,0.1162109375,1.0,-0.024953902788647248
mlp_sparse_hardinit_basin_partition_control,Sparse MLP,HSgivenB,claude_cal_pentagon_5,0.4609375,1.0,0.010726012392239453
mlp_sparse_hardinit_basin_partition_control,Sparse MLP,HSgivenB,claude_cal_square_4,1.0,1.0,0.0
mlp_sparse_hardinit_basin_partition_control,Sparse MLP,HSgivenB,claude_checkerboard_potential,0.0966796875,1.0,-0.01656229126438269
mlp_sparse_hardinit_basin_partition_control,Sparse MLP,HSgivenB,claude_duffing_triple_well,0.998046875,1.0,0.712346191907447
mlp_sparse_hardinit_basin_partition_control,Sparse MLP,HSgivenB,claude_snic_multi,0.8837890625,1.0,0.2423816637567775
mlp_sparse_hardinit_basin_partition_control,Sparse MLP,HSgivenB,claude_transition_routes_4,0.0322265625,0.515625,-0.0292595452344869
mlp_sparse_hardinit_basin_partition_control,Sparse MLP,HSgivenB,claude_var_depth_gradient_4,0.47265625,1.0,0.002412224268523451
mlp_sparse_hardinit_basin_partition_control,Sparse MLP,HSgivenB,claude_var_diamond_4,0.5,1.0,0.0
mlp_sparse_hardinit_basin_partition_control,Sparse MLP,HSgivenB,claude_var_l_shape_5,0.5,1.0,-0.07098712521096234
mlp_sparse_hardinit_basin_partition_control,Sparse MLP,HSgivenB,gated_local_linear,0.5390625,1.0,0.199627867214083
mlp_sparse_hardinit_basin_partition_control,Sparse MLP,HSgivenB,gated_transfer_linear,0.9990234375,1.0,0.471250754892629
mlp_sparse_hardinit_basin_partition_control,Sparse MLP,HSgivenB,multiwell_strong_transition,0.9814453125,1.0,0.1554117323244646
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,U_exact,claude_arrested_spiral,0.80859375,1.0,-0.01744186046511642
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,U_exact,claude_cal_asymmetric_3,0.8203125,1.0,-0.007751937984496027
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,U_exact,claude_cal_hexagon_6,0.875,1.0,-0.007225494144098787
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,U_exact,claude_cal_high_cross_3,0.990234375,1.0,-0.003883495145631133
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,U_exact,claude_cal_octagon_8,0.24609375,1.0,0.0030176625260522894
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,U_exact,claude_cal_pentagon_5,0.9755859375,1.0,-0.014215514215514313
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,U_exact,claude_cal_square_4,0.75,1.0,0.0
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,U_exact,claude_checkerboard_potential,0.990234375,1.0,-0.011878299094911782
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,U_exact,claude_duffing_triple_well,1.0,1.0,-0.08378754844961235
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,U_exact,claude_snic_multi,0.9990234375,1.0,-0.20627060790894164
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,U_exact,claude_transition_routes_4,0.2158203125,1.0,0.0016456701975193777
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,U_exact,claude_var_depth_gradient_4,0.986328125,1.0,-0.006080389144905218
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,U_exact,claude_var_diamond_4,0.5,1.0,0.0
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,U_exact,claude_var_l_shape_5,0.947265625,1.0,-0.07243217054263573
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,U_exact,gated_local_linear,1.0,1.0,-0.23378887485561928
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,U_exact,gated_transfer_linear,1.0,1.0,-0.1767447499832255
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,U_exact,multiwell_strong_transition,1.0,1.0,-0.12526010679852412
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,U_exact,claude_arrested_spiral,0.150390625,1.0,0.012354651162790442
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,U_exact,claude_cal_asymmetric_3,0.109375,0.984375,0.004118217054263629
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,U_exact,claude_cal_hexagon_6,0.3671875,1.0,0.005916725393469657
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,U_exact,claude_cal_high_cross_3,0.00390625,0.05859375,0.0006067961165048263
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,U_exact,claude_cal_octagon_8,0.0009765625,0.0166015625,0.006926454045323882
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,U_exact,claude_cal_pentagon_5,0.2783203125,1.0,0.006405756405756358
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,U_exact,claude_cal_square_4,0.75,1.0,0.0
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,U_exact,claude_checkerboard_potential,0.001953125,0.03125,0.022356433094245176
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,U_exact,claude_duffing_triple_well,0.9990234375,1.0,-0.045179263565891456
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,U_exact,claude_snic_multi,0.24609375,1.0,0.041445876406752236
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,U_exact,claude_transition_routes_4,0.3125,1.0,0.00349613352404593
