horizon,model,root_label,subset,depth_stratum,selector,rollout_mode,finite_ratio_mean,finite_ratio_iqm,finite_ratio_global_iqm,finite_ratio_n,finite_ratio_n_systems,censored_log10_iqm_ratio,K,N,sign_test_iqm_in_direction,sign_test_iqm_total,sign_test_iqm_p,censor_finite_finite,censor_missing_row_neutral,censor_routed_invalid_global_finite_loss,censor_routed_finite_global_invalid_win,censor_both_invalid_neutral
100,"Sparse MLP, BD",mlp_sparse_blockdiag_hardinit_basin_partition_control,deep,deep,Random matched,random_count_matched_local_centered,0.9613544602002905,0.9613544602002905,0.9858099884960428,207,14,0.9889919582447472,8,15,12,15,0.017578125,207,18.0,,,
100,Sparse MLP,mlp_sparse_hardinit_basin_partition_control,all,all,Oracle basin labels,oracle_basin_local_centered,5996378126.665532,5996378126.665532,0.0028552836654107713,208,15,0.0025360485736489447,11,15,12,15,0.017578125,208,,17.0,,
100,Sparse MLP,mlp_sparse_hardinit_basin_partition_control,all,all,Support family,family_local_centered,0.639169174588207,0.639169174588207,0.04261463372144608,225,15,0.020009501582576895,6,15,13,15,0.003692626953125,225,,,,
100,Sparse MLP,mlp_sparse_hardinit_basin_partition_control,all,all,Latent clusters,latent_kmeans_local_centered,0.2791549829053453,0.2791549829053453,0.014231222866719795,225,15,0.008581278756848455,14,15,14,15,0.00048828125,225,,,,
100,Sparse MLP,mlp_sparse_hardinit_basin_partition_control,all,all,Random matched,random_count_matched_local_centered,0.9250680475379174,0.9250680475379174,0.9600959400858171,225,15,0.9595792014415937,12,15,15,15,3.0517578125e-05,225,,,,
100,Sparse MLP,mlp_sparse_hardinit_basin_partition_control,deep,deep,Oracle basin labels,oracle_basin_local_centered,11919571394.058748,11919571394.058748,0.003084811162764248,193,14,0.0037589677290103167,10,15,11,15,0.05923461914062499,193,15.0,17.0,,
100,Sparse MLP,mlp_sparse_hardinit_basin_partition_control,deep,deep,Support family,family_local_centered,0.44345229033567835,0.44345229033567835,0.02314431926044164,210,14,0.01488074007698541,5,15,13,15,0.003692626953125,210,15.0,,,
100,Sparse MLP,mlp_sparse_hardinit_basin_partition_control,deep,deep,Latent clusters,latent_kmeans_local_centered,0.2212302722090622,0.2212302722090622,0.009395025735076834,210,14,0.0070948066648168695,13,15,13,15,0.003692626953125,210,15.0,,,
100,Sparse MLP,mlp_sparse_hardinit_basin_partition_control,deep,deep,Random matched,random_count_matched_local_centered,0.9562529988964935,0.9562529988964935,0.9840026211389576,210,14,0.9866531505108194,11,15,12,15,0.017578125,210,15.0,,,
100,Dense MLP,mlp_zero_sparse_hardinit_basin_partition_control,all,all,Oracle basin labels,oracle_basin_local_centered,1.7545788112739818e+33,1.7545788112739818e+33,14.564495822641025,160,14,8.967234455396728e+18,4,15,5,15,0.940765380859375,160,,65.0,,
100,Dense MLP,mlp_zero_sparse_hardinit_basin_partition_control,all,all,Support family,family_local_centered,3323.555558215239,3323.555558215239,761.3497604543342,225,15,161.02518455900488,0,15,1,15,0.999969482421875,225,,,,
100,Dense MLP,mlp_zero_sparse_hardinit_basin_partition_control,all,all,Latent clusters,latent_kmeans_local_centered,5733518026.03921,5733518026.03921,431162.7563332552,225,15,3382.704508508555,0,15,1,15,0.999969482421875,225,,,,
100,Dense MLP,mlp_zero_sparse_hardinit_basin_partition_control,all,all,Random matched,random_count_matched_local_centered,179.23442776404335,179.23442776404335,1.0126638478887593,225,15,1.010839002006224,0,15,6,15,0.84912109375,225,,,,
100,Dense MLP,mlp_zero_sparse_hardinit_basin_partition_control,deep,deep,Oracle basin labels,oracle_basin_local_centered,1.3565202443618513e+33,1.3565202443618513e+33,8.235853640462812,159,14,53069.238402793904,4,15,4,15,0.982421875,159,15.0,51.0,,
100,Dense MLP,mlp_zero_sparse_hardinit_basin_partition_control,deep,deep,Support family,family_local_centered,2608.464838474757,2608.464838474757,577.2801235484109,210,14,70.08208077005476,0,15,1,15,0.999969482421875,210,15.0,,,
100,Dense MLP,mlp_zero_sparse_hardinit_basin_partition_control,deep,deep,Latent clusters,latent_kmeans_local_centered,956975311.1101626,956975311.1101626,40868.189785341885,210,14,112.27259750670014,2,15,3,15,0.996307373046875,210,15.0,,,
100,Dense MLP,mlp_zero_sparse_hardinit_basin_partition_control,deep,deep,Random matched,random_count_matched_local_centered,322.4024238351355,322.4024238351355,0.9843431423532967,210,14,0.9884295429872801,0,15,5,15,0.940765380859375,210,15.0,,,
