root_label,display,horizon,n_systems,iqm_over_system_seed_iqms,cross_system_mean,system_median,system_q25,system_q75
lista,LISTA,100,10,0.0002255573337471,0.000265034274384,0.000255240632719,0.0001182705462067,0.0002946063359558
lista,LISTA,500,10,0.0029611226238085,0.0043588311398504,0.0028462352670935,0.0014129163933425,0.0045992743624891
lista,LISTA,1000,10,0.0118560633208188,0.0197774988780211,0.0089700699059499,0.0050061892381765,0.0242883594473823
lista,LISTA,1500,10,0.0278369772109995,0.0487275743391364,0.0186397228389977,0.0151175918419741,0.0558365196403529
lista,LISTA,2000,10,0.0556907131578082,0.099906089151692,0.040927161152164,0.0271476432163681,0.1093482136622898
lista,LISTA,3000,10,0.1656422837878819,0.2443076325683958,0.1326757934358384,0.0758527499727076,0.3089355095807049
lista,LISTA,4000,10,0.3668027099359918,0.4654602565078271,0.3049402568075392,0.1632714608891142,0.6575622624821134
lista,LISTA,5000,10,0.6021740453110801,0.7095478496617741,0.5105563965108659,0.2880248948931693,1.0175612204604678
lista_bd,LISTA-BD,100,10,0.0001984680009088,0.0003693338288333,0.0001913385802051,0.0001139276398842,0.0003081320658868
lista_bd,LISTA-BD,500,10,0.0032222033586111,0.0071455412705997,0.0029053800066725,0.0014892640336053,0.0058594147493648
lista_bd,LISTA-BD,1000,10,0.0132652238890942,0.0264247914827945,0.0099894368969317,0.0048990284040983,0.0303471343488328
lista_bd,LISTA-BD,1500,10,0.0268887121023402,0.0672588245348176,0.0210977352948651,0.0113599577970388,0.0560739568900316
lista_bd,LISTA-BD,2000,10,0.0487901939907007,0.1224366704208983,0.0413918477586573,0.0204056852186718,0.0970543064177036
lista_bd,LISTA-BD,3000,10,0.1458898760654307,0.2686777326071428,0.1203961769739786,0.0652194441192679,0.2920378096815612
lista_bd,LISTA-BD,4000,10,0.3398408819403913,0.4919889658482538,0.2733956062131457,0.1662493565430243,0.6296830947200458
lista_bd,LISTA-BD,5000,10,0.5644028614516612,0.7472036626189947,0.4807896266380946,0.2906000403066476,0.9672109377053048
lista_sb,LISTA-SB,100,10,0.0004680480925781,0.0005616298978565,0.0004167566468013,0.0002741867922142,0.0007558860072296
lista_sb,LISTA-SB,500,10,0.006914561750212,0.0104775553866703,0.0059091933653689,0.0039564348084644,0.0114752302890539
lista_sb,LISTA-SB,1000,10,0.0299215625919815,0.0473981065054734,0.0207167632049984,0.0133110431488602,0.0693342186277731
lista_sb,LISTA-SB,1500,10,0.0719158781381944,0.1091719244296351,0.0494552571326493,0.0280627970480256,0.1689435161081039
lista_sb,LISTA-SB,2000,10,0.1363715629472776,0.1816427939054038,0.1173870112333032,0.0488212152591181,0.2838014090537197
lista_sb,LISTA-SB,3000,10,0.382830397605344,0.4303226988762617,0.397026006753246,0.1175154896659983,0.6852855682373047
lista_sb,LISTA-SB,4000,10,0.6936925227443377,0.7436630556152928,0.7138965924580891,0.2456027770207987,1.1361991084284253
lista_sb,LISTA-SB,5000,10,1.0237436849209998,1.0577465534210204,1.0140319913625715,0.4406875624424881,1.610905658867624
sparse_mlp,Sparse MLP,100,10,0.0001976435851247,0.0002375875155848,0.0001861339802012,0.0001172072336177,0.0002936436240916
sparse_mlp,Sparse MLP,500,10,0.0034886572738522,0.0044149225681191,0.0031386661188055,0.0017269124736129,0.0060699389691257
sparse_mlp,Sparse MLP,1000,10,0.0133239792711618,0.018766514404625,0.012025085536556,0.0056013303886477,0.0249896991428815
sparse_mlp,Sparse MLP,1500,10,0.0310321895112455,0.0637351515651162,0.0264022789585093,0.0119382808269518,0.0598630604541135
sparse_mlp,Sparse MLP,2000,10,0.0627351255604514,0.1217907555711765,0.0515568222229679,0.0224710608211655,0.1187258806700507
sparse_mlp,Sparse MLP,3000,10,0.187837374224155,0.2808302256382173,0.1427681833091709,0.0576775024334589,0.3734730562816064
sparse_mlp,Sparse MLP,4000,10,0.3948911908600065,0.5062896289345291,0.3527452449003855,0.1476995042628711,0.7056651645236545
sparse_mlp,Sparse MLP,5000,10,0.6577755554958626,0.7738143172115086,0.6038082953956392,0.3307193285889095,1.1215155008766386
sparse_mlp_bd,Sparse MLP-BD,100,10,0.0001391408558345,0.0005060421750385,0.0001414870692112,7.059858196750749e-05,0.0002054423643534
sparse_mlp_bd,Sparse MLP-BD,500,10,0.0025102662750415,0.0106888547080516,0.0021443309702185,0.0009880801274751,0.0049943595594312
sparse_mlp_bd,Sparse MLP-BD,1000,10,0.0112316295314855,0.0340962013268532,0.0066895277187641,0.0033630499124733,0.0299776593197343
sparse_mlp_bd,Sparse MLP-BD,1500,10,0.0269540933012548,0.0736876166425644,0.0146604190684026,0.0076517286167169,0.0763589745490914
sparse_mlp_bd,Sparse MLP-BD,2000,10,0.0482370325674612,0.1299205770302149,0.0292471793169776,0.014237573215117,0.1318023043891621
sparse_mlp_bd,Sparse MLP-BD,3000,10,0.1349165041206611,0.2544364724204772,0.0957003597997956,0.044136958869381,0.3296847529709339
sparse_mlp_bd,Sparse MLP-BD,4000,10,0.2939973394903871,0.4407620619982481,0.2416860419842931,0.1071106739756133,0.6248677066630787
sparse_mlp_bd,Sparse MLP-BD,5000,10,0.5040394735557062,0.665325448041161,0.4225847365127669,0.1915089492168691,1.018580528597037
dense_mlp_tanh,Dense MLP,100,10,0.0005512425957055,0.0012472693902963,0.0005613552986889,0.0002097664621234,0.0008458601813698
dense_mlp_tanh,Dense MLP,500,10,0.0073714471396265,0.0149395187475925,0.0061059707853321,0.0030622264538477,0.0131002409487134
dense_mlp_tanh,Dense MLP,1000,10,0.0356987825577595,0.0529228908785928,0.019912894659986,0.010930580074071,0.0885472579134834
dense_mlp_tanh,Dense MLP,1500,10,0.0861077036156698,0.1247980059021048,0.0462961060305436,0.0238430657320552,0.2151029460753003
dense_mlp_tanh,Dense MLP,2000,10,0.1642054118285024,0.2282849914808239,0.0967539515760209,0.0413212628724673,0.3911455621321996
dense_mlp_tanh,Dense MLP,3000,10,0.3928493245470303,0.492822162186106,0.3017049473192956,0.0918757442591918,0.8122012615203857
dense_mlp_tanh,Dense MLP,4000,10,0.6688997207416428,0.7668216231382555,0.6299563944339752,0.2007106323209073,1.2042163842254214
dense_mlp_tanh,Dense MLP,5000,10,1.0069103950151692,1.0931651612950697,1.030279861556159,0.3577144373622205,1.6345989720688925
