root,label,latex_label,dysts_root,H100,H500,H1000,HBgivenF,FreezeWrongH1,FreezeWrongH20,FamilyUniqueCount
lista_dense_signsplit_p256_hardinit_basin_partition,LISTA,LISTA,lista,0.04070701002243104,0.14448121488620966,0.16614236385489453,0.1304568942190955,21475.064693681397,93.62889675007935,3.9600000000000004
lista_blockdiag_signsplit_hardinit_basin_partition,LISTA-BD,LISTA-BD,lista_bd,0.041064799392257684,0.11841379146679257,0.13466424480152667,0.1561326224482301,22013.90845527931,84.0011512217002,3.764444444444444
lista_dense_softblock_signsplit_p256_hardinit_basin_partition,LISTA-SB,LISTA-SB,lista_sb,0.03870329164728029,0.1137248610930761,0.12997841420749734,0.15331958762321396,25320.631445890547,128.652352945063,3.8133333333333335
mlp_sparse_blockdiag_hardinit_basin_partition_control,"Sparse MLP, BD","Sparse MLP, BD",sparse_mlp_bd,0.04734235104073633,0.13554606550453516,0.15934621778377775,0.35841945512908663,38692.21603867328,93.53217664233121,2.9644444444444447
mlp_sparse_hardinit_basin_partition_control,Sparse MLP,Sparse MLP \citep{fathi2024course},sparse_mlp,0.03968628918630111,0.09404628922237034,0.10668837668878643,0.22335355831728015,58181.16557287058,388.38599352948387,3.302222222222222
mlp_zero_sparse_hardinit_basin_partition_control,Dense MLP,Dense MLP \citep{lusch_deep_2018} \emph{[baseline]},dense_mlp_tanh,0.8303731539863205,2.681817018329388,2.931629719505353,1.280980109783693,17.705817803814647,2.2917483456675733,1.0
