root,reencode_period,n_pairs,target_dominance_mean,target_dominance_std,route_target_mean,route_target_std,fallback_mean,mse_ratio_median,mse_ratio_q25,mse_ratio_q75
lista_blockdiag_signsplit_hardinit_basin_partition,1.0,396,0.07027304292929293,0.2517602653953155,0.7421085858585859,0.3569417399836451,0.25789141414141414,0.2366530503216906,0.07119912238113364,0.641208122240932
lista_blockdiag_signsplit_hardinit_basin_partition,10.0,396,0.07122001262626262,0.25167514350128467,0.8237452651515151,0.2609639525121282,0.17625473484848486,0.03794420382274585,0.007619480669938375,0.18447523729913656
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,1.0,356,0.8271155196629213,0.3271284687659018,0.8552054073033708,0.2962983754178483,0.13917661516853932,0.00021648829770155,9.526542842563896e-05,0.00048336772056277504
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,10.0,356,0.8604722612359551,0.24280644782087962,0.8885621488764045,0.19456466856846866,0.10581987359550561,0.00030984567622844997,0.000131068207764375,0.0006460743535091501
