label,root,H100_mean,H100_iqm,H100_log10iqr,H500_mean,H500_iqm,H500_log10iqr,H1000_mean,H1000_iqm,H1000_log10iqr,HBgivenS,HBgivenS_std,HSgivenB,HSgivenB_std,U_exact,U_exact_std,MeanSupportSize,MeanSupportSize_std,UniqueSupportCount,UniqueSupportCount_std,HBgivenF,HBgivenF_std,FamilyUniqueCount,FamilyUniqueCount_std,FreezeWrongH1,FreezeWrongH1_std,FreezeWrongH20,FreezeWrongH20_std
LISTA,lista_dense_signsplit_p256_hardinit_basin_partition,0.04070701002243104,0.04070701002243104,0.7263369989185944,0.14448121488620966,0.14448121488620966,1.333217381472986,0.16614236385489453,0.16614236385489453,1.5276151034722276,0.0,0.0,1.2461272229479106,2.378129814049174,0.7734940881342439,0.35059088638408953,94.26515853304228,7.1314203807327186,662.3688095238093,2348.325690556098,0.03912094041785251,0.1447416775039736,3.235555555555555,1.9408501928019768,21935.884197406853,,110.20760610688899,
LISTA-BD,lista_blockdiag_signsplit_hardinit_basin_partition,0.041064799392257684,0.041064799392257684,0.6579205624681319,0.11841379146679257,0.11841379146679257,0.9886769504115547,0.13466424480152667,0.13466424480152667,1.152837984103079,0.0,0.0,1.2223672355649213,2.356944625969479,0.7779029362691448,0.3451797328031088,98.47806951180536,8.121460869732035,641.6376623376623,2273.6689344185434,0.04555441020805702,0.1637610446680901,3.0444444444444443,1.730889608258954,20979.53554544877,,99.02767755046949,
LISTA-SB,lista_dense_softblock_signsplit_p256_hardinit_basin_partition,0.03870329164728029,0.03870329164728029,0.6967765857398851,0.1137248610930761,0.1137248610930761,1.005335022579252,0.12997841420749734,0.12997841420749734,1.1615072815697276,0.0,0.0,1.2436117327375162,2.368057847291427,0.7709890499812132,0.3541126900603701,96.7372944523416,6.722955810472499,654.4546031746033,2320.6203918803303,0.044191891433025224,0.1432183843640005,3.1066666666666665,1.7632581674500662,25978.665945788194,,155.54926091566196,
"Sparse MLP, BD",mlp_sparse_blockdiag_hardinit_basin_partition_control,0.03974911229874811,0.03974911229874811,1.0316211524148167,0.10236387777508099,0.10236387777508099,1.3947644325974617,0.11687018383199176,0.11687018383199176,1.573116666251579,0.0,0.0,0.967244993095068,2.1953258565902893,0.8184326220668062,0.31636109705121945,104.88432140882898,10.476126146864411,466.3922318422318,1718.3600224864633,0.08807114909555797,0.22028165971513436,2.6130158730158737,1.1410905658694452,55692.96246275014,,357.6765553992948,
Sparse MLP,mlp_sparse_hardinit_basin_partition_control,0.03968628918630111,0.03968628918630111,1.1165527512904014,0.09404628922237034,0.09404628922237034,1.6125466819512773,0.10668837668878643,0.10668837668878643,1.9147113551898176,0.0,0.0,0.9667007819369269,2.2006893166260664,0.8160189023857684,0.32077080619357723,104.65270049057683,10.015679445487788,468.4128835978836,1726.1942239566458,0.07154675146584784,0.21652611418730608,2.631111111111111,1.130210450038249,70809.24923043692,,483.2463533201931,
Dense MLP,mlp_zero_sparse_hardinit_basin_partition_control,0.8303731539863205,0.8303731539863205,0.9118477639820027,2.681817018329388,2.681817018329388,1.4341952582242057,2.931629719505353,2.931629719505353,1.4937787646335232,0.029816731854347855,0.09596511913945596,0.904373229030759,2.058589721088472,0.8329176814662714,0.29181128093128056,254.2355300546313,0.6451671529599654,470.7607359307359,1746.040419047384,0.7648170358941152,0.6373574863523149,1.0,0.0,19.96844881127746,,2.372261335840918,
