root_label,display,system_key,horizon,n_pairs,log10_delta_iqm,log10_delta_median,iqm_ratio_to_dense,candidate_system_iqm,dense_system_iqm,p_raw,p_holm,passes_holm_0p05,reason
lista,LISTA,dysts:Chua,100,15,-0.12446285083164785,-0.13525271363067626,0.7848431094384062,8.921772470264701e-05,0.00011367587181403259,0.08441162109375,0.5064697265625,False,
lista,LISTA,dysts:Dadras,100,15,-0.40852621061316513,-0.4748154589951574,0.3725965771633548,0.00027085782286507144,0.0007269466212683999,0.002685546875,0.02685546875,True,
lista,LISTA,dysts:DequanLi,100,15,-0.09621502015528176,-0.019590966467697424,0.7088242991806135,0.00028866442361111434,0.0004072439727938285,0.1947021484375,0.6605224609375,False,
lista,LISTA,dysts:Hadley,100,15,-0.044274635297291934,-0.030723543727772196,0.7218326983664481,0.00023165907311645712,0.0003209318082163857,0.4234619140625,0.846923828125,False,
lista,LISTA,dysts:LorenzCoupled,100,15,0.11346860156578785,0.10634539483289895,1.2417656820124479,0.0010096105148217,0.0008130443041278856,0.772857666015625,0.846923828125,False,
lista,LISTA,dysts:LuChenCheng,100,15,-0.2347054966489923,-0.19127346112227261,0.5039520893081526,6.991873306105845e-05,0.00013874083379046198,0.023956298828125,0.167694091796875,False,
lista,LISTA,dysts:MultiChua,100,15,-0.40179836783457573,-0.3570949678198545,0.3469406630063095,7.578695138883112e-05,0.00021844355381154284,6.103515625e-05,0.000732421875,True,
lista,LISTA,dysts:QiChen,100,15,-0.695803546604291,-0.72551167482521,0.14789062039139028,0.00013208820122852856,0.0008931479283740858,6.103515625e-05,0.000732421875,True,
lista,LISTA,dysts:Sakarya,100,15,-0.5936538434695783,-0.4520494568907272,0.08263033303242022,0.0005708197131752429,0.006908113427925799,0.010772705078125,0.096954345703125,False,
lista,LISTA,dysts:SanUmSrisuchinwong,100,15,-0.24759999998624682,-0.27430596524700857,0.5228649588240282,0.00029266858057645713,0.0005597402840586142,0.08441162109375,0.5064697265625,False,
lista,LISTA,dysts:ShimizuMorioka,100,15,-0.21017754836159058,-0.19260172096554395,0.6397696333218464,8.830677325021292e-05,0.0001380290164628504,0.165130615234375,0.6605224609375,False,
lista,LISTA,dysts:WangSun,100,15,-0.20232888427264933,-0.21596254731196263,0.6005919604376384,0.0004991252998089,0.0008310555796404571,0.0206298828125,0.1650390625,False,
lista,LISTA,dysts:Chua,500,15,-0.35868419988800804,-0.3461420010111884,0.4538516874999876,0.0008462355056377999,0.0018645639730882856,0.010772705078125,0.06463623046875,False,
lista,LISTA,dysts:Dadras,500,15,-0.32711522922717134,-0.3135929509174873,0.413770686224349,0.00461443693244027,0.011152160087866386,3.0517578125e-05,0.0003662109375,True,
lista,LISTA,dysts:DequanLi,500,15,-0.1999128716554806,-0.18798106917618185,0.5992965655975696,0.0030809801537543,0.0051409941765346145,0.004180908203125,0.029266357421875,True,
lista,LISTA,dysts:Hadley,500,15,0.029385864782588138,0.11518471702646327,0.7201646923093938,0.0026059896419090432,0.0036186023415730995,0.532958984375,0.890380859375,False,
lista,LISTA,dysts:LorenzCoupled,500,15,-0.07598388656249479,-0.1394329417076301,0.7738644929322688,0.012834639288484998,0.016585124922650157,0.4451904296875,0.890380859375,False,
