root,display,transition,encoder,color,H5000_iqm,H5000_iqm_ci_lo,H5000_iqm_ci_hi,H5000_std_systems,H5000_log10_std_systems,H5000_n_systems,H10000_iqm,H10000_iqm_ci_lo,H10000_iqm_ci_hi,H10000_std_systems,H10000_log10_std_systems,H10000_n_systems,H20000_iqm,H20000_iqm_ci_lo,H20000_iqm_ci_hi,H20000_std_systems,H20000_log10_std_systems,H20000_n_systems,H30000_iqm,H30000_iqm_ci_lo,H30000_iqm_ci_hi,H30000_std_systems,H30000_log10_std_systems,H30000_n_systems
lista_dense_promoted_stage4,LISTA-D,dense,LISTA,dense_lista,0.16557928440826278,0.05168098116151261,0.6740323584319812,0.5685069960944289,0.7717822462273896,15,0.9567215059484754,0.34773334765035396,2.079634269303642,1.3067764612080544,0.6099314826733249,15,2.5850397646427155,1.4776656903191048,3.5156287931571044,1.9221837303127303,0.3350999536898343,15,3.223206009183611,2.4199806722667483,3.924810884085794,2.017504855861377,0.2350945816737564,15
lista_blockdiag_ns200k_denseopt_sc3em3,LISTA-BD (low sp),block-diagonal,LISTA,blockdiag_lista_sc3em3,0.6398112938872406,0.27040056146548264,1.5284832298263358,1.1303575621370505,0.5188000842069543,15,2.002792613846915,0.97050637547725,2.8855933794751762,1.6233817582514687,0.38810402713038716,15,2.8158560267516544,1.8135799752601556,3.7921194553375246,1.7258363946500836,0.28310856634018067,15,3.0010420850345065,2.293529384676367,3.900830782258085,1.6219064078858743,0.23873290526023067,15
lista_blockdiag_ns200k_denseopt_sc6em3,LISTA-BD (high sp),block-diagonal,LISTA,blockdiag_lista_sc6em3,0.7287907632333892,0.289222120134426,1.625389851481905,1.0669982621942913,0.5573814820312822,15,1.6944965826613563,0.8619563075651725,2.8093389757908866,1.3801230861800373,0.4218077185506132,15,2.0572945198842456,1.1618410024140031,3.3634470509489347,1.600104526407968,0.3451791842314027,15,2.235110668199403,1.2468886931607914,3.431805974493424,1.6338870668032923,0.3459078015242553,15
generic_sparse_ns200k_best,Sparse MLP,dense,MLP,sparse_mlp,0.2564849534205028,0.08455408131703732,1.0558495104845078,0.7065850071075856,0.720612051387471,15,1.1683013827673026,0.4399096887680993,2.442801950922743,1.4314043693436374,0.5622405052911086,15,2.9903910415513173,1.749785053055911,3.9867146335128276,1.596097784272645,0.284609962309529,15,3.786199629306793,2.751282484994994,4.46846914011985,1.4391053633746065,0.17951937116067962,15
generic_sparse_sc0_ns200k_best,Dense MLP,dense,MLP,zero_mlp,0.2594894306468112,0.10294971142300503,0.8041137216729111,0.6164581738301682,0.6069321987727447,15,1.4325741710407394,0.5906139122970802,2.6008417245048965,1.3474008294525748,0.4878812996742792,15,3.0350702234676907,1.7925761918404273,4.426569750010965,2.0951943481420434,0.3135922871202827,15,3.61793224300657,2.6506625924259426,4.594616378086895,2.049210558232071,0.21348199197591228,15
generic_sparse_blockdiag_ns200k_sc3em3,"Sparse MLP, BD (low sp)",block-diagonal,MLP,blockdiag_mlp,0.2007443710629429,0.07779663449195634,0.8448990725343006,0.710400478036727,0.6917859589098007,15,1.1705533702458655,0.5276546326000243,2.344696969365967,1.3682752202320938,0.48859157098071476,15,3.036590950829642,2.0514850357458703,3.930861974590354,1.7843551046083133,0.289923771759975,15,3.668839727129255,2.9237701269931025,4.393596291132272,1.7836233759102762,0.20531345972214032,15
generic_sparse_blockdiag_ns200k_sc6em3,"Sparse MLP, BD (high sp)",block-diagonal,MLP,blockdiag_lista_sc3em3,0.23699529202921046,0.07894192234546474,0.9632635383789114,0.8212278484043068,0.7221293711392025,15,1.2105577109115464,0.5684939407743513,2.517792519088834,1.4361212815830737,0.48763029100572997,15,2.990631618670055,1.7957540489650434,4.121359149697754,1.798657635458838,0.2672706297410651,15,3.5040698988097057,2.5678702862622838,4.5221165869385,1.796545511857511,0.18866137516164322,15
