method,horizon,system,seed_iqm_mse,num_seeds
gmm_hard,100,gated_transfer_linear,1.2070534945368296,3
gmm_hard,500,claude:arrested_spiral,3.9826859264108285,3
gmm_hard,500,claude:cal_asymmetric_3,2.720692670606604,3
gmm_hard,500,claude:cal_hexagon_6,3.042121069411818,3
gmm_hard,500,claude:cal_high_cross_3,2.8507011644096507,3
gmm_hard,500,claude:cal_octagon_8,3.4021753118344606,3
gmm_hard,500,claude:cal_pentagon_5,3.9825742604496916,3
gmm_hard,500,claude:cal_square_4,5.047555664804014,3
gmm_hard,500,claude:duffing_triple_well,0.14522728309355304,3
gmm_hard,500,claude:snic_multi,0.5952187346788137,3
gmm_hard,500,claude:transition_routes_4,7.581091031534219,3
gmm_hard,500,claude:var_depth_gradient_4,5.365320737521963,3
gmm_hard,500,claude:var_diamond_4,7.577986451043582,3
gmm_hard,500,claude:var_l_shape_5,3.8828810294789897,3
gmm_hard,500,gated_local_linear,1.5067568808893153,3
gmm_hard,500,gated_transfer_linear,1.8733900633588634,3
gmm_hard,1000,claude:arrested_spiral,3.927909640855131,3
gmm_hard,1000,claude:cal_asymmetric_3,2.804995771880524,3
gmm_hard,1000,claude:cal_hexagon_6,3.2896219123226254,3
gmm_hard,1000,claude:cal_high_cross_3,2.870560549166033,3
gmm_hard,1000,claude:cal_octagon_8,3.967981240878295,3
gmm_hard,1000,claude:cal_pentagon_5,4.221310767131018,3
gmm_hard,1000,claude:cal_square_4,5.284786846712546,3
gmm_hard,1000,claude:duffing_triple_well,0.07314058042467184,3
gmm_hard,1000,claude:snic_multi,0.7430472695944658,3
gmm_hard,1000,claude:transition_routes_4,9.63869899803458,3
gmm_hard,1000,claude:var_depth_gradient_4,5.389008835325899,3
gmm_hard,1000,claude:var_diamond_4,7.73900679240927,3
gmm_hard,1000,claude:var_l_shape_5,4.536332127100324,3
gmm_hard,1000,gated_local_linear,2.0344827399609398,3
gmm_hard,1000,gated_transfer_linear,2.368704673453634,3
gmm_soft,100,claude:arrested_spiral,2.8163208028318745,3
gmm_soft,100,claude:cal_asymmetric_3,1.14022797078381,3
gmm_soft,100,claude:cal_hexagon_6,1.3779986640469224,3
gmm_soft,100,claude:cal_high_cross_3,2.1782033850288864,3
gmm_soft,100,claude:cal_octagon_8,1.978006964683708,3
gmm_soft,100,claude:cal_pentagon_5,1.8111813639400005,3
gmm_soft,100,claude:cal_square_4,2.186337311346628,3
gmm_soft,100,claude:duffing_triple_well,0.45520476851062286,3
gmm_soft,100,claude:snic_multi,0.36781857496665143,3
gmm_soft,100,claude:transition_routes_4,1.6162645225342693,3
gmm_soft,100,claude:var_depth_gradient_4,2.3143644585834555,3
gmm_soft,100,claude:var_diamond_4,2.3445772357879844,3
gmm_soft,100,claude:var_l_shape_5,1.9378427042135271,3
gmm_soft,100,gated_local_linear,1.1969106253264246,3
gmm_soft,100,gated_transfer_linear,1.2201247409460836,3
gmm_soft,500,claude:arrested_spiral,4.303804741540225,3
gmm_soft,500,claude:cal_asymmetric_3,2.7205218548076444,3
gmm_soft,500,claude:cal_hexagon_6,2.922631441947362,3
gmm_soft,500,claude:cal_high_cross_3,2.8507104397468095,3
gmm_soft,500,claude:cal_octagon_8,4.279023390706304,3
gmm_soft,500,claude:cal_pentagon_5,4.17828718597362,3
gmm_soft,500,claude:cal_square_4,5.047085535134749,3
gmm_soft,500,claude:duffing_triple_well,0.19866546415820566,3
gmm_soft,500,claude:snic_multi,0.595022441654447,3
gmm_soft,500,claude:transition_routes_4,7.57928776424157,3
gmm_soft,500,claude:var_depth_gradient_4,5.365236992563115,3
gmm_soft,500,claude:var_diamond_4,7.577666835778342,3
gmm_soft,500,claude:var_l_shape_5,4.739344398046999,3
gmm_soft,500,gated_local_linear,1.5064624343724697,3
gmm_soft,500,gated_transfer_linear,1.8179972875351031,3
gmm_soft,1000,claude:arrested_spiral,4.240897031502332,3
gmm_soft,1000,claude:cal_asymmetric_3,2.8048565164367223,3
gmm_soft,1000,claude:cal_hexagon_6,3.1960261416539297,3
gmm_soft,1000,claude:cal_high_cross_3,2.8705548752145815,3
gmm_soft,1000,claude:cal_octagon_8,4.646510589160205,3
gmm_soft,1000,claude:cal_pentagon_5,4.5792782996860195,3
gmm_soft,1000,claude:cal_square_4,5.284412628914018,3
gmm_soft,1000,claude:duffing_triple_well,0.10011387843712531,3
gmm_soft,1000,claude:snic_multi,0.7429287866187909,3
gmm_soft,1000,claude:transition_routes_4,9.638794196578152,3
gmm_soft,1000,claude:var_depth_gradient_4,5.388785937963992,3
gmm_soft,1000,claude:var_diamond_4,7.738433359157778,3
gmm_soft,1000,claude:var_l_shape_5,5.603125312662048,3
gmm_soft,1000,gated_local_linear,2.033876545767041,3
gmm_soft,1000,gated_transfer_linear,2.2529981244555723,3
kmeans_hard,100,claude:arrested_spiral,1.6402403165563062,3
kmeans_hard,100,claude:cal_asymmetric_3,1.6362984868500579,3
kmeans_hard,100,claude:cal_hexagon_6,0.9298857080794457,3
kmeans_hard,100,claude:cal_high_cross_3,2.5870237857290648,3
kmeans_hard,100,claude:cal_octagon_8,1.0731163435228408,3
kmeans_hard,100,claude:cal_pentagon_5,1.1546916057320955,3
kmeans_hard,100,claude:cal_square_4,1.4300496109025345,3
kmeans_hard,100,claude:duffing_triple_well,0.32746585315666016,3
kmeans_hard,100,claude:snic_multi,0.17849312851603663,3
kmeans_hard,100,claude:transition_routes_4,2.2902089847900164,3
kmeans_hard,100,claude:var_depth_gradient_4,1.9355926437632338,3
kmeans_hard,100,claude:var_diamond_4,2.8796867767692382,3
kmeans_hard,100,claude:var_l_shape_5,2.0841573335675827,3
kmeans_hard,100,gated_local_linear,0.268368937365226,3
kmeans_hard,100,gated_transfer_linear,0.5999668733829807,3
kmeans_hard,500,claude:arrested_spiral,3.261328434579047,3
kmeans_hard,500,claude:cal_asymmetric_3,7.745133332377125,3
kmeans_hard,500,claude:cal_hexagon_6,1.061649847585783,3
kmeans_hard,500,claude:cal_high_cross_3,3.1418764998489856,3
kmeans_hard,500,claude:cal_octagon_8,0.8446144810032155,3
kmeans_hard,500,claude:cal_pentagon_5,1.369759937854602,3
kmeans_hard,500,claude:cal_square_4,1.844873170964337,3
kmeans_hard,500,claude:duffing_triple_well,0.14557228451203655,3
kmeans_hard,500,claude:snic_multi,0.27490833977288,3
kmeans_hard,500,claude:transition_routes_4,5.49590362778893,3
kmeans_hard,500,claude:var_depth_gradient_4,2.449972316961983,3
kmeans_hard,500,claude:var_diamond_4,3.691844806188076,3
kmeans_hard,500,claude:var_l_shape_5,12.918050222257122,3
kmeans_hard,500,gated_local_linear,0.3176712348865892,3
kmeans_hard,500,gated_transfer_linear,1.095411942648026,3
kmeans_hard,1000,claude:arrested_spiral,2.6456144168435074,3
kmeans_hard,1000,claude:cal_asymmetric_3,1979.0544275699058,3
kmeans_hard,1000,claude:cal_hexagon_6,1.0646114369072583,3
kmeans_hard,1000,claude:cal_high_cross_3,3.2120863156317134,3
kmeans_hard,1000,claude:cal_octagon_8,0.7925749238139849,3
kmeans_hard,1000,claude:cal_pentagon_5,1.3704727905366045,3
kmeans_hard,1000,claude:cal_square_4,1.8964848219311714,3
kmeans_hard,1000,claude:duffing_triple_well,0.08358024556736182,3
kmeans_hard,1000,claude:snic_multi,0.2876437555928358,3
kmeans_hard,1000,claude:transition_routes_4,57.79456574644826,3
kmeans_hard,1000,claude:var_depth_gradient_4,2.5168034430998336,3
kmeans_hard,1000,claude:var_diamond_4,3.7957605137704378,3
kmeans_hard,1000,claude:var_l_shape_5,8.833441771803882,3
kmeans_hard,1000,gated_local_linear,0.32398270122548084,3
kmeans_hard,1000,gated_transfer_linear,1.2141577828003693,3
rbf_dictionary_edmd,100,claude:arrested_spiral,0.5299212564207796,3
rbf_dictionary_edmd,100,claude:cal_asymmetric_3,0.760951786729621,3
rbf_dictionary_edmd,100,claude:cal_hexagon_6,0.3899942378285414,3
rbf_dictionary_edmd,100,claude:cal_high_cross_3,1.3874144388661904,3
rbf_dictionary_edmd,100,claude:cal_octagon_8,0.4152592373854775,3
rbf_dictionary_edmd,100,claude:cal_pentagon_5,0.5350402557793162,3
rbf_dictionary_edmd,100,claude:cal_square_4,0.6044153330498062,3
rbf_dictionary_edmd,100,claude:duffing_triple_well,0.36530884693597393,3
rbf_dictionary_edmd,100,claude:snic_multi,0.0904969714782659,3
rbf_dictionary_edmd,100,claude:transition_routes_4,1.1277455116091872,3
rbf_dictionary_edmd,100,claude:var_depth_gradient_4,0.8087852632062013,3
rbf_dictionary_edmd,100,claude:var_diamond_4,1.2022882694529164,3
rbf_dictionary_edmd,100,claude:var_l_shape_5,0.5059144079740743,3
rbf_dictionary_edmd,100,gated_local_linear,0.48648430482821664,3
rbf_dictionary_edmd,100,gated_transfer_linear,0.6910577090186113,3
rbf_dictionary_edmd,500,claude:arrested_spiral,0.6098795321658849,3
rbf_dictionary_edmd,500,claude:cal_asymmetric_3,1.037089345929077,3
rbf_dictionary_edmd,500,claude:cal_hexagon_6,0.4089965661032271,3
rbf_dictionary_edmd,500,claude:cal_high_cross_3,1.326108657195395,3
rbf_dictionary_edmd,500,claude:cal_octagon_8,0.5128247663091283,3
rbf_dictionary_edmd,500,claude:cal_pentagon_5,0.6004694297982455,3
rbf_dictionary_edmd,500,claude:cal_square_4,0.7368021936191821,3
rbf_dictionary_edmd,500,claude:duffing_triple_well,0.187283652492963,3
rbf_dictionary_edmd,500,claude:snic_multi,0.1397300400067311,3
rbf_dictionary_edmd,500,claude:transition_routes_4,1.9649331216423789,3
rbf_dictionary_edmd,500,claude:var_depth_gradient_4,0.8894248575178225,3
rbf_dictionary_edmd,500,claude:var_diamond_4,1.3129243438091178,3
rbf_dictionary_edmd,500,claude:var_l_shape_5,0.6770376734503966,3
rbf_dictionary_edmd,500,gated_local_linear,0.6086334574209108,3
rbf_dictionary_edmd,500,gated_transfer_linear,1.1085055534508406,3
rbf_dictionary_edmd,1000,claude:arrested_spiral,0.6016301681532298,3
rbf_dictionary_edmd,1000,claude:cal_asymmetric_3,0.9071199072593742,3
rbf_dictionary_edmd,1000,claude:cal_hexagon_6,0.3962297036480957,3
rbf_dictionary_edmd,1000,claude:cal_high_cross_3,1.1313353818722882,3
rbf_dictionary_edmd,1000,claude:cal_octagon_8,0.5214122014084578,3
rbf_dictionary_edmd,1000,claude:cal_pentagon_5,0.5719516757939275,3
rbf_dictionary_edmd,1000,claude:cal_square_4,0.7390136229935783,3
rbf_dictionary_edmd,1000,claude:duffing_triple_well,0.09599477206139852,3
rbf_dictionary_edmd,1000,claude:snic_multi,0.14665548933616726,3
rbf_dictionary_edmd,1000,claude:transition_routes_4,1.7963339218854812,3
rbf_dictionary_edmd,1000,claude:var_depth_gradient_4,0.8325490902562737,3
rbf_dictionary_edmd,1000,claude:var_diamond_4,1.1467993254612308,3
rbf_dictionary_edmd,1000,claude:var_l_shape_5,0.5757657996467244,3
rbf_dictionary_edmd,1000,gated_local_linear,0.6142523413763523,3
rbf_dictionary_edmd,1000,gated_transfer_linear,1.1845621971176452,3
