root_label,label,horizon,system,p_raw_t,p_holm_t,p_raw_w,p_holm_w,mean_diff_log10,median_diff_log10,hl_diff_log10,lo_log10,hi_log10,n_seeds
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,100,claude_arrested_spiral,1.210290911469578e-06,1.0892618203226202e-05,0.001953125,0.0166015625,-1.9994474676082215,-1.9172816243022128,-2.0010826217903994,-2.6566508518657836,-1.4759947706552534,9
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,100,claude_cal_asymmetric_3,4.1270248755224315e-07,4.1270248755224315e-06,0.001953125,0.0166015625,-1.8208607137318156,-1.7385580643252478,-1.7319803647424834,-2.240583264051507,-1.3725946472138124,9
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,100,claude_cal_hexagon_6,3.228320654593602e-09,4.5196489164310426e-08,0.001953125,0.0166015625,-1.7049216925642419,-1.6972883894984236,-1.6903803230173073,-1.8968556910435637,-1.5827505010461125,9
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,100,claude_cal_high_cross_3,3.4840454596633956e-09,4.5292590975624145e-08,0.0009765625,0.0166015625,-1.2255555359462413,-1.3133358704639795,-1.2308598638120416,-1.3423220704098147,-1.0538905006552433,10
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,100,claude_cal_octagon_8,5.324259332058187e-09,6.389111198469825e-08,0.0009765625,0.0166015625,-1.9634442667648961,-1.9541064163257664,-1.9236427832301863,-2.135515014792019,-1.7441443334038733,10
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,100,claude_cal_pentagon_5,1.1082503840924831e-05,5.5412519204624156e-05,0.0009765625,0.0166015625,-1.3276085349276463,-1.282166466016018,-1.0944958793283655,-1.7536839580659682,-0.9703616873584431,10
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,100,claude_cal_square_4,2.7393429265717303e-09,4.1090143898575956e-08,0.0009765625,0.0166015625,-1.684807179101273,-1.7124032698633544,-1.690901270744379,-1.95699750279341,-1.4482258908064924,10
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,100,claude_checkerboard_potential,0.40653886411616924,0.8130777282323385,0.4609375,0.921875,-0.13741198598971682,0.16966348562617162,-0.14394135126532415,-1.6290537386462556,1.2195252541325208,10
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,100,claude_duffing_triple_well,0.003991548793082209,0.015966195172328838,0.0068359375,0.02734375,-0.5446154622709614,-0.4712447770960151,-0.4670725605510122,-0.918881767408116,-0.19298306801846787,10
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,100,claude_snic_multi,1.1208211190673748e-09,1.7933137905077997e-08,0.0009765625,0.0166015625,-2.107037881109424,-2.089485953148044,-2.1846778756901193,-2.418258050620777,-1.7904499919155623,10
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,100,claude_transition_routes_4,5.903794309789494e-06,3.5422765858736964e-05,0.0009765625,0.0166015625,-1.5663899221193631,-1.7348644132371893,-1.6691888378494832,-1.9793573917444136,-0.877733637481325,10
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,100,claude_var_depth_gradient_4,2.0742783527945614e-06,1.451994846956193e-05,0.0009765625,0.0166015625,-1.5361511332005864,-1.6113192159341065,-1.6597287077288985,-1.9007277834652068,-1.2290591745735413,10
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,100,claude_var_diamond_4,1.6273393255573395e-06,1.3018714604458716e-05,0.0009765625,0.0166015625,-1.8488132739527245,-1.7435598701676933,-1.6770556799081002,-2.364076971439661,-1.398620678439133,10
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,100,claude_var_l_shape_5,7.217845637777642e-08,7.939630201555406e-07,0.0009765625,0.0166015625,-1.8589960072489042,-1.8866026922238994,-1.9095340551516906,-2.019599262641117,-1.5507485118460334,10
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,100,gated_local_linear,1.2067837175540082e-11,2.051532319841814e-10,0.0009765625,0.0166015625,-2.147886794123428,-2.1587732539609163,-2.159690472708763,-2.26620421284312,-2.09150175424756,10
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,100,gated_transfer_linear,0.02104502497482109,0.06313507492446327,0.0419921875,0.1259765625,-0.2208426746498239,-0.2546478751497787,-0.2842571806123091,-0.4105354196849051,-0.11767507639008573,10
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,100,multiwell_strong_transition,0.999980871107339,0.999980871107339,1.0,1.0,2.6062730570091714,2.4560591634156737,2.620914796898461,1.6157659012429302,3.3498770675014446,10
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,500,claude_arrested_spiral,6.6449791416709496e-06,6.64497914167095e-05,0.001953125,0.0166015625,-2.4261125283811085,-2.124362717164447,-2.124362717164447,-3.3201973466974826,-1.6035633588178184,9
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,500,claude_cal_asymmetric_3,1.1806407778902128e-05,0.00010625767001011916,0.001953125,0.0166015625,-1.9767142068168415,-1.808473177728695,-1.7982522512228787,-3.1082637841928182,-1.4222130195378615,9
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,500,claude_cal_hexagon_6,2.159292427462709e-10,3.4548678839403346e-09,0.001953125,0.0166015625,-1.944947712170276,-1.894737321799891,-1.923291616586085,-2.1648147601343175,-1.8125262766026082,9
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,500,claude_cal_high_cross_3,7.546211276418866e-07,9.055453531702638e-06,0.0009765625,0.0166015625,-1.1653201433215787,-1.1991505475618078,-1.208465179095385,-1.4378136935781125,-1.0322950137681937,10
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,500,claude_cal_octagon_8,1.639363352481998e-08,2.2951086934747973e-07,0.0009765625,0.0166015625,-2.1527027946577704,-2.068400553393559,-2.0678390767171617,-2.284662936414909,-1.9170628058032304,10
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,500,claude_cal_pentagon_5,2.556556318129774e-05,0.00015339337908778643,0.0009765625,0.0166015625,-1.7095601145837818,-1.7004316406037452,-1.5277549272635311,-2.2986248472396706,-1.0102970172339545,10
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,500,claude_cal_square_4,1.795383792616839e-08,2.333998930401891e-07,0.0009765625,0.0166015625,-1.9233817880017228,-2.012442199328321,-1.932010875187769,-2.249520002038934,-1.5743511564541053,10
