root_label,display,system_key,horizon,n_seeds,mse_iqm,mse_log10_iqm,mse_median,mse_q25,mse_q75,full_finite_iqm,full_finite_min
lista,LISTA,dysts:Chua,100,15,8.921772470264701e-05,-4.057143203997531,8.596420229878277e-05,6.283044240262825e-05,0.00014002557145425,1.0,1.0
lista,LISTA,dysts:Dadras,100,15,0.00027085782286507144,-3.568880010701637,0.0002728934341575,0.00023530321777795,0.00031706187292,1.0,1.0
lista,LISTA,dysts:DequanLi,100,15,0.00028866442361111434,-3.5449664807952885,0.0002763806551229,0.00022397113934855,0.00035616433888205,1.0,1.0
lista,LISTA,dysts:Hadley,100,15,0.00023165907311645712,-3.636472375423666,0.0002263932838104,0.0002135401955456,0.0002912332711275,1.0,1.0
lista,LISTA,dysts:LuChenCheng,100,15,6.991873306105845e-05,-4.158212750124302,6.940326420590281e-05,5.445937313197646e-05,9.402373689222521e-05,1.0,1.0
lista,LISTA,dysts:QiChen,100,15,0.00013208820122852856,-3.88448126819779,0.0001351977552985,0.00010759613360270001,0.0002437500734231,1.0,1.0
lista,LISTA,dysts:Sakarya,100,15,0.0005708197131752429,-3.265190322719041,0.0005483447457663,0.0002977654949063,0.0010830386308952498,1.0,1.0
lista,LISTA,dysts:SanUmSrisuchinwong,100,15,0.00029266858057645713,-3.5485448681557648,0.0002833616454154,0.0001817089068936,0.00043641001684585,1.0,1.0
lista,LISTA,dysts:ShimizuMorioka,100,15,8.830677325021292e-05,-4.094798111607637,6.640448555117473e-05,5.1580545914475806e-05,0.00023897088976805,1.0,1.0
lista,LISTA,dysts:WangSun,100,15,0.0004991252998089,-3.313355916642916,0.0005429334705695,0.0002908580063376,0.0008013124170246999,1.0,1.0
lista,LISTA,dysts:Chua,500,15,0.0008462355056377999,-3.075744755830734,0.0008166265324689,0.0006145491206552499,0.0010135520424228001,1.0,1.0
lista,LISTA,dysts:Dadras,500,15,0.00461443693244027,-2.340142899459319,0.0045308913104236,0.00378613127395505,0.0057297323364764,1.0,1.0
lista,LISTA,dysts:DequanLi,500,15,0.0030809801537543,-2.5146234003830683,0.0032623587176203,0.0023312789853661498,0.00360130355693395,1.0,1.0
lista,LISTA,dysts:Hadley,500,15,0.0026059896419090432,-2.5851330543072613,0.0025234040804207,0.0022567381383850503,0.0030003956053405497,1.0,1.0
lista,LISTA,dysts:LuChenCheng,500,15,0.0009095235478265571,-3.049576387682514,0.0008396250195801,0.0007155853381845499,0.0012258238275535,1.0,1.0
lista,LISTA,dysts:QiChen,500,15,0.0016441787925681427,-2.7876031230733096,0.0015803121495991,0.00132063234923405,0.0021661840146407,1.0,1.0
lista,LISTA,dysts:Sakarya,500,15,0.009318429211686715,-2.077831272104755,0.0112695023417472,0.00291583826765415,0.01454337593168015,1.0,1.0
lista,LISTA,dysts:SanUmSrisuchinwong,500,15,0.004198672316436214,-2.3960344187650766,0.0043955412693321,0.0019182325340807,0.0069665794726461,1.0,1.0
lista,LISTA,dysts:ShimizuMorioka,500,15,0.0009812592013206428,-3.061835221070317,0.0007182405679486,0.00057088813628065,0.0034582038642838,1.0,1.0
lista,LISTA,dysts:WangSun,500,15,0.013271874748170329,-1.8984982205820462,0.0134205603972077,0.00730163580738,0.0275455536320805,1.0,1.0
lista,LISTA,dysts:Chua,1000,15,0.002813382739467214,-2.5541759745290578,0.002980415476486,0.00214610702823845,0.0032453194726258,1.0,1.0
lista,LISTA,dysts:Dadras,1000,15,0.02510524913668627,-1.6197044262504363,0.0200378708541393,0.018338245339691597,0.0462634842842817,1.0,1.0
lista,LISTA,dysts:DequanLi,1000,15,0.009629381820559458,-2.0204825375608735,0.0098403729498386,0.00720825907774265,0.0111445123329758,1.0,1.0
lista,LISTA,dysts:Hadley,1000,15,0.008343252087277986,-2.0804724340348817,0.0085362903773784,0.00713278399780385,0.0098988027311861,1.0,1.0
lista,LISTA,dysts:LuChenCheng,1000,15,0.0026404413594198575,-2.5831628352554508,0.0026489151641726,0.00207597180269655,0.0034437160938978,1.0,1.0
lista,LISTA,dysts:QiChen,1000,15,0.0055123179751847004,-2.2642926403773633,0.0051573766395449,0.00462019885890185,0.0077895154245197495,1.0,1.0
