root_label,display,horizon,n_systems,cross_system_mean,cross_system_log10_iqm_mean,cross_system_log_iqm_geomean,system_q25,system_q75,system_median,seed_bootstrap_ci95_low,seed_bootstrap_ci95_high,seed_bootstrap_se,log_relative_seed_bootstrap_ci95_low,log_relative_seed_bootstrap_ci95_high,log_relative_seed_bootstrap_se_log10,system_bootstrap_ci95_low,system_bootstrap_ci95_high,system_bootstrap_se,log_seed_bootstrap_ci95_low,log_seed_bootstrap_ci95_high,log_seed_bootstrap_se_log10,seed_bootstrap_reps,full_finite_mean,full_finite_iqm
lista,LISTA,100,10,0.000265034274384,-3.696568618233,0.0002011089422336,0.0001182705462068,0.0002946063359559,0.000255240632719,0.0002350468288518,0.0003901215260864,4.472202569244e-05,0.0002377967636707,0.0003404645563633,0.04044029061586,0.0001667921812279,0.0003748513936857,5.388877502679e-05,0.0001827219225278,0.0002371277488422,0.02899796178187,10000,1,1
lista,LISTA,500,10,0.00435883113985,-2.57399639274,0.002666880815604,0.001412916393343,0.004599274362489,0.002846235267094,0.003647888827044,0.007382567173109,0.000959590483263,0.003894821586928,0.005649536516024,0.04141122585258,0.002134349677686,0.007262487251864,0.001340065238358,0.002404412579048,0.003219542388668,0.03235844590874,10000,1,1
lista,LISTA,1000,10,0.01977749887802,-2.007203719386,0.009835496328734,0.005006189238177,0.02428835944738,0.00897006990595,0.01531846756846,0.02956870507148,0.003792663328262,0.01708197741019,0.02567617979521,0.04489956370012,0.007750262636885,0.03614810026548,0.007475387354652,0.008634774830171,0.01180504732038,0.03479960480544,10000,1,1
lista,LISTA,1500,10,0.04872757433914,-1.642904191316,0.02275599390028,0.01511759184197,0.05583651964035,0.018639722839,0.03890776313408,0.07265831020945,0.008651309653856,0.04080005584831,0.06383898300041,0.05125411202262,0.01816417584429,0.09044188957053,0.01900337558305,0.01997508987087,0.02777847459252,0.03691692009975,10000,1,1
lista,LISTA,2000,10,0.09990608915169,-1.354777157985,0.04417970808975,0.02714764321637,0.1093482136623,0.04092716115216,0.08246645787679,0.1631331319335,0.01996569253631,0.0823473475826,0.1468600608104,0.06677515035637,0.03503070563776,0.1856634944677,0.03930682815196,0.03859171103587,0.05595740529151,0.04132512117366,10000,1,1
lista,LISTA,3000,10,0.2443076325684,-0.9193334544847,0.120411106006,0.07585274997271,0.3089355095807,0.1326757934358,0.2114937815782,0.9338355653402,0.3055671731059,0.2088363377539,0.4140387306302,0.07940858833448,0.1018200611403,0.4225232202203,0.08258792271159,0.1063532886118,0.1536304168656,0.04008957104168,10000,1,1
lista,LISTA,4000,10,0.4654602565078,-0.5905080900342,0.2567390382333,0.1632714608891,0.6575622624821,0.3049402568075,0.4199900003393,0.5991738172165,5.567301374843,0.4116111101414,0.6184453978632,0.05748823265363,0.225853560955,0.7516281648073,0.1365768676847,0.2308378061952,0.3040614255086,0.03049215231001,10000,1,1
lista,LISTA,5000,10,0.7095478496618,-0.3691501098299,0.4274151285719,0.2880248948932,1.01756122046,0.5105563965109,0.6559337426525,0.8829928296132,147.0032029141,0.6460552070197,0.9196901577435,0.06490196268315,0.366721777115,1.108767378394,0.1891077190963,0.3930473519156,0.5004214169173,0.02704524633248,10000,1,1
lista_bd,LISTA-BD,100,10,0.0003693338288333,-3.682183889901,0.0002078816283878,0.0001139276398842,0.0003081320658869,0.0001913385802052,0.000292957216253,0.0006617432922414,9.498797137534e-05,0.0003310086320049,0.0004862967469119,0.04290849545772,0.0001475646485,0.000647065976793,0.0001307293901949,0.0001875061455342,0.0002486782462494,0.03155938989336,10000,1,1
lista_bd,LISTA-BD,500,10,0.0071455412706,-2.489515906413,0.003239545571002,0.001489264033605,0.005859414749365,0.002905380006673,0.005726384179749,0.01795226885615,0.003260969644832,0.006402225993508,0.009516588520185,0.04439805635429,0.002203143057365,0.01353535555192,0.002981216135312,0.00290936653699,0.003853683067413,0.03107054880411,10000,1,1
lista_bd,LISTA-BD,1000,10,0.02642479148279,-1.952062194775,0.01116703314629,0.004899028404098,0.03034713434883,0.009989436896932,0.02024095391822,0.06502131294553,0.01171663547586,0.02343626699459,0.03570896346153,0.04714062786704,0.008031758989802,0.05260897915733,0.01184871816855,0.009962903152288,0.01347931764483,0.03365282554988,10000,1,1
lista_bd,LISTA-BD,1500,10,0.06725882453482,-1.616010159398,0.02420972412562,0.01135995779704,0.05607395689003,0.02109773529487,0.04810375121817,0.1374850308302,0.02336008930256,0.05936713143509,0.09027934177276,0.04702960369935,0.01719855911784,0.1447824067552,0.03475039423782,0.02155784014693,0.02932967443478,0.03408360653215,10000,1,1
lista_bd,LISTA-BD,2000,10,0.1224366704209,-1.355897801348,0.04406585475576,0.02040568521867,0.0970543064177,0.04139184775866,0.09381487375811,0.2230667104591,0.03257092997416,0.1092388198591,0.1656846248079,0.04631346828634,0.03062543347271,0.2568995828678,0.06089289530088,0.03941218517307,0.05319879764448,0.03363442473292,10000,1,1
lista_bd,LISTA-BD,3000,10,0.2686777326071,-0.9424671082501,0.1141649765392,0.06521944411927,0.2920378096816,0.120396176974,0.2353988511144,3.916040701707,1.397282410208,0.2422410947184,0.4232130749834,0.0607448401567,0.08817635172616,0.5188297311232,0.113467429574,0.1021620242115,0.1389661153745,0.03409320105501,10000,1,1
lista_bd,LISTA-BD,4000,10,0.4919889658483,-0.6158650047173,0.242178171184,0.166249356543,0.62968309472,0.2733956062131,0.4476265206855,0.7006781559287,248.1127988433,0.4469427467378,0.6387980792919,0.05935199317789,0.2046173802215,0.877970544671,0.177586823412,0.2202717243481,0.2814790509534,0.02721845496043,10000,1,1
lista_bd,LISTA-BD,5000,10,0.747203662619,-0.3841340923537,0.4129199895202,0.2906000403066,0.9672109377053,0.4807896266381,0.6913788942822,1.152510783252,49726.87645231,0.6851648471737,0.9761069275519,0.07979267187791,0.3529838359966,1.250859744276,0.232883169309,0.3778256469628,0.471963545242,0.02566118734347,10000,1,1
lista_sb,LISTA-SB,100,10,0.0005616298978566,-3.443937872046,0.0003598008027422,0.0002741867922142,0.0007558860072297,0.0004167566468014,0.000457990407453,0.001817258401865,0.0003567129736004,0.0004627957070193,0.00096766940416,0.08140870499633,0.0003237618336505,0.0008258039838963,0.0001293484487396,0.0003102800929888,0.0004744369110396,0.04676157764112,10000,1,1
