root_label,system_key,seed,status,h100_best_periodic_mean,h100_best_periodic_mode,h100_best_periodic_full_finite_fraction,h100_best_periodic_finite_step_fraction,h100_best_periodic_num_full_horizon_finite,h100_best_periodic_median_finite_prefix_length,h100_best_periodic_min_finite_prefix_length,h500_best_periodic_mean,h500_best_periodic_mode,h500_best_periodic_full_finite_fraction,h500_best_periodic_finite_step_fraction,h500_best_periodic_num_full_horizon_finite,h500_best_periodic_median_finite_prefix_length,h500_best_periodic_min_finite_prefix_length,h1000_best_periodic_mean,h1000_best_periodic_mode,h1000_best_periodic_full_finite_fraction,h1000_best_periodic_finite_step_fraction,h1000_best_periodic_num_full_horizon_finite,h1000_best_periodic_median_finite_prefix_length,h1000_best_periodic_min_finite_prefix_length,h1500_best_periodic_mean,h1500_best_periodic_mode,h1500_best_periodic_full_finite_fraction,h1500_best_periodic_finite_step_fraction,h1500_best_periodic_num_full_horizon_finite,h1500_best_periodic_median_finite_prefix_length,h1500_best_periodic_min_finite_prefix_length,h2000_best_periodic_mean,h2000_best_periodic_mode,h2000_best_periodic_full_finite_fraction,h2000_best_periodic_finite_step_fraction,h2000_best_periodic_num_full_horizon_finite,h2000_best_periodic_median_finite_prefix_length,h2000_best_periodic_min_finite_prefix_length,h3000_best_periodic_mean,h3000_best_periodic_mode,h3000_best_periodic_full_finite_fraction,h3000_best_periodic_finite_step_fraction,h3000_best_periodic_num_full_horizon_finite,h3000_best_periodic_median_finite_prefix_length,h3000_best_periodic_min_finite_prefix_length,h4000_best_periodic_mean,h4000_best_periodic_mode,h4000_best_periodic_full_finite_fraction,h4000_best_periodic_finite_step_fraction,h4000_best_periodic_num_full_horizon_finite,h4000_best_periodic_median_finite_prefix_length,h4000_best_periodic_min_finite_prefix_length,h5000_best_periodic_mean,h5000_best_periodic_mode,h5000_best_periodic_full_finite_fraction,h5000_best_periodic_finite_step_fraction,h5000_best_periodic_num_full_horizon_finite,h5000_best_periodic_median_finite_prefix_length,h5000_best_periodic_min_finite_prefix_length
lista,dysts:Chua,10,complete,7.326798368012533e-05,periodic_100,1.0,1.0,100.0,100.0,100.0,0.0007937024347484112,periodic_200,1.0,1.0,100.0,500.0,500.0,0.002980415476486087,periodic_200,1.0,1.0,100.0,1000.0,1000.0,0.006503724027425051,periodic_200,1.0,1.0,100.0,1500.0,1500.0,0.01080324687063694,periodic_200,1.0,1.0,100.0,2000.0,2000.0,0.022428948432207108,periodic_200,1.0,1.0,100.0,3000.0,3000.0,0.04058916121721268,periodic_200,1.0,1.0,100.0,4000.0,4000.0,0.0654815211892128,periodic_200,1.0,1.0,100.0,5000.0,5000.0
lista,dysts:Chua,11,complete,6.0250833485042676e-05,periodic_100,1.0,1.0,100.0,100.0,100.0,0.0005347051774151623,periodic_200,1.0,1.0,100.0,500.0,500.0,0.0016840159660205245,periodic_200,1.0,1.0,100.0,1000.0,1000.0,0.0034652298782020807,periodic_200,1.0,1.0,100.0,1500.0,1500.0,0.005819360725581646,periodic_200,1.0,1.0,100.0,2000.0,2000.0,0.011462037451565266,periodic_200,1.0,1.0,100.0,3000.0,3000.0,0.01744038797914982,periodic_200,1.0,1.0,100.0,4000.0,4000.0,0.026800284162163734,periodic_200,1.0,1.0,100.0,5000.0,5000.0
lista,dysts:Chua,12,complete,5.899053576285951e-05,periodic_100,1.0,1.0,100.0,100.0,100.0,0.0005571926012635231,periodic_200,1.0,1.0,100.0,500.0,500.0,0.001964345807209611,periodic_200,1.0,1.0,100.0,1000.0,1000.0,0.004523169249296188,periodic_200,1.0,1.0,100.0,1500.0,1500.0,0.00814907904714346,periodic_200,1.0,1.0,100.0,2000.0,2000.0,0.02010001614689827,periodic_200,1.0,1.0,100.0,3000.0,3000.0,0.04154739901423454,periodic_150,1.0,1.0,100.0,4000.0,4000.0,0.0727570429444313,periodic_150,1.0,1.0,100.0,5000.0,5000.0
lista,dysts:Chua,13,complete,5.8282017562305555e-05,periodic_100,1.0,1.0,100.0,100.0,100.0,0.0003484052431304008,periodic_200,1.0,1.0,100.0,500.0,500.0,0.0011623369064182043,periodic_200,1.0,1.0,100.0,1000.0,1000.0,0.0025392838288098574,periodic_200,1.0,1.0,100.0,1500.0,1500.0,0.004290990065783262,periodic_200,1.0,1.0,100.0,2000.0,2000.0,0.008189781568944454,periodic_200,1.0,1.0,100.0,3000.0,3000.0,0.01578189805150032,periodic_150,1.0,1.0,100.0,4000.0,4000.0,0.02514541894197464,periodic_100,1.0,1.0,100.0,5000.0,5000.0
lista,dysts:Chua,14,complete,0.0001608278398634866,periodic_100,1.0,1.0,100.0,100.0,100.0,0.0018521558959037066,periodic_150,1.0,1.0,100.0,500.0,500.0,0.0037480881437659264,periodic_150,1.0,1.0,100.0,1000.0,1000.0,0.007384263910353184,periodic_200,1.0,1.0,100.0,1500.0,1500.0,0.012030665762722492,periodic_200,1.0,1.0,100.0,2000.0,2000.0,0.023196544498205185,periodic_200,1.0,1.0,100.0,3000.0,3000.0,0.039494842290878296,periodic_200,1.0,1.0,100.0,4000.0,4000.0,0.063045434653759,periodic_150,1.0,1.0,100.0,5000.0,5000.0
lista,dysts:Dadras,0,complete,0.00029409336275421083,periodic_50,1.0,1.0,100.0,100.0,100.0,0.00502100121229887,periodic_50,1.0,1.0,100.0,500.0,500.0,0.01946856454014778,periodic_50,1.0,1.0,100.0,1000.0,1000.0,0.04790157824754715,periodic_50,1.0,1.0,100.0,1500.0,1500.0,0.09543507546186447,periodic_50,1.0,1.0,100.0,2000.0,2000.0,0.268468976020813,periodic_150,1.0,1.0,100.0,3000.0,3000.0,0.8943734169006348,periodic_50,1.0,1.0,100.0,4000.0,4000.0,1.1236854791641235,periodic_100,1.0,1.0,100.0,5000.0,5000.0
lista,dysts:Dadras,1,complete,0.00019893098215106875,periodic_50,1.0,1.0,100.0,100.0,100.0,0.007220103871077299,periodic_50,1.0,1.0,100.0,500.0,500.0,0.018217753618955612,periodic_100,1.0,1.0,100.0,1000.0,1000.0,0.03480757400393486,periodic_100,1.0,1.0,100.0,1500.0,1500.0,0.07382998615503311,periodic_50,1.0,1.0,100.0,2000.0,2000.0,0.16246230900287628,periodic_50,1.0,1.0,100.0,3000.0,3000.0,0.5313372015953064,periodic_100,1.0,1.0,100.0,4000.0,4000.0,0.7876474261283875,periodic_100,1.0,1.0,100.0,5000.0,5000.0
lista,dysts:Dadras,2,complete,0.0004900943022221327,periodic_50,1.0,1.0,100.0,100.0,100.0,0.00905301608145237,periodic_25,1.0,1.0,100.0,500.0,500.0,0.018458737060427666,periodic_50,1.0,1.0,100.0,1000.0,1000.0,0.10622459650039673,periodic_25,1.0,1.0,100.0,1500.0,1500.0,0.16297687590122223,periodic_25,1.0,1.0,100.0,2000.0,2000.0,0.6540453433990479,periodic_100,1.0,1.0,100.0,3000.0,3000.0,0.9574084281921387,periodic_50,1.0,1.0,100.0,4000.0,4000.0,1.372830867767334,periodic_50,1.0,1.0,100.0,5000.0,5000.0
lista,dysts:Dadras,3,complete,0.00026115216314792633,periodic_50,1.0,1.0,100.0,100.0,100.0,0.0037844025064259768,periodic_50,1.0,1.0,100.0,500.0,500.0,0.064645916223526,periodic_25,1.0,1.0,100.0,1000.0,1000.0,0.09165845066308975,periodic_50,1.0,1.0,100.0,1500.0,1500.0,0.2618672549724579,periodic_100,1.0,1.0,100.0,2000.0,2000.0,0.6961900591850281,periodic_100,1.0,1.0,100.0,3000.0,3000.0,1.0174379348754883,periodic_100,1.0,1.0,100.0,4000.0,4000.0,1.335581660270691,periodic_100,1.0,1.0,100.0,5000.0,5000.0
lista,dysts:Dadras,4,complete,0.00044162210542708635,periodic_50,1.0,1.0,100.0,100.0,100.0,0.003596433438360691,periodic_50,1.0,1.0,100.0,500.0,500.0,0.1475602090358734,periodic_200,1.0,1.0,100.0,1000.0,1000.0,0.2053034007549286,periodic_200,1.0,1.0,100.0,1500.0,1500.0,0.33391574025154114,periodic_200,1.0,1.0,100.0,2000.0,2000.0,0.8216865062713623,periodic_50,1.0,1.0,100.0,3000.0,3000.0,1.30451238155365,periodic_50,1.0,1.0,100.0,4000.0,4000.0,1.8794465065002441,periodic_50,1.0,1.0,100.0,5000.0,5000.0
