system_key,system_name,seed,run_dir,status,current_coverage,family_count_retained,family_count_total,persistent_coverage,transition_count,elapsed_seconds,activity_leakage_true,activity_leakage_null,activity_leakage_true_over_null,matrix_leakage_true,matrix_leakage_null,matrix_leakage_true_over_null,activity_change_leakage_true,activity_change_leakage_null,activity_change_leakage_true_over_null,matrix_change_leakage_true,matrix_change_leakage_null,matrix_change_leakage_true_over_null,restricted_inside_residual_true,restricted_inside_residual_null,restricted_inside_residual_true_over_null,encoded_next_outside_true,encoded_next_outside_null,encoded_next_outside_true_over_null,global_over_identity_true,global_over_identity_null,global_over_identity_true_over_null,operator_distance_true,operator_distance_null,operator_distance_true_over_null
claude:arrested_spiral,claude_arrested_spiral,0,/network/scratch/l/lia/skae/transition_rich_lista_dense_p256_hardinit_table123_20260430/transition_rich_basin_partition/lista_dense_signsplit_p256_hardinit_basin_partition/claude_arrested_spiral/dt_0p02/seed_0/20260430-184717,eligible,0.9459228515625,5,10,0.940185546875,7749,13.364296913146973,0.005613526894912318,0.18150199138227557,0.03092818349904067,0.056460902055237044,0.19890464378118164,0.283859144673116,0.33819367830086117,0.7803962679426406,0.4333614756929085,0.48283476767660544,0.7786257428678134,0.6201114875784114,0.011519927449276485,0.14866547036635408,0.07748892477108572,0.10880099446891638,0.10880099446891638,1.0,0.6271989488702922,15.142415888934131,0.041420005464824175,0.964488885156813,0.9716280612244447,0.9926523570566345
claude:arrested_spiral,claude_arrested_spiral,1,/network/scratch/l/lia/skae/transition_rich_lista_dense_p256_hardinit_table123_20260430/transition_rich_basin_partition/lista_dense_signsplit_p256_hardinit_basin_partition/claude_arrested_spiral/dt_0p02/seed_1/20260430-185026,eligible,0.9871826171875,6,7,0.9775390625,8087,11.239146709442139,0.005814863875466773,0.2672938296683476,0.021754575789054802,0.052976732519402776,0.2797994166407449,0.18933825222167458,0.3225102577230628,0.8059320895447702,0.4001705130084004,0.5131259240972541,0.8117704456074691,0.6321071762020956,0.010734493690781265,0.19452556668176757,0.05518294522355649,0.14000738829109538,0.14000738829109538,1.0,0.5213682004976771,17.778022007104852,0.02932655839267812,1.0081404766812372,1.0200920383964964,0.9882838398248396
claude:arrested_spiral,claude_arrested_spiral,2,/network/scratch/l/lia/skae/transition_rich_lista_dense_p256_hardinit_table123_20260430/transition_rich_basin_partition/lista_dense_signsplit_p256_hardinit_basin_partition/claude_arrested_spiral/dt_0p02/seed_2/20260430-185939,eligible,0.93701171875,4,9,0.933349609375,7676,7.749300718307495,0.004897190487263366,0.18234912227217487,0.02685612316769918,0.04591672567447666,0.1985056475024322,0.23131193622042448,0.3501483146724389,0.7687045798206569,0.4555043951398475,0.48754595977716625,0.7699630981300398,0.6332069172681626,0.011159936993143268,0.15523598873187344,0.07189014019435225,0.08325162873089016,0.08325162873089016,1.0,0.770962412663304,18.263733426578092,0.04221274997046166,0.9257789684354917,0.9320536516607858,0.9932678948104398
claude:cal_asymmetric_3,claude_cal_asymmetric_3,0,/network/scratch/l/lia/skae/transition_rich_lista_dense_p256_hardinit_table123_20260430/transition_rich_basin_partition/lista_dense_signsplit_p256_hardinit_basin_partition/claude_cal_asymmetric_3/dt_0p03/seed_0/20260430-225603,eligible,0.978759765625,5,7,0.9705810546875,8018,8.700663805007935,0.00591338759051382,0.07412522830277539,0.0797756408433539,0.02298775629871824,0.07749275405105042,0.2966439453626134,0.40792627127832004,0.7540681343941155,0.5409673909720158,0.5702266911393542,0.755565591930067,0.7547017720628717,0.013044925421428353,0.0666676032916132,0.19567113226446836,0.06423894409380478,0.06423894409380478,1.0,0.8534474761189137,5.87650788398669,0.14523038051978673,0.950035864361881,0.9520149419616418,0.9979211696029866
claude:cal_asymmetric_3,claude_cal_asymmetric_3,1,/network/scratch/l/lia/skae/transition_rich_lista_dense_p256_hardinit_table123_20260430/transition_rich_basin_partition/lista_dense_signsplit_p256_hardinit_basin_partition/claude_cal_asymmetric_3/dt_0p03/seed_1/20260430-225608,eligible,0.95751953125,3,5,0.9541015625,7844,7.930602550506592,0.004594143456652533,0.09801629966327967,0.04687121909758913,0.020469827420550882,0.10030535392479209,0.20407512280848883,0.37810272949936835,0.7510916070922751,0.5034042797564062,0.4875131468166599,0.752854030458326,0.6475533464566423,0.011721789815915672,0.09338338614360668,0.12552328952700095,0.05246239499659567,0.05246239499659567,1.0,0.8994372815860019,9.854377314334865,0.0912728681778419,0.8949666196362633,0.8980690967336626,0.9965453915420504
claude:cal_asymmetric_3,claude_cal_asymmetric_3,2,/network/scratch/l/lia/skae/transition_rich_lista_dense_p256_hardinit_table123_20260430/transition_rich_basin_partition/lista_dense_signsplit_p256_hardinit_basin_partition/claude_cal_asymmetric_3/dt_0p03/seed_2/20260430-225608,eligible,0.97265625,6,9,0.9666748046875,7968,13.811963319778442,0.004639734527248449,0.1992032109953923,0.02329146455051756,0.050514469612123525,0.20476278518281962,0.24669751179161964,0.295634721764873,0.8117999688586046,0.3641718811353702,0.5049154845497628,0.7959298179496965,0.6343718669196458,0.008939976832051054,0.14284311693918852,0.06258598260535718,0.03075249724910064,0.030752497249100643,0.9999999999999999,0.5598386734317562,14.90539877242057,0.03755945627349633,1.0195091291950862,1.0264673700011295,0.9932211768153568
claude:cal_hexagon_6,claude_cal_hexagon_6,0,/network/scratch/l/lia/skae/transition_rich_lista_dense_p256_hardinit_table123_20260430/transition_rich_basin_partition/lista_dense_signsplit_p256_hardinit_basin_partition/claude_cal_hexagon_6/dt_0p03/seed_0/20260430-230212,eligible,0.9268798828125,5,12,0.9189453125,7593,10.579210996627808,0.004818553761116747,0.2213984023774674,0.02176417584487118,0.06111513332767887,0.24105466688864668,0.2535322552203917,0.3550256546422699,0.7947581460778104,0.4467090477705042,0.5637618025520192,0.791988154560242,0.7118311041723253,0.00999143481728126,0.1685701647322292,0.05927166787285569,0.14277606722222103,0.14277606722222103,1.0,0.653187807286528,23.69115502611879,0.027570956610870515,0.9799479072783193,0.9901179431680407,0.989728460169926
claude:cal_hexagon_6,claude_cal_hexagon_6,1,/network/scratch/l/lia/skae/transition_rich_lista_dense_p256_hardinit_table123_20260430/transition_rich_basin_partition/lista_dense_signsplit_p256_hardinit_basin_partition/claude_cal_hexagon_6/dt_0p03/seed_1/20260430-230218,eligible,0.984130859375,5,7,0.9752197265625,8062,10.29818320274353,0.005843269989884039,0.28073574906832427,0.020814128621937385,0.04948431918599479,0.2591173276595215,0.1909726363457131,0.38636722253180233,0.7868942571955453,0.4910027224099935,0.533983642728524,0.792458334133464,0.6738318214703661,0.009414361202639453,0.21249096654073507,0.044304759660616894,0.13516502040065262,0.13516502040065262,1.0,0.5640152682326681,24.526989877457172,0.02299569865893149,1.0279124222851104,1.0398401464091083,0.9885292713835026
claude:cal_hexagon_6,claude_cal_hexagon_6,2,/network/scratch/l/lia/skae/transition_rich_lista_dense_p256_hardinit_table123_20260430/transition_rich_basin_partition/lista_dense_signsplit_p256_hardinit_basin_partition/claude_cal_hexagon_6/dt_0p03/seed_2/20260430-230218,eligible,0.9444580078125,5,10,0.9381103515625,7737,10.211084842681885,0.005257604409071645,0.23952481778972526,0.021950144697269768,0.056003071857859237,0.24196275575878856,0.23145327338596033,0.34762475576413265,0.7909944250010059,0.439478136351834,0.5509283540110936,0.7879568911246032,0.699185907524442,0.011487655985934125,0.18573558839742785,0.06184951459788851,0.07440995374199544,0.07440995374199544,1.0,0.583309893236483,23.702784553688787,0.024609340388477875,0.9757408774259734,0.9861119628222967,0.9894828520621118
claude:cal_high_cross_3,claude_cal_high_cross_3,0,/network/scratch/l/lia/skae/transition_rich_lista_dense_p256_hardinit_table123_20260430/transition_rich_basin_partition/lista_dense_signsplit_p256_hardinit_basin_partition/claude_cal_high_cross_3/dt_0p03/seed_0/20260430-230521,eligible,0.966552734375,4,7,0.9559326171875,7918,10.166420459747314,0.006647467952958485,0.07635187393973633,0.08706358613025342,0.024338493296307835,0.08379769970680045,0.29044345347743106,0.39124975746853735,0.7520335349645941,0.5202557323284226,0.5766066403082077,0.7583041485855473,0.7603896686886693,0.01605366433241852,0.06419856168058147,0.2500626791655111,0.1635180050272694,0.1635180050272694,1.0,0.93167002664897,5.320807755532147,0.17509935886713715,0.842876903659874,0.8455198335359795,0.9968741952923178
