system_key,system_name,run_count,eligible_seed_count,system_eligible,activity_leakage_true,activity_leakage_null,activity_leakage_true_over_null,matrix_leakage_true,matrix_leakage_null,matrix_leakage_true_over_null,activity_change_leakage_true,activity_change_leakage_null,activity_change_leakage_true_over_null,matrix_change_leakage_true,matrix_change_leakage_null,matrix_change_leakage_true_over_null,restricted_inside_residual_true,restricted_inside_residual_null,restricted_inside_residual_true_over_null,encoded_next_outside_true,encoded_next_outside_null,encoded_next_outside_true_over_null,global_over_identity_true,global_over_identity_null,global_over_identity_true_over_null,operator_distance_true,operator_distance_null,operator_distance_true_over_null
claude:arrested_spiral,claude_arrested_spiral,3,3,True,0.005579828176305709,0.18234056795460357,0.026737198648081068,0.05298421195984968,0.19886920878678932,0.23138208798926843,0.33935675581384284,0.780443635360131,0.43482545111313353,0.4873667074432947,0.7785255379578973,0.6313065284948753,0.01111023130070657,0.15513753701836527,0.0716153647546392,0.10881817968732393,0.10881817968732393,1.0,0.6359472189557676,18.104867095716227,0.04146933327275494,0.964488885156813,0.9716280612244447,0.9926523570566345
claude:cal_asymmetric_3,claude_cal_asymmetric_3,3,3,True,0.004597942874179799,0.09803347743647467,0.04677617413436949,0.022949828369991616,0.10030282803457306,0.24682743132982538,0.3780246983937281,0.753944159686499,0.5033266551660759,0.5042910857490861,0.7554860014038529,0.6475558338312428,0.01171167107130377,0.09340391667411725,0.12538736584425414,0.05116716283073652,0.05116716283073652,1.0,0.8642893821855102,9.904679780258128,0.09122279233963408,0.950035864361881,0.9520149419616418,0.9965453915420504
claude:cal_hexagon_6,claude_cal_hexagon_6,3,3,True,0.005221545106215976,0.23959518839398053,0.021718950937102435,0.05597717374782928,0.2419152108908021,0.23139170762229075,0.35670914176512464,0.7909678594191616,0.448688236642516,0.5509964556434794,0.7919234860829135,0.699258041289157,0.009954984480907125,0.18574810975966977,0.05913759006643031,0.13488594261660017,0.13488594261660017,1.0,0.5923613252146063,24.171792855096903,0.024506304880471456,0.9799479072783193,0.9901179431680407,0.9894828520621118
claude:cal_high_cross_3,claude_cal_high_cross_3,3,3,True,0.005401378407220989,0.12014582397295762,0.04495685516657432,0.028020860141088972,0.1243202978781899,0.22593875861734372,0.3167381225492776,0.7638836244909104,0.41091392196405785,0.5695665534701007,0.7722952044531919,0.7374984982243555,0.014875101218280713,0.10310863640245414,0.14426629754097556,0.04160947081376582,0.04160947081376582,1.0,0.8807373907033369,8.913292891729128,0.09881167391240958,0.9062310532260578,0.9115927411599352,0.9941183297191957
claude:cal_octagon_8,claude_cal_octagon_8,3,3,True,0.005422469020062097,0.20650446489456648,0.027040171113821426,0.05715478472036698,0.20796028753488746,0.2823817247178033,0.4024904346322624,0.7669658595236557,0.5341614982399623,0.5736107772758964,0.7693539747592752,0.7361555403092644,0.01158294959789625,0.17728269709264477,0.06056448157835803,0.08987972822536577,0.08987972822536576,1.0000000000000002,0.887119819491427,24.747905978394037,0.0358462578719153,0.947805020772318,0.9590613153787364,0.9931784193711494
claude:cal_pentagon_5,claude_cal_pentagon_5,3,3,True,0.003851502819185378,0.21989046209796606,0.016872582056311092,0.05381826381822315,0.23461036236590704,0.23995629896275955,0.33190080623805135,0.7948085946743699,0.4203481850288448,0.5538979591152258,0.7949722876861178,0.6919177575713077,0.007236887493748635,0.17122215320948453,0.04297187256402921,0.026693867054453917,0.026693867054453917,1.0,0.5260073514504398,20.727198447101195,0.025377638603349434,0.9682724249005416,0.977199851561911,0.9904761192981764
claude:cal_square_4,claude_cal_square_4,3,3,True,0.004671160322740864,0.2333667577662058,0.018909455006937404,0.0610574856426305,0.23262865091681342,0.2532105941570136,0.34926792161966974,0.7742851968589941,0.45674181834364713,0.5029673094041276,0.7735866302736207,0.6396621589943009,0.010548704275475114,0.19464983418328954,0.050571270494764606,0.03308287447558544,0.03308287447558543,1.0,0.6999675237413993,20.55992940923374,0.0348246007272371,0.9880661828728009,0.9973747779564214,0.9906669034656226
claude:duffing_triple_well,claude_duffing_triple_well,3,3,True,0.0051314654824684315,0.21708654224153773,0.0233136149290848,0.03289971366745806,0.20743561113940334,0.16506795174637812,0.210993235075362,0.7864758455175233,0.26830406892261865,0.6118290722994707,0.788999406663502,0.7844855174197433,0.00879908330675717,0.17299085482975374,0.050403964268022024,0.09647074658578583,0.09647074658578583,1.0,0.2724287839978863,10.222904201358686,0.028498997452681744,0.9548949060555241,0.9634329661090055,0.9917551060106397
claude:snic_multi,claude_snic_multi,3,3,True,0.0034794933749370963,0.176632069498876,0.01969910325349632,0.027308913790339766,0.15275726990466537,0.17596852386351497,0.33333652667708286,0.8018753072573112,0.41569621069541124,0.6425498537636786,0.8061342832454548,0.807972526426128,0.006566070397700203,0.12202438205571911,0.05380949517697197,0.06046154882880269,0.06046154882880269,1.0,0.48515929860393997,19.12053535543654,0.029182038148336416,1.006573584556845,1.011453463967093,0.9945013075348693
claude:transition_routes_4,claude_transition_routes_4,3,3,True,0.0034960228351808517,0.15317020300427403,0.02270109831211824,0.04318343456697591,0.1606427674529184,0.28076338748139623,0.3140101397839358,0.7961806802637895,0.39439557824977417,0.6071848291806196,0.7998841749918577,0.7640688559693019,0.005955199477513091,0.1149262426894361,0.05267116253530947,0.040544036787585835,0.040544036787585835,1.0,0.4894140867813039,16.139924932236063,0.030869326876459217,1.0235814217515553,1.0284123157654501,0.9953025708270528
