model_seed,dense_h200_cumulative_field_mse,sparse_h200_cumulative_field_mse,h200_cumulative_sparse_over_dense,h200_cumulative_sparse_better,dense_h200_terminal_field_mse,sparse_h200_terminal_field_mse,h200_terminal_sparse_over_dense,h200_terminal_sparse_better
64,0.048692593847711879,0.045828170223782459,0.94117332026122857,true,0.065365098416805267,0.063005292167266205,0.9638980693566529,true
65,0.048142839775731167,0.043772857453053197,0.90922882108668468,true,0.065314419567584991,0.062431833396355309,0.95586600646053532,true
66,0.047936135455965999,0.042420572700599825,0.88493935310173777,true,0.063210255155960723,0.058554415901501976,0.92634360922968517,true
67,0.046723336167633529,0.048600290436297655,1.0401716662939051,false,0.062479132165511451,0.064679298549890518,1.0352144197289852,false
68,0.048682198636233798,0.046803264993553362,0.96140409235169666,true,0.069973689814408616,0.068215715388456985,0.97487663676712899,true
69,0.052530360370874406,0.044955878295004366,0.85580753639623364,true,0.069678127765655518,0.061144430190324783,0.87752688183540706,true
70,0.048000513414541889,0.046221486597011481,0.9629373377287368,true,0.066785074770450592,0.065534606575965881,0.98127623276933151,true
71,0.045367040230582155,0.044016685799385113,0.97023490127780565,true,0.064010508358478546,0.064149080465237304,1.0021648337173439,false
72,0.052659533172845836,0.053093525121609364,1.008241469732347,false,0.069789422055085495,0.074466814597447709,1.0670215113498189,false
73,0.051551405495653548,0.045855156766871609,0.88950352228006269,true,0.071692397197087601,0.06545267005761464,0.91296528804414923,true
