system_key,system_name,run_count,eligible_seed_count,system_eligible,activity_leakage_true,activity_leakage_null,activity_leakage_true_over_null,restricted_residual_true,restricted_residual_null,restricted_residual_true_over_null
claude:arrested_spiral,claude_arrested_spiral,3,2,True,0.015362733430563939,0.014880502280651334,1.0325442132769618,0.012056149387556222,0.01436910002525266,0.8380014061313497
claude:cal_asymmetric_3,claude_cal_asymmetric_3,3,3,True,0.017028786555778542,0.03303711465812443,0.5564222187701323,0.011825593643232669,0.03101819554924403,0.48208922527550846
claude:cal_hexagon_6,claude_cal_hexagon_6,3,3,True,0.01226744456474271,0.020011447960481273,0.6130213360356799,0.009962887489644018,0.01621230536887884,0.6145262664968542
claude:cal_high_cross_3,claude_cal_high_cross_3,3,3,True,0.02141479119020467,0.04320501391961799,0.4280416526949264,0.01558644979151788,0.038689826842847407,0.3830625719792752
claude:cal_octagon_8,claude_cal_octagon_8,3,3,True,0.016970411513635587,0.009732645102318254,1.6491659146917972,0.012919301279139548,0.011598639344650986,1.1273730094646544
claude:cal_pentagon_5,claude_cal_pentagon_5,3,3,True,0.019770829377440256,0.041013108814283585,0.5129938420897273,0.013925209524128655,0.034016496374976654,0.46761724472297783
claude:cal_square_4,claude_cal_square_4,3,3,True,0.01561299238291023,0.036875325202978024,0.4233994492786015,0.010651356625256373,0.029094358387786422,0.3668504289766879
claude:duffing_triple_well,claude_duffing_triple_well,3,3,True,0.017491681060893334,0.05115158194331006,0.3419577732762772,0.015904286916294127,0.04064465409474576,0.39130083083546563
claude:snic_multi,claude_snic_multi,3,3,True,0.02065324848926927,0.03780883495005158,0.5769989803513883,0.01287688389237116,0.026336403729813974,0.4889385819140507
claude:transition_routes_4,claude_transition_routes_4,3,3,True,0.01224756097580258,0.009793845149345063,0.9219337900902224,0.008313471935145589,0.01015120722214028,0.7861063190761859
claude:var_depth_gradient_4,claude_var_depth_gradient_4,3,3,True,0.0244522678187776,0.04205843331440662,0.4274539484120499,0.018181605213324424,0.03591565721843795,0.3907039437540135
claude:var_diamond_4,claude_var_diamond_4,3,3,True,0.01849282717478028,0.04009067930121017,0.5990223189177785,0.01347570070834249,0.03202000396075421,0.5392132606385626
claude:var_l_shape_5,claude_var_l_shape_5,3,3,True,0.016876948628836843,0.03127529976963003,0.4859568085498285,0.011255901147783222,0.026062644972178858,0.43187869687817876
gated_local_linear,gated_local_linear,3,2,True,0.01566838901615418,0.022912015174723733,0.686324188699589,0.010710849862154398,0.016736364866333685,0.6587237000757642
gated_transfer_linear,gated_transfer_linear,3,1,False,0.01004368362251158,0.026234479566617865,0.38284287656659644,0.007830716542783629,0.02065401371178747,0.37913776237664415
