benchmark,source_family,system,seed,method,status,horizon,mse,finite_start_fraction,metric_protocol,source_file
dysts,classical_koopman,dysts:WangSun,2,dmd,ok,100,2.8616056440454205,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_WangSun/seed_2/rows.csv
dysts,classical_koopman,dysts:Chua,0,dmd,ok,2000,5.024867482825567,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_Chua/seed_0/rows.csv
dysts,classical_koopman,dysts:Chua,1,dmd,ok,2000,4.561777231214457,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_Chua/seed_1/rows.csv
dysts,classical_koopman,dysts:Chua,2,dmd,ok,2000,4.729540297513556,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_Chua/seed_2/rows.csv
dysts,classical_koopman,dysts:Dadras,0,dmd,ok,2000,2.890008872756582,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_Dadras/seed_0/rows.csv
dysts,classical_koopman,dysts:Dadras,1,dmd,ok,2000,2.93901501178445,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_Dadras/seed_1/rows.csv
dysts,classical_koopman,dysts:Dadras,2,dmd,ok,2000,2.8646237957882392,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_Dadras/seed_2/rows.csv
dysts,classical_koopman,dysts:DequanLi,0,dmd,ok,2000,7.544072847693303,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_DequanLi/seed_0/rows.csv
dysts,classical_koopman,dysts:DequanLi,1,dmd,ok,2000,7.601577880052627,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_DequanLi/seed_1/rows.csv
dysts,classical_koopman,dysts:DequanLi,2,dmd,ok,2000,8.019082332332639,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_DequanLi/seed_2/rows.csv
dysts,classical_koopman,dysts:Hadley,0,dmd,ok,2000,5.408089579403534,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_Hadley/seed_0/rows.csv
dysts,classical_koopman,dysts:Hadley,1,dmd,ok,2000,5.362205841088495,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_Hadley/seed_1/rows.csv
dysts,classical_koopman,dysts:Hadley,2,dmd,ok,2000,5.584471972010826,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_Hadley/seed_2/rows.csv
dysts,classical_koopman,dysts:LuChenCheng,0,dmd,ok,2000,4.21140070678505,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_LuChenCheng/seed_0/rows.csv
dysts,classical_koopman,dysts:LuChenCheng,1,dmd,ok,2000,4.096444822422214,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_LuChenCheng/seed_1/rows.csv
dysts,classical_koopman,dysts:LuChenCheng,2,dmd,ok,2000,4.182833666219132,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_LuChenCheng/seed_2/rows.csv
dysts,classical_koopman,dysts:QiChen,0,dmd,ok,2000,3.1325223881783884,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_QiChen/seed_0/rows.csv
dysts,classical_koopman,dysts:QiChen,1,dmd,ok,2000,3.2179958175649173,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_QiChen/seed_1/rows.csv
dysts,classical_koopman,dysts:QiChen,2,dmd,ok,2000,3.1768586450974796,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_QiChen/seed_2/rows.csv
dysts,classical_koopman,dysts:Sakarya,0,dmd,ok,2000,,0.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_Sakarya/seed_0/rows.csv
dysts,classical_koopman,dysts:Sakarya,1,dmd,ok,2000,,0.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_Sakarya/seed_1/rows.csv
dysts,classical_koopman,dysts:Sakarya,2,dmd,ok,2000,2.87927579035966,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_Sakarya/seed_2/rows.csv
dysts,classical_koopman,dysts:SanUmSrisuchinwong,0,dmd,ok,2000,3.988681176856708,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_SanUmSrisuchinwong/seed_0/rows.csv
dysts,classical_koopman,dysts:SanUmSrisuchinwong,1,dmd,ok,2000,4.0381133439179315,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_SanUmSrisuchinwong/seed_1/rows.csv
dysts,classical_koopman,dysts:SanUmSrisuchinwong,2,dmd,ok,2000,4.062058490409893,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_SanUmSrisuchinwong/seed_2/rows.csv
dysts,classical_koopman,dysts:ShimizuMorioka,0,dmd,ok,2000,3.1673822044752895,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_ShimizuMorioka/seed_0/rows.csv
dysts,classical_koopman,dysts:ShimizuMorioka,1,dmd,ok,2000,3.1466024080923853,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_ShimizuMorioka/seed_1/rows.csv
dysts,classical_koopman,dysts:ShimizuMorioka,2,dmd,ok,2000,3.145205624858242,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_ShimizuMorioka/seed_2/rows.csv
dysts,classical_koopman,dysts:WangSun,0,dmd,ok,2000,3.633922354019562,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_WangSun/seed_0/rows.csv
dysts,classical_koopman,dysts:WangSun,1,dmd,ok,2000,3.6060956211466486,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_WangSun/seed_1/rows.csv
dysts,classical_koopman,dysts:WangSun,2,dmd,ok,2000,3.5923609208567715,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_WangSun/seed_2/rows.csv
dysts,classical_koopman,dysts:Chua,0,dmd,ok,4000,5.354133591808492,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_Chua/seed_0/rows.csv
dysts,classical_koopman,dysts:Chua,1,dmd,ok,4000,4.763587438572434,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_Chua/seed_1/rows.csv
dysts,classical_koopman,dysts:Chua,2,dmd,ok,4000,5.1864267020946215,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_Chua/seed_2/rows.csv
dysts,classical_koopman,dysts:Dadras,0,dmd,ok,4000,2.868504272563823,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_Dadras/seed_0/rows.csv
dysts,classical_koopman,dysts:Dadras,1,dmd,ok,4000,2.900346917102188,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_Dadras/seed_1/rows.csv
dysts,classical_koopman,dysts:Dadras,2,dmd,ok,4000,2.894668259822312,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_Dadras/seed_2/rows.csv
dysts,classical_koopman,dysts:DequanLi,0,dmd,ok,4000,5.371214747231176,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_DequanLi/seed_0/rows.csv
dysts,classical_koopman,dysts:DequanLi,1,dmd,ok,4000,5.466649358688833,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_DequanLi/seed_1/rows.csv
dysts,classical_koopman,dysts:DequanLi,2,dmd,ok,4000,5.657780720001681,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_DequanLi/seed_2/rows.csv
dysts,classical_koopman,dysts:Hadley,0,dmd,ok,4000,4.830885472090324,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_Hadley/seed_0/rows.csv
dysts,classical_koopman,dysts:Hadley,1,dmd,ok,4000,4.847898691084381,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_Hadley/seed_1/rows.csv
dysts,classical_koopman,dysts:Hadley,2,dmd,ok,4000,4.984250131453646,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_Hadley/seed_2/rows.csv
dysts,classical_koopman,dysts:LuChenCheng,0,dmd,ok,4000,3.6440356147720694,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_LuChenCheng/seed_0/rows.csv
dysts,classical_koopman,dysts:LuChenCheng,1,dmd,ok,4000,3.5897223120786013,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_LuChenCheng/seed_1/rows.csv
