system_key,seed,status,staged_train_env_name,global_train_env_name,h100_staged_best_periodic_mean,h100_global_best_periodic_mean,h100_staged_best_periodic_mode,h100_global_best_periodic_mode,h100_staged_over_global,h500_staged_best_periodic_mean,h500_global_best_periodic_mean,h500_staged_best_periodic_mode,h500_global_best_periodic_mode,h500_staged_over_global,h1000_staged_best_periodic_mean,h1000_global_best_periodic_mean,h1000_staged_best_periodic_mode,h1000_global_best_periodic_mode,h1000_staged_over_global,wins_all_horizons
claude:arrested_spiral,0,ok,claude:arrested_spiral,claude:arrested_spiral,0.0023498523514717817,0.013718744739890099,periodic_5,periodic_10,0.17128770860785084,0.000593910925090313,0.02441304177045822,periodic_5,periodic_10,0.02432760860668308,0.00037445113412104547,0.025743594393134117,periodic_5,periodic_10,0.01454540995335572,True
claude:arrested_spiral,1,ok,claude:arrested_spiral,claude:arrested_spiral,0.006924495100975037,0.0015289288712665439,periodic_1,periodic_10,4.528984461676677,0.004579545930027962,0.0005141977453604341,periodic_1,periodic_10,8.906196052683711,0.004287097603082657,0.0003873560926876962,periodic_1,periodic_10,11.067587896543314,False
claude:arrested_spiral,2,ok,claude:arrested_spiral,claude:arrested_spiral,0.014441205188632011,0.021536991000175476,periodic_10,periodic_5,0.6705303070663098,0.023230405524373055,0.029817212373018265,periodic_10,periodic_5,0.7790938077562998,0.0010083504021167755,0.030852241441607475,periodic_2,periodic_5,0.03268321376342237,True
claude:arrested_spiral,3,ok,claude:arrested_spiral,claude:arrested_spiral,0.0004986473359167576,0.013909002766013145,periodic_10,periodic_10,0.035850689248204747,0.0002754598390311003,0.02307744510471821,periodic_10,periodic_10,0.011936323010677739,0.0002475595101714134,0.024223411455750465,periodic_10,periodic_10,0.010219844988540809,True
claude:arrested_spiral,4,ok,claude:arrested_spiral,claude:arrested_spiral,0.0006802725256420672,0.033436231315135956,periodic_5,periodic_10,0.020345370841304132,0.00020363397197797894,0.052211008965969086,periodic_5,periodic_10,0.0039002113924039793,0.000144054094562307,0.05455770343542099,periodic_5,periodic_10,0.0026403987978126926,True
claude:arrested_spiral,5,ok,claude:arrested_spiral,claude:arrested_spiral,0.0006588633405044675,0.0031616550404578447,periodic_10,periodic_2,0.20839191248677666,0.00024407524324487895,0.0011823487002402544,periodic_10,periodic_2,0.2064325382142194,0.00019223213894292712,0.0009349360479973257,periodic_10,periodic_2,0.20560993380744796,True
claude:arrested_spiral,6,ok,claude:arrested_spiral,claude:arrested_spiral,0.0017784207593649626,0.022665178403258324,periodic_2,periodic_5,0.07846489128491918,0.00057990598725155,0.03070805035531521,periodic_2,periodic_5,0.01888449382300739,0.00043007207568734884,0.031559400260448456,periodic_2,periodic_10,0.013627384301923283,True
claude:arrested_spiral,7,ok,claude:arrested_spiral,claude:arrested_spiral,0.00045703965588472784,0.009066317230463028,periodic_5,periodic_2,0.0504107284431946,0.0002497978857718408,0.0028907351661473513,periodic_5,periodic_2,0.08641327254643005,0.00022389231889974326,0.0021187085658311844,periodic_5,periodic_2,0.105673957480749,True
claude:arrested_spiral,8,ok,claude:arrested_spiral,claude:arrested_spiral,0.0014812388690188527,0.005346725694835186,periodic_5,periodic_1,0.2770366301846559,0.0004829112149309367,0.0027701749932020903,periodic_5,periodic_1,0.17432516578049526,0.0003581205673981458,0.0024481164291501045,periodic_5,periodic_1,0.14628412404489766,True
claude:arrested_spiral,9,ok,claude:arrested_spiral,claude:arrested_spiral,0.0023653446696698666,0.00538055831566453,periodic_2,periodic_10,0.4396095220794448,0.0006933725089766085,0.0016607114812359214,periodic_10,periodic_10,0.4175153341269083,0.00048131466610357165,0.0011957146925851703,periodic_10,periodic_10,0.40253303659165984,True
claude:arrested_spiral,10,ok,claude:arrested_spiral,claude:arrested_spiral,0.0012699008220806718,0.04657699912786484,periodic_2,periodic_10,0.02726454786394664,0.0003850759821943939,0.0721367672085762,periodic_2,periodic_10,0.005338137500409263,0.00027447304455563426,0.07533261924982071,periodic_2,periodic_10,0.003643482030611693,True
claude:arrested_spiral,11,ok,claude:arrested_spiral,claude:arrested_spiral,0.0015542996115982533,0.016449445858597755,periodic_5,periodic_10,0.09448948158857617,0.0003969490935560316,0.02414153330028057,periodic_5,periodic_10,0.0164425800390822,0.00025228020967915654,0.025102712213993073,periodic_5,periodic_10,0.010049918412343001,True
claude:arrested_spiral,12,ok,claude:arrested_spiral,claude:arrested_spiral,0.002005357062444091,0.002937148790806532,periodic_5,periodic_10,0.6827563754076708,0.001127455965615809,0.0011658818693831563,periodic_5,periodic_10,0.9670413403137681,0.0010177228832617402,0.0009444909519515932,periodic_5,periodic_10,1.0775358738575829,False
claude:arrested_spiral,13,ok,claude:arrested_spiral,claude:arrested_spiral,0.035227227956056595,0.0022479372564703226,periodic_5,periodic_10,15.67091245748107,0.06603872030973434,0.0009265153203159571,periodic_5,periodic_10,71.27644720134153,0.06988966464996338,0.0007613390916958451,periodic_5,periodic_10,91.7983398097786,False
claude:arrested_spiral,14,ok,claude:arrested_spiral,claude:arrested_spiral,0.0009670186555013061,0.0005931059713475406,periodic_2,periodic_5,1.63043149490509,0.0004038967308588326,0.00020126454182900488,periodic_5,periodic_5,2.006795271478991,0.0002596653939690441,0.00015228442498482764,periodic_5,periodic_5,1.7051342840537698,False
claude:cal_asymmetric_3,0,ok,claude:cal_asymmetric_3,claude:cal_asymmetric_3,0.00021045291214250028,0.029765956103801727,periodic_5,periodic_5,0.007070255408850149,0.00011834208271466196,0.07146104425191879,periodic_10,periodic_5,0.0016560362915699258,0.00010204514546785504,0.0766734853386879,periodic_10,periodic_5,0.0013309052668871583,True
claude:cal_asymmetric_3,1,ok,claude:cal_asymmetric_3,claude:cal_asymmetric_3,0.00022433060803450644,0.024630330502986908,periodic_5,periodic_5,0.009107900846369154,0.00015110790263861418,0.07179126143455505,periodic_5,periodic_5,0.002104823060900862,0.00014195535914041102,0.07768674194812775,periodic_5,periodic_5,0.0018272790901077574,True
claude:cal_asymmetric_3,2,ok,claude:cal_asymmetric_3,claude:cal_asymmetric_3,0.00022775660909246653,0.0009206773247569799,periodic_5,periodic_5,0.24737940532268968,0.0002644952037371695,0.000286723836325109,periodic_5,periodic_5,0.9224737194059618,0.0002690865658223629,0.00020748011593241245,periodic_5,periodic_5,1.2969270072608743,False
claude:cal_asymmetric_3,3,ok,claude:cal_asymmetric_3,claude:cal_asymmetric_3,0.00044575039646588266,0.010192940011620522,periodic_10,periodic_5,0.04373128812273027,0.00040812414954416454,0.06841731071472168,periodic_10,periodic_5,0.005965217651507991,0.0004034199519082904,0.07576265186071396,periodic_10,periodic_5,0.0053247865801999495,True
claude:cal_asymmetric_3,4,ok,claude:cal_asymmetric_3,claude:cal_asymmetric_3,0.00038263737224042416,0.0007139823865145445,periodic_5,periodic_10,0.5359199042827221,0.00016693856741767377,0.00040722882840782404,periodic_5,periodic_10,0.4099379900739522,0.00013997466885484755,0.00036893560900352895,periodic_5,periodic_10,0.37940135199448494,True
claude:cal_asymmetric_3,5,ok,claude:cal_asymmetric_3,claude:cal_asymmetric_3,0.000803485803771764,0.0005666017532348633,periodic_5,periodic_5,1.418078569620503,0.0005816318443976343,0.0003977990127168596,periodic_5,periodic_5,1.4621249068097133,0.0005538910045288503,0.00037670161691494286,periodic_5,periodic_5,1.4703706585202045,False
claude:cal_asymmetric_3,6,ok,claude:cal_asymmetric_3,claude:cal_asymmetric_3,0.0017873666947707534,0.001638591755181551,periodic_2,periodic_10,1.0907943904384645,0.0012882224982604384,0.0005007014842703938,periodic_2,periodic_5,2.572835389408911,0.0012259308714419603,0.0003264057158958167,periodic_2,periodic_5,3.755849887853242,False
claude:cal_asymmetric_3,7,ok,claude:cal_asymmetric_3,claude:cal_asymmetric_3,0.0016231680056080222,0.0002697356103453785,periodic_5,periodic_5,6.017625939451093,0.0007240427075885236,0.00015097777941264212,periodic_5,periodic_5,4.795690534099192,0.0005631665699183941,0.00013613386545330286,periodic_5,periodic_5,4.136858731243282,False
claude:cal_asymmetric_3,8,ok,claude:cal_asymmetric_3,claude:cal_asymmetric_3,0.0021237116307020187,0.026128757745027542,periodic_2,periodic_5,0.08127870645156002,0.001826049410738051,0.07001035660505295,periodic_2,periodic_1,0.026082561199327718,0.0017888365546241403,0.07640136033296585,periodic_2,periodic_1,0.02341367413915389,True
claude:cal_asymmetric_3,9,ok,claude:cal_asymmetric_3,claude:cal_asymmetric_3,0.0005867620347999036,0.0020356064196676016,periodic_5,periodic_5,0.28824925542125046,0.00020101851259823889,0.000618988589849323,periodic_5,periodic_5,0.3247531794522605,0.00015279986837413162,0.00044191244523972273,periodic_5,periodic_5,0.34576955236289575,True
claude:cal_asymmetric_3,10,ok,claude:cal_asymmetric_3,claude:cal_asymmetric_3,0.0002338962658541277,0.018360130488872528,periodic_5,periodic_10,0.012739357489636827,0.00020459135703276843,0.06979165971279144,periodic_5,periodic_10,0.0029314585421052947,0.0001559433585498482,0.07621777057647705,periodic_10,periodic_10,0.002046023615888559,True
claude:cal_asymmetric_3,11,ok,claude:cal_asymmetric_3,claude:cal_asymmetric_3,0.0006036984268575907,0.001539429184049368,periodic_10,periodic_5,0.3921573224106363,0.00016671647608745843,0.0005028127925470471,periodic_10,periodic_5,0.33156768992081503,0.0001120930101023987,0.0003732341865543276,periodic_10,periodic_5,0.300328893066398,True
claude:cal_asymmetric_3,12,ok,claude:cal_asymmetric_3,claude:cal_asymmetric_3,0.0005780593492090702,0.009714128449559212,periodic_5,periodic_5,0.059507072838356406,0.0007621353724971414,0.0677851065993309,periodic_5,periodic_5,0.01124340449889717,0.000785154988989234,0.07514423877000809,periodic_5,periodic_5,0.010448638536246755,True
claude:cal_asymmetric_3,13,ok,claude:cal_asymmetric_3,claude:cal_asymmetric_3,0.0002964462910313159,0.0004540657391771674,periodic_10,periodic_10,0.6528708630792522,0.00011017783253919333,0.00022061803610995412,periodic_5,periodic_5,0.4994053726608356,8.514550427207723e-05,0.00018174028082285076,periodic_5,periodic_5,0.4685010053168776,True
claude:cal_asymmetric_3,14,ok,claude:cal_asymmetric_3,claude:cal_asymmetric_3,0.0005651036044582725,0.00022453108977060765,periodic_10,periodic_5,2.5168167358721276,0.00031741231214255095,0.00017859073705039918,periodic_10,periodic_5,1.7773167712106794,0.00028645526617765427,0.0001728444913169369,periodic_10,periodic_5,1.6573005248538384,False
