benchmark,source_family,system,seed,method,status,horizon,mse,finite_start_fraction,metric_protocol,source_file
multibasin,classical_koopman,claude:transition_routes_4,1,dmd,ok,100,2.6878182077339603,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_transition_routes_4/seed_1/rows.csv
multibasin,classical_koopman,claude:transition_routes_4,2,dmd,ok,100,2.4684737749748606,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_transition_routes_4/seed_2/rows.csv
multibasin,classical_koopman,claude:var_depth_gradient_4,0,dmd,ok,100,3.364467041170717,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_var_depth_gradient_4/seed_0/rows.csv
multibasin,classical_koopman,claude:var_depth_gradient_4,1,dmd,ok,100,2.867285390219487,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_var_depth_gradient_4/seed_1/rows.csv
multibasin,classical_koopman,claude:var_depth_gradient_4,2,dmd,ok,100,3.3690279512194383,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_var_depth_gradient_4/seed_2/rows.csv
multibasin,classical_koopman,claude:var_diamond_4,0,dmd,ok,100,3.505917017238629,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_var_diamond_4/seed_0/rows.csv
multibasin,classical_koopman,claude:var_diamond_4,1,dmd,ok,100,3.5871209164953433,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_var_diamond_4/seed_1/rows.csv
multibasin,classical_koopman,claude:var_diamond_4,2,dmd,ok,100,3.5033203429828967,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_var_diamond_4/seed_2/rows.csv
multibasin,classical_koopman,claude:var_l_shape_5,0,dmd,ok,100,3.521991392232687,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_var_l_shape_5/seed_0/rows.csv
multibasin,classical_koopman,claude:var_l_shape_5,1,dmd,ok,100,2.872460476395837,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_var_l_shape_5/seed_1/rows.csv
multibasin,classical_koopman,claude:var_l_shape_5,2,dmd,ok,100,3.0580196004844615,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_var_l_shape_5/seed_2/rows.csv
multibasin,classical_koopman,gated_local_linear,0,dmd,ok,100,1.5682266237887355,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/gated_local_linear/seed_0/rows.csv
multibasin,classical_koopman,gated_local_linear,1,dmd,ok,100,1.450244207401394,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/gated_local_linear/seed_1/rows.csv
multibasin,classical_koopman,gated_local_linear,2,dmd,ok,100,1.2777474904843416,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/gated_local_linear/seed_2/rows.csv
multibasin,classical_koopman,gated_transfer_linear,0,dmd,ok,100,1.3348906418264375,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/gated_transfer_linear/seed_0/rows.csv
multibasin,classical_koopman,gated_transfer_linear,1,dmd,ok,100,1.2762195921277637,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/gated_transfer_linear/seed_1/rows.csv
multibasin,classical_koopman,gated_transfer_linear,2,dmd,ok,100,1.110329957069923,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/gated_transfer_linear/seed_2/rows.csv
multibasin,classical_koopman,claude:arrested_spiral,0,dmd,ok,500,2.0141145596472656,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_arrested_spiral/seed_0/rows.csv
multibasin,classical_koopman,claude:arrested_spiral,1,dmd,ok,500,2.5889069827345255,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_arrested_spiral/seed_1/rows.csv
multibasin,classical_koopman,claude:arrested_spiral,2,dmd,ok,500,2.2034602110832857,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_arrested_spiral/seed_2/rows.csv
multibasin,classical_koopman,claude:cal_asymmetric_3,0,dmd,ok,500,2.9108628621337824,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_cal_asymmetric_3/seed_0/rows.csv
multibasin,classical_koopman,claude:cal_asymmetric_3,1,dmd,ok,500,2.741668425786869,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_cal_asymmetric_3/seed_1/rows.csv
multibasin,classical_koopman,claude:cal_asymmetric_3,2,dmd,ok,500,2.6040704616438735,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_cal_asymmetric_3/seed_2/rows.csv
multibasin,classical_koopman,claude:cal_hexagon_6,0,dmd,ok,500,1.534893393254596,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_cal_hexagon_6/seed_0/rows.csv
multibasin,classical_koopman,claude:cal_hexagon_6,1,dmd,ok,500,1.3841474811207022,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_cal_hexagon_6/seed_1/rows.csv
multibasin,classical_koopman,claude:cal_hexagon_6,2,dmd,ok,500,1.3835301956543713,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_cal_hexagon_6/seed_2/rows.csv
multibasin,classical_koopman,claude:cal_high_cross_3,0,dmd,ok,500,4.135865461041483,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_cal_high_cross_3/seed_0/rows.csv
multibasin,classical_koopman,claude:cal_high_cross_3,1,dmd,ok,500,4.474715184139279,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_cal_high_cross_3/seed_1/rows.csv
multibasin,classical_koopman,claude:cal_high_cross_3,2,dmd,ok,500,3.527729310066582,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_cal_high_cross_3/seed_2/rows.csv
multibasin,classical_koopman,claude:cal_octagon_8,0,dmd,ok,500,1.9563206999208034,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_cal_octagon_8/seed_0/rows.csv
multibasin,classical_koopman,claude:cal_octagon_8,1,dmd,ok,500,2.2510060379484593,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_cal_octagon_8/seed_1/rows.csv
