root_label,system_name,seed,support_scheme,subset,num_states,observed_label_count,family_jaccard_threshold,family_h_basin_given_family,family_unique_count
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_hexagon_6,8,absolute:0.001,deep,4174,6,0.5,0.7607559223091307,3.0
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_hexagon_6,9,absolute:0.001,deep,4174,6,0.5,0.7337981166440388,3.0
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_hexagon_6,10,absolute:0.001,deep,4174,6,0.5,0.21630004572753214,5.0
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_hexagon_6,11,absolute:0.001,deep,4174,6,0.5,0.21630004572753214,5.0
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_hexagon_6,12,absolute:0.001,deep,4174,6,0.5,0.26665351878706134,5.0
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_hexagon_6,13,absolute:0.001,deep,4174,6,0.5,0.7337981166440388,3.0
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_hexagon_6,14,absolute:0.001,deep,4174,6,0.5,1.0915862102605633,2.0
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_high_cross_3,0,absolute:0.001,deep,4707,3,0.5,0.0,3.0
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_high_cross_3,1,absolute:0.001,deep,4707,3,0.5,0.4551960797132756,2.0
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_high_cross_3,2,absolute:0.001,deep,4707,3,0.5,0.5014448376008007,2.0
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_high_cross_3,3,absolute:0.001,deep,4707,3,0.5,0.40800578032039303,2.0
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_high_cross_3,4,absolute:0.001,deep,4707,3,0.5,0.0,3.0
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_high_cross_3,5,absolute:0.001,deep,4707,3,0.5,0.40800578032039303,2.0
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_high_cross_3,6,absolute:0.001,deep,4707,3,0.5,0.4070002769881682,3.0
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_high_cross_3,7,absolute:0.001,deep,4707,3,0.5,0.0,3.0
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_high_cross_3,8,absolute:0.001,deep,4707,3,0.5,1.0840920434256347,1.0
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_high_cross_3,9,absolute:0.001,deep,4707,3,0.5,0.0,3.0
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_high_cross_3,10,absolute:0.001,deep,4707,3,0.5,0.0,3.0
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_high_cross_3,11,absolute:0.001,deep,4707,3,0.5,0.0,3.0
