system_key,system_name,seed,run_dir,status,current_coverage,family_count_retained,family_count_total,persistent_coverage,elapsed_seconds,activity_leakage_true,activity_leakage_null,activity_leakage_true_over_null,matrix_leakage_true,matrix_leakage_null,matrix_leakage_true_over_null,activity_change_leakage_true,activity_change_leakage_null,activity_change_leakage_true_over_null,matrix_change_leakage_true,matrix_change_leakage_null,matrix_change_leakage_true_over_null,restricted_inside_residual_true,restricted_inside_residual_null,restricted_inside_residual_true_over_null,encoded_next_outside_true,encoded_next_outside_null,encoded_next_outside_true_over_null,global_over_identity_true,global_over_identity_null,global_over_identity_true_over_null,operator_distance_true,operator_distance_null,operator_distance_true_over_null
claude:arrested_spiral,claude_arrested_spiral,0,/network/scratch/l/lia/skae/transition_rich_lista_dense_p256_hardinit_table123_20260430/transition_rich_basin_partition/lista_dense_signsplit_p256_hardinit_basin_partition/claude_arrested_spiral/dt_0p02/seed_0/20260430-184717,eligible,0.9459228515625,5,10,0.940185546875,13.364296913146973,0.005579828176305709,0.18136405284694407,0.03076589924363133,0.05649022422785006,0.19886920878678932,0.2840571678867294,0.33935675581384284,0.780443635360131,0.43482545111313353,0.4825249140459186,0.7785255379578973,0.6197933022359166,0.011502225220819498,0.14875598376914181,0.07732277337273433,0.10881817968732393,0.10881817968732393,1.0,0.6359472189557676,15.335361549532806,0.04146933327275494,0.964488885156813,0.9716280612244447,0.9926523570566345
claude:arrested_spiral,claude_arrested_spiral,1,/network/scratch/l/lia/skae/transition_rich_lista_dense_p256_hardinit_table123_20260430/transition_rich_basin_partition/lista_dense_signsplit_p256_hardinit_basin_partition/claude_arrested_spiral/dt_0p02/seed_1/20260430-185026,eligible,0.9871826171875,6,7,0.9775390625,11.239146709442139,0.005762289797936127,0.26742484574991754,0.021547324003412662,0.05298421195984968,0.27985140188295066,0.1893298071882113,0.3237965128448782,0.8058846642903978,0.4017901409378343,0.5124633291125702,0.8117504033014766,0.6313065284948753,0.010624798072387809,0.1942712152529958,0.054690542078255557,0.13998665241319397,0.13998665241319397,1.0,0.526978837103369,18.104867095716227,0.029107025990158023,1.0081404766812372,1.0200920383964964,0.9882838398248396
claude:arrested_spiral,claude_arrested_spiral,2,/network/scratch/l/lia/skae/transition_rich_lista_dense_p256_hardinit_table123_20260430/transition_rich_basin_partition/lista_dense_signsplit_p256_hardinit_basin_partition/claude_arrested_spiral/dt_0p02/seed_2/20260430-185939,eligible,0.93701171875,4,9,0.933349609375,7.749300718307495,0.004875275987006161,0.18234056795460357,0.026737198648081068,0.04592332126181059,0.1984739685810966,0.23138208798926843,0.3510581088256157,0.7686040346352105,0.4567476789166641,0.4873667074432947,0.7699382948996283,0.6329945018604762,0.01111023130070657,0.15513753701836527,0.0716153647546392,0.0830503685360045,0.0830503685360045,1.0,0.7805929356024846,18.56146018034451,0.042054500455146644,0.9257789684354917,0.9320536516607858,0.9932678948104398
claude:cal_asymmetric_3,claude_cal_asymmetric_3,0,/network/scratch/l/lia/skae/transition_rich_lista_dense_p256_hardinit_table123_20260430/transition_rich_basin_partition/lista_dense_signsplit_p256_hardinit_basin_partition/claude_cal_asymmetric_3/dt_0p03/seed_0/20260430-225603,eligible,0.978759765625,5,7,0.9705810546875,8.700663805007935,0.005887334677664548,0.0741471997673502,0.07940063409187521,0.022949828369991616,0.07749894050604003,0.2961308660497491,0.41043538711550925,0.753944159686499,0.5443843311766939,0.5700572657116522,0.7554860014038529,0.7545570197890696,0.012877509708013534,0.06662385037935079,0.19328678295670457,0.06189039391473084,0.06189039391473084,1.0,0.8642893821855102,6.03011303685483,0.14332888569470398,0.950035864361881,0.9520149419616418,0.9979211696029866
claude:cal_asymmetric_3,claude_cal_asymmetric_3,1,/network/scratch/l/lia/skae/transition_rich_lista_dense_p256_hardinit_table123_20260430/transition_rich_basin_partition/lista_dense_signsplit_p256_hardinit_basin_partition/claude_cal_asymmetric_3/dt_0p03/seed_1/20260430-225608,eligible,0.95751953125,3,5,0.9541015625,7.930602550506592,0.004585631011566321,0.09803347743647467,0.04677617413436949,0.020469381181449364,0.10030282803457306,0.20407581304082312,0.3780246983937281,0.7510524120146118,0.5033266551660759,0.48751364533440883,0.7528519084602332,0.6475558338312428,0.01171167107130377,0.09340391667411725,0.12538736584425414,0.05116716283073652,0.05116716283073652,1.0,0.9035325467850598,9.904679780258128,0.09122279233963408,0.8949666196362633,0.8980690967336626,0.9965453915420504
claude:cal_asymmetric_3,claude_cal_asymmetric_3,2,/network/scratch/l/lia/skae/transition_rich_lista_dense_p256_hardinit_table123_20260430/transition_rich_basin_partition/lista_dense_signsplit_p256_hardinit_basin_partition/claude_cal_asymmetric_3/dt_0p03/seed_2/20260430-225608,eligible,0.97265625,6,9,0.9666748046875,13.811963319778442,0.004597942874179799,0.19901550459935724,0.023103440525581286,0.05052650648241118,0.2047037730376681,0.24682743132982538,0.29662019739356826,0.8115932814827611,0.3654788724367585,0.5042910857490861,0.7957953297081226,0.6336944524844688,0.008881653613435027,0.14268727304119144,0.06224559082344394,0.029672221888036324,0.029672221888036324,1.0,0.5682815485509651,15.161135010136437,0.037482783984907675,1.0195091291950862,1.0264673700011295,0.9932211768153568
claude:cal_hexagon_6,claude_cal_hexagon_6,0,/network/scratch/l/lia/skae/transition_rich_lista_dense_p256_hardinit_table123_20260430/transition_rich_basin_partition/lista_dense_signsplit_p256_hardinit_basin_partition/claude_cal_hexagon_6/dt_0p03/seed_0/20260430-230212,eligible,0.9268798828125,5,12,0.9189453125,10.579210996627808,0.004805079837946754,0.22123903920876065,0.021718950937102435,0.06108396163242028,0.24091457456705978,0.2535502957518963,0.35670914176512464,0.7950044432507064,0.448688236642516,0.5636980043408382,0.7919234860829135,0.7118086712253658,0.009954984480907125,0.16833598511073097,0.05913759006643031,0.14289235563330124,0.14289235563330127,0.9999999999999998,0.6621126857468959,24.040340617949212,0.02754173479774007,0.9799479072783193,0.9901179431680407,0.989728460169926
claude:cal_hexagon_6,claude_cal_hexagon_6,1,/network/scratch/l/lia/skae/transition_rich_lista_dense_p256_hardinit_table123_20260430/transition_rich_basin_partition/lista_dense_signsplit_p256_hardinit_basin_partition/claude_cal_hexagon_6/dt_0p03/seed_1/20260430-230218,eligible,0.984130859375,5,7,0.9752197265625,10.29818320274353,0.005811966560144885,0.28085125706133657,0.020694109120101178,0.04927625920913968,0.25902208419158906,0.1902396058734971,0.3903573606039878,0.78658035327822,0.4962714349234644,0.5334907627575659,0.7923069170667787,0.6733385147420103,0.009347997533230347,0.21239026356739263,0.04401330539459581,0.13488594261660017,0.13488594261660017,1.0,0.5758348259463014,25.09019352240624,0.022950593244012444,1.0279124222851104,1.0398401464091083,0.9885292713835026
claude:cal_hexagon_6,claude_cal_hexagon_6,2,/network/scratch/l/lia/skae/transition_rich_lista_dense_p256_hardinit_table123_20260430/transition_rich_basin_partition/lista_dense_signsplit_p256_hardinit_basin_partition/claude_cal_hexagon_6/dt_0p03/seed_2/20260430-230218,eligible,0.9444580078125,5,10,0.9381103515625,10.211084842681885,0.005221545106215976,0.23959518839398053,0.021793196855146694,0.05597717374782928,0.2419152108908021,0.23139170762229075,0.348404227851142,0.7909678594191616,0.44047836293498543,0.5509964556434794,0.7879729986767954,0.699258041289157,0.011452593300375418,0.18574810975966977,0.06165658059828096,0.07398801956864322,0.07398801956864322,1.0,0.5923613252146063,24.171792855096903,0.024506304880471456,0.9757408774259734,0.9861119628222967,0.9894828520621118
claude:cal_high_cross_3,claude_cal_high_cross_3,0,/network/scratch/l/lia/skae/transition_rich_lista_dense_p256_hardinit_table123_20260430/transition_rich_basin_partition/lista_dense_signsplit_p256_hardinit_basin_partition/claude_cal_high_cross_3/dt_0p03/seed_0/20260430-230521,eligible,0.966552734375,4,7,0.9559326171875,10.166420459747314,0.006630500955076991,0.07636848084674139,0.08682248070880555,0.024354433423610364,0.08385020485995151,0.2904516866033623,0.39394653637873445,0.7522772441443456,0.5236720098144357,0.5771924887777715,0.7584770640539082,0.7609887182254307,0.015960255216609785,0.06411178039670373,0.2489441896302473,0.16384362664870186,0.1638436266487019,0.9999999999999998,0.9465064633971669,5.42544601504889,0.17445689456162392,0.842876903659874,0.8455198335359795,0.9968741952923178
