root_label,system_name,seed,h100_best_periodic_mean,h500_best_periodic_mean,h1000_best_periodic_mean,h100_best_periodic_is_finite,h500_best_periodic_is_finite,h1000_best_periodic_is_finite
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_high_cross_3,7,0.21216565370559692,0.32994553446769714,0.3446708023548126,True,True,True
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_high_cross_3,8,0.2838870882987976,0.49679672718048096,0.5234560966491699,True,True,True
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_high_cross_3,9,0.08360981941223145,0.16253714263439178,0.17240454256534576,True,True,True
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_octagon_8,0,0.035433124750852585,0.0511285737156868,0.05309830978512764,True,True,True
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_octagon_8,1,0.08135765790939331,0.10377728193998337,0.10657977312803268,True,True,True
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_octagon_8,2,0.04652497172355652,0.055461131036281586,0.05657833442091942,True,True,True
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_octagon_8,3,0.036771319806575775,0.05062843859195709,0.05235612019896507,True,True,True
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_octagon_8,4,0.05183742195367813,0.0785582959651947,0.08190103620290756,True,True,True
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_octagon_8,5,0.10175227373838425,0.1294565349817276,0.13292044401168823,True,True,True
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_octagon_8,6,0.03994208946824074,0.05355173721909523,0.05525645241141319,True,True,True
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_octagon_8,7,0.021855207160115242,0.02715366519987583,0.027810148894786835,True,True,True
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_octagon_8,8,0.02028009481728077,0.027645722031593323,0.028564734384417534,True,True,True
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_octagon_8,9,0.007309493608772755,0.003683893708512187,0.0032300895545631647,True,True,True
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_pentagon_5,0,0.04314308986067772,0.07455472648143768,0.07848268747329712,True,True,True
lista_blockdiag_signsplit_hardinit_basin_partition,claude_cal_pentagon_5,1,0.01629243977367878,0.03586269170045853,0.038319796323776245,True,True,True
