model,seed,scope,slice,trajectory_transfer_coverage,state_transfer_coverage,num_trajectories,num_families,h_basin_given_family,h_family_given_basin,normalized_h_basin_given_family,normalized_h_family_given_basin,purity,nmi,ari,mean_state_to_rep_jaccard
dense,20,final,deep_test,1.0,1.0,122,1,1.3767165770386773,0.0,1.0,0.0,0.28688524590163933,0.0,0.0,0.9978427574282787
dense,20,final,deep_covered_test,1.0,1.0,122,1,1.3767165770386773,0.0,1.0,0.0,0.28688524590163933,0.0,0.0,0.9978427574282787
sparse,11,final,all_test,0.984375,0.984375,256,10,0.14375734570090612,0.5109855179118874,0.1052596542866074,0.29486141453597153,0.94140625,0.7887046068787453,0.8287410574114492,0.7429047677107303
sparse,11,final,covered_test,0.984375,0.984375,252,9,0.12953570403203293,0.4431197317699208,0.09488895305085562,0.2639638856554357,0.9484126984126984,0.8118643272936363,0.8473504125349617,0.7487345080002992
sparse,11,final,deep_test,0.984375,0.984375,122,4,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9976013967059244
sparse,11,final,deep_covered_test,0.984375,0.984375,122,4,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9976013967059244
sparse,12,final,all_test,0.9921875,0.9921875,256,10,0.2728520747825272,0.6439926910231347,0.19978328705891885,0.3707753977647542,0.90234375,0.7044934794545755,0.7315590757093746,0.6951077247545926
sparse,12,final,covered_test,0.9921875,0.9921875,254,9,0.26954266450081527,0.6074481799875504,0.1972354661586094,0.3563772321177842,0.905511811023622,0.7144386992515313,0.7409085213119391,0.6975263950796134
sparse,12,final,deep_test,0.9921875,0.9921875,122,4,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8815657258286628
sparse,12,final,deep_covered_test,0.9921875,0.9921875,122,4,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8815657258286628
sparse,13,final,all_test,0.9921875,0.9921875,256,11,0.26713200432134454,0.8147869258769828,0.19559503054720082,0.42583306442196134,0.890625,0.6700596966889848,0.6870652976985868,0.6665780374455526
sparse,13,final,covered_test,0.9921875,0.9921875,254,10,0.26923540593017403,0.7859175265626078,0.19713648200148465,0.4175053368168318,0.889763779527559,0.6751520593752739,0.6949348919451868,0.6689272129736947
sparse,13,final,deep_test,0.9921875,0.9921875,122,4,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8493475015784452
sparse,13,final,deep_covered_test,0.9921875,0.9921875,122,4,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8493475015784452
sparse,14,final,all_test,0.98046875,0.98046875,256,10,0.607602493550751,0.9969088781200204,0.44488876796526394,0.5680241556671526,0.69921875,0.485863200720409,0.444291262280818,0.6183037073681834
sparse,14,final,covered_test,0.98046875,0.98046875,251,9,0.5986917829046275,0.9241359747627874,0.43814052063939257,0.5462177397813758,0.7051792828685259,0.5020704733445547,0.4576038334033195,0.6228393023682889
sparse,14,final,deep_test,0.98046875,0.98046875,122,3,0.32675602549145305,0.0,0.2373444403453807,0.0,0.8032786885245902,0.865348372207281,0.7357785422535967,0.7409120173424156
sparse,14,final,deep_covered_test,0.98046875,0.98046875,122,3,0.32675602549145305,0.0,0.2373444403453807,0.0,0.8032786885245902,0.865348372207281,0.7357785422535967,0.7409120173424156
sparse,15,final,all_test,0.9921875,0.9921875,256,12,0.21489704574092228,0.5644542655562294,0.15734840283546053,0.32907077528874573,0.9296875,0.7470490833606752,0.7857023421538823,0.7502297418667501
