system_key,system_name,seed,dense_run_dir,status,current_coverage,family_count_retained,family_count_total,persistent_coverage,elapsed_seconds,activity_leakage_true,activity_leakage_null,activity_leakage_true_over_null,restricted_residual_true,restricted_residual_null,restricted_residual_true_over_null
claude:snic_multi,claude_snic_multi,0,/network/scratch/l/lia/skae/global_k_dense_zero_wd_20260720/runs/neurips_2026_dense_zero_wd_specificity_v1/mlp_zero_sparse_zero_wd_hardinit_basin_partition_control/claude_snic_multi/dt_0p02/seed_0/20260720-134138,eligible,1.0,3,3,0.9749755859375,6.619120836257935,0.018604161444168862,0.044238425407090054,0.42054302957146367,0.01207303404091266,0.02928148145126488,0.4123095363534326
claude:snic_multi,claude_snic_multi,1,/network/scratch/l/lia/skae/global_k_dense_zero_wd_20260720/runs/neurips_2026_dense_zero_wd_specificity_v1/mlp_zero_sparse_zero_wd_hardinit_basin_partition_control/claude_snic_multi/dt_0p02/seed_1/20260720-134138,eligible,0.999755859375,3,3,0.977783203125,10.014701843261719,0.027209748694913667,0.03780883495005158,0.7196664147641647,0.013919192593467893,0.025150237380992,0.5534417978888626
claude:snic_multi,claude_snic_multi,2,/network/scratch/l/lia/skae/global_k_dense_zero_wd_20260720/runs/neurips_2026_dense_zero_wd_specificity_v1/mlp_zero_sparse_zero_wd_hardinit_basin_partition_control/claude_snic_multi/dt_0p02/seed_2/20260720-134138,eligible,0.999755859375,3,3,0.975830078125,15.524637460708618,0.02065324848926927,0.03579425474320871,0.5769989803513883,0.01287688389237116,0.026336403729813974,0.4889385819140507
claude:transition_routes_4,claude_transition_routes_4,0,/network/scratch/l/lia/skae/global_k_dense_zero_wd_20260720/runs/neurips_2026_dense_zero_wd_specificity_v1/mlp_zero_sparse_zero_wd_hardinit_basin_partition_control/claude_transition_routes_4/dt_0p02/seed_0/20260720-134138,eligible,0.969970703125,10,11,0.9617919921875,6.740113735198975,0.009029276778092434,0.009793845149345063,0.9219337900902224,0.00797992814357629,0.01015120722214028,0.7861063190761859
claude:transition_routes_4,claude_transition_routes_4,1,/network/scratch/l/lia/skae/global_k_dense_zero_wd_20260720/runs/neurips_2026_dense_zero_wd_specificity_v1/mlp_zero_sparse_zero_wd_hardinit_basin_partition_control/claude_transition_routes_4/dt_0p02/seed_1/20260720-134138,eligible,1.0,4,4,0.995361328125,7.024690628051758,0.021487020578551612,0.03526009476669001,0.6093863536308548,0.014305005709081282,0.028704422215745738,0.498355465982322
claude:transition_routes_4,claude_transition_routes_4,2,/network/scratch/l/lia/skae/global_k_dense_zero_wd_20260720/runs/neurips_2026_dense_zero_wd_specificity_v1/mlp_zero_sparse_zero_wd_hardinit_basin_partition_control/claude_transition_routes_4/dt_0p02/seed_2/20260720-134138,eligible,0.93017578125,9,12,0.924072265625,6.21691107749939,0.01224756097580258,0.007930756917006664,1.5443117351811642,0.008313471935145589,0.008505571495725646,0.9774148555830029
claude:var_depth_gradient_4,claude_var_depth_gradient_4,0,/network/scratch/l/lia/skae/global_k_dense_zero_wd_20260720/runs/neurips_2026_dense_zero_wd_specificity_v1/mlp_zero_sparse_zero_wd_hardinit_basin_partition_control/claude_var_depth_gradient_4/dt_0p03/seed_0/20260720-134140,eligible,0.97314453125,2,3,0.9637451171875,6.680284261703491,0.0244522678187776,0.05720444953103232,0.4274539484120499,0.01823775597964662,0.04667922162344252,0.3907039437540135
claude:var_depth_gradient_4,claude_var_depth_gradient_4,1,/network/scratch/l/lia/skae/global_k_dense_zero_wd_20260720/runs/neurips_2026_dense_zero_wd_specificity_v1/mlp_zero_sparse_zero_wd_hardinit_basin_partition_control/claude_var_depth_gradient_4/dt_0p03/seed_1/20260720-134140,eligible,0.9703369140625,3,4,0.9488525390625,6.2871198654174805,0.02508405954010364,0.04205843331440662,0.5964097462353976,0.018181605213324424,0.0358434872260429,0.5072498972732253
claude:var_depth_gradient_4,claude_var_depth_gradient_4,2,/network/scratch/l/lia/skae/global_k_dense_zero_wd_20260720/runs/neurips_2026_dense_zero_wd_specificity_v1/mlp_zero_sparse_zero_wd_hardinit_basin_partition_control/claude_var_depth_gradient_4/dt_0p03/seed_2/20260720-134140,eligible,0.9876708984375,3,4,0.974365234375,6.713080644607544,0.01478813328758548,0.04146771095221585,0.3566180275691168,0.010786394775045675,0.03591565721843795,0.3003256966576762
claude:var_diamond_4,claude_var_diamond_4,0,/network/scratch/l/lia/skae/global_k_dense_zero_wd_20260720/runs/neurips_2026_dense_zero_wd_specificity_v1/mlp_zero_sparse_zero_wd_hardinit_basin_partition_control/claude_var_diamond_4/dt_0p03/seed_0/20260720-134140,eligible,1.0,2,2,0.9954833984375,16.758838891983032,0.01849282717478028,0.0433509187207348,0.42658443512836414,0.01347570070834249,0.032491056520369196,0.4147510777279386
