benchmark,condition,model,split,horizon,latent_dim,sparsity_coefficient,metric_name,mean,std,ci95_low,ci95_high,n,bootstrap_resamples
lorenz96,D64_F8.0_obs1.0_noise0.0,dmd,test,1,0,0.0,max_abs_error,4.669677793979645,6.502949788831364,0.07139790058135986,9.26795768737793,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,dmd,test,1,0,0.0,nrmse,1.4483480022293465,2.005154247528335,0.03048983647705175,2.866206167981641,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,dmd,test,1,0,0.0,power_spectrum_error,0.8372075338847935,1.1785476354146884,0.003848508931696415,1.6705665588378906,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,dmd,test,1,0,0.0,relative_l2,1.44834800157696,2.005154250072736,0.030489834025502205,2.866206169128418,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,dmd,test,1,0,0.0,temporal_corr,0.5668071593258603,0.6119863529986114,0.13406745912691803,0.9995468595248027,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,dmd,test,10,0,0.0,autocorr_error,0.19605516269803047,0.2348870578077368,0.029964931309223175,0.36214539408683777,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,dmd,test,10,0,0.0,max_abs_error,24.35156339406967,33.759206296083434,0.4801996946334839,48.22292709350586,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,dmd,test,10,0,0.0,nrmse,5.613232615353693,7.778625231073078,0.11291396615314499,11.113551264554241,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,dmd,test,10,0,0.0,power_spectrum_error,4.8252395847812295,6.780890572840671,0.03042587824165821,9.6200532913208,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,dmd,test,10,0,0.0,relative_l2,5.613233033567667,7.778625811943824,0.11291397362947464,11.11355209350586,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,dmd,test,10,0,0.0,temporal_corr,0.46976597121919256,0.7416303633658262,-0.05464588785062638,0.9941778302890115,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,dmd,test,5,0,0.0,autocorr_error,0.199266554787755,0.22952912125154318,0.03696495667099953,0.3615681529045105,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,dmd,test,5,0,0.0,max_abs_error,14.437072277069092,20.012659559482888,0.28598499298095703,28.588159561157227,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,dmd,test,5,0,0.0,nrmse,3.4969461420375123,4.8592308727185785,0.06095104058718028,6.932941243487845,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,dmd,test,5,0,0.0,power_spectrum_error,2.5772917298600078,3.636677234688338,0.005772596225142479,5.148810863494873,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,dmd,test,5,0,0.0,relative_l2,3.4969459995627403,4.859230673197578,0.06095103919506073,6.93294095993042,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,dmd,test,5,0,0.0,temporal_corr,0.4335243183876752,0.7986786729891491,-0.1312267872720251,0.9982754240473755,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,persistence,test,0,0,0.0,valid_prediction_never_crossed,0.0,0.0,0.0,0.0,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,persistence,test,0,0,0.0,valid_prediction_time,5.0,0.0,5.0,5.0,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,persistence,test,1,0,0.0,max_abs_error,0.7671560645103455,0.02417281920124114,0.7500633001327515,0.7842488288879395,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,persistence,test,1,0,0.0,nrmse,0.25629470064616056,0.008261241005338356,0.2504531211102694,0.26213628018205165,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,persistence,test,1,0,0.0,power_spectrum_error,0.009971819119527936,0.008441896206537399,0.004002497065812349,0.015941141173243523,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,persistence,test,1,0,0.0,relative_l2,0.25629468262195587,0.008261224850044595,0.2504531145095825,0.2621362507343292,2,2000
