seed,sparse_active_density,sparse_source_capture,dense_source_capture,family_eligible,family_train_fit_count,family_qualified_count,family_coverage,qualified_family_coverage,fit_frozen_top_two,family_source_capture,family_initial_reconstruction_ratio,signature_observed_over_null,coordinate_distance_observed_over_null_descriptive,signature_1_family_index,signature_1_cardinality,signature_1_mu,signature_1_s,signature_1_r,signature_2_family_index,signature_2_cardinality,signature_2_mu,signature_2_s,signature_2_r,fit_frozen_pair_cardinalities,fit_frozen_pair_intersection,fit_frozen_pair_jaccard,h160_sparse_k_leakage,h160_sparse_k_null,h160_sparse_kminusI_leakage,h160_sparse_rho,h160_sparse_full_mse,h160_sparse_mask_once_mse,h160_sparse_restricted_mse,h160_dense_k_leakage,h160_dense_k_null,h160_dense_kminusI_leakage,h160_dense_rho,h160_dense_full_mse,h160_dense_mask_once_mse,h160_dense_restricted_mse,h160_correct_family_rho,h160_wrong_family_rho,h200_sparse_k_leakage,h200_sparse_k_null,h200_sparse_kminusI_leakage,h200_sparse_rho,h200_sparse_full_mse,h200_sparse_mask_once_mse,h200_sparse_restricted_mse,h200_dense_k_leakage,h200_dense_k_null,h200_dense_kminusI_leakage,h200_dense_rho,h200_dense_full_mse,h200_dense_mask_once_mse,h200_dense_restricted_mse,h200_correct_family_rho,h200_wrong_family_rho,sparse_matrix_k_leakage,sparse_matrix_k_null,sparse_matrix_kminusI_leakage,dense_matrix_k_leakage,dense_matrix_k_null,dense_matrix_kminusI_leakage
64,0.7056007385253906,0.9999999977092017,0.995060125672769,False,1,1,1.0,1.0,0,,,,,,,,,,,,,,,,,,0.0021425074934681818,0.0006369160481068208,0.3967879037529922,0.9966708744610348,0.041378783657772825,0.0413787027363926,0.04124094784034363,0.0016575608057001103,0.0005483941448604516,0.38054178659481985,0.9727093901849195,0.04522263258422059,0.045403019869140214,0.04416394376946516,,,0.0021182568293729954,0.0006369812160258966,0.4000172680607525,0.9848382175694891,0.043901524701251395,0.04390145258786106,0.04323582831534052,0.001645946904930998,0.00054881533882512,0.3840843950253451,0.960781974985253,0.0478272055315843,0.04797908825594604,0.04609744317253959,,,0.0006426385876967717,0.0006496798494480886,0.523517588785767,0.0005676739468141525,0.0005702043781232823,0.534256540716287
65,0.6850357055664062,0.9999999975728259,0.9926088967723922,False,1,1,1.0,1.0,0,,,,,,,,,,,,,,,,,,0.002274406616214968,0.0006725256727359797,0.42240870821217796,1.0107023913511752,0.039422094151107964,0.03942209263723729,0.03984400330052329,0.001928866319243293,0.0005372166000070301,0.39382439808739855,0.9877570971066704,0.044312523658247296,0.04447103534751352,0.04392658078018808,,,0.002248090471327094,0.0006720046507670025,0.4251580631955496,0.9955640826121733,0.04168885974304079,0.041688837112891355,0.041503908875464006,0.0019091819830791396,0.0005372710697135983,0.3963231768475994,0.974339922424782,0.04620512928851118,0.04629726238443263,0.045109271040127866,,,0.0006895363255969233,0.0006996988062055951,0.5353920691646422,0.0005576477355049803,0.0005697487811289594,0.5401821326551097
66,0.6810894012451172,0.9999999972374669,0.9947957095061932,False,1,1,1.0,1.0,0,,,,,,,,,,,,,,,,,,0.002387773074757239,0.0006872843946192663,0.42252292709732925,0.9830626218756751,0.04169630615453507,0.04169624606040857,0.04099002097451854,0.0016924125289216117,0.0006433319356540653,0.3536919292892607,0.9839186440094578,0.046901121283514556,0.04732985835856757,0.046568730057321504,,,0.002349801758476918,0.0006876720762233311,0.42549147552916,0.9733684806218681,0.04407752077564428,0.044077476270927625,0.04290362610747927,0.0016865013610970604,0.0006426245829038179,0.35731534294828404,0.9726930983695437,0.04904497358840994,0.04938637499803551,0.04803778611407933,,,0.0007005471339394492,0.0007106446135969877,0.5392620710475378,0.000661490058701887,0.0006636802701929841,0.552883294508498
67,0.7179374694824219,0.999999998062854,0.9963209438455971,False,1,1,1.0,1.0,0,,,,,,,,,,,,,,,,,,0.0020013051925305866,0.0004730400088338498,0.41901438533504975,1.0200677297373184,0.046256996212201196,0.046257004674536084,0.04718527774280255,0.0016879784565445551,0.0005534588391053478,0.38733344575235235,1.017725661137586,0.04386278370639784,0.04370968255578482,0.044484465577200115,,,0.001988390617742789,0.0004726558054589713,0.4209547301491445,1.004075879330922,0.04870282396262894,0.04870285098094106,0.04890135792461125,0.0016756546125302725,0.0005532882456086548,0.3905867969145727,1.0017406932407396,0.046039705967934295,0.04591432969175742,0.04599425245510495,,,0.000478343819860261,0.00048181703461702154,0.5168986950338066,0.0005722490939470486,0.0005720972827504473,0.5229871382028151
68,0.6944255828857422,0.9999999977201651,0.9948163012750176,False,1,1,1.0,1.0,0,,,,,,,,,,,,,,,,,,0.0021315017716289062,0.0006609398815143228,0.4070196551684806,1.0184751867288289,0.040256480967146055,0.04025641785337918,0.041000162690254124,0.0017579014905712935,0.0005691405185342217,0.3597849522653088,0.9907328996194096,0.04247863447911969,0.04236043850879666,0.04196788007296981,,,0.0021031127887086087,0.0006604604813000635,0.4098859125397235,1.00351302493161,0.042908455416351056,0.04290837364491542,0.04305911183130485,0.0017424067491328614,0.0005693558273071875,0.3637442405972916,0.9814222026293427,0.04503964999446767,0.04495252877455566,0.044117409803683325,,,0.000669770374143028,0.0006781232578793139,0.5298886269078729,0.0005961333534971051,0.0006031191749044161,0.5384043095393396
69,0.6994132995605469,0.999999997952668,0.9949942062242326,False,1,1,1.0,1.0,0,,,,,,,,,,,,,,,,,,0.002016671675002862,0.0006462172350559086,0.4070699054943341,0.9919431965299962,0.043106128347477214,0.043106140319979225,0.042758842619070744,0.00154999030614282,0.0005409673211250845,0.3526408863880738,0.9903356117956578,0.049963861496490694,0.049727742441956296,0.049247154234471686,,,0.001988720644507491,0.0006466024411657013,0.41001767045786863,0.98215885940136,0.045435978414538086,0.04543597459645587,0.044625344985444265,0.001547265587402288,0.0005411112217327302,0.3560580637757573,0.9784934010547238,0.05230445580348717,0.05209190494422045,0.050971585236289654,,,0.0006554459624241011,0.000663834292660713,0.5273043010153599,0.0005442773217458894,0.0005499398079646556,0.5357049329955391
70,0.6962089538574219,0.9999999977174175,0.9950250433415956,False,1,1,1.0,1.0,0,,,,,,,,,,,,,,,,,,0.0021895192593799945,0.0005907674365963577,0.41721248382255977,1.02025835228889,0.04187676790996897,0.041876757550965774,0.04272511165814967,0.0016338095955005314,0.000499713731452339,0.3714841115651366,0.9861967123123818,0.04412288611034041,0.04398303106102299,0.043375920629914244,,,0.0021700534838187393,0.0005900648590202843,0.41977696329524117,1.003141429492083,0.044421032706722,0.04442105083358278,0.04456059643274072,0.001623490642226853,0.0005003495651109005,0.3749650937262879,0.9773575078414697,0.04658565422623778,0.04646823908494085,0.04541608234583936,,,0.0006141421465507557,0.0006210449421792376,0.5312099630571745,0.0005104697374370879,0.0005159929355504182,0.5378235902087363
71,0.6853790283203125,0.9999999974812609,0.9942359023589937,False,1,1,1.0,1.0,0,,,,,,,,,,,,,,,,,,0.0021652057473460972,0.0006726991781181701,0.40898746408127196,0.9856851372170077,0.039099054783546514,0.039099182965481996,0.03853948352640401,0.0017573014680202855,0.0006208525910974833,0.3681625495692583,0.9847938565276725,0.040260385556019365,0.04036906765437524,0.03975520981977872,,,0.002136423787978664,0.0006718474503112276,0.4120447339312106,0.9781242830844538,0.04189426098052011,0.04189444680704952,0.04097797574836509,0.0017484948121349376,0.0006204951229435361,0.3727234241447374,0.9741899371272715,0.04252272285859506,0.04262641656534386,0.041526226073753225,,,0.0006726533692085952,0.0006844387690029597,0.5346401853743515,0.0006250675655552919,0.0006292285498204793,0.5493262944049041
72,0.6954765319824219,0.9999999976046258,0.9946820360503883,False,1,1,1.0,1.0,0,,,,,,,,,,,,,,,,,,0.0020492615940507085,0.0006572863135011602,0.39651892228863955,1.0136477841127756,0.0471308295105127,0.047130793131204815,0.047774024020923386,0.0016747107844841856,0.0005282132416159458,0.4113703704220565,1.0079730238188156,0.04707577547246673,0.047182280499457024,0.04755846594570523,,,0.002023984701966962,0.0006553545806633605,0.39988850464190334,0.9956311784073745,0.04991604082322747,0.04991602297806802,0.049697948779063444,0.0016566836081612917,0.0005286695184304621,0.41478366145080614,0.9957230605302564,0.04899627902477022,0.049072569885499275,0.04886268947447423,,,0.0006717000711193366,0.0006792445789817265,0.5313255082596551,0.0005355343665576213,0.0005394343230898167,0.5439801634107478
73,0.6976566314697266,0.9999999977589071,0.9953402251684069,False,1,1,1.0,1.0,0,,,,,,,,,,,,,,,,,,0.002049263801793604,0.0006437188454338407,0.3978585006915703,1.0096488916856166,0.04172975943877862,0.04172978866322736,0.04213243487410251,0.001637400418154503,0.0006122599690522902,0.35892222990855926,0.9824187510853971,0.04614756741005417,0.04621178584641429,0.04539932493666016,,,0.0020207876242208005,0.0006435324974198218,0.4006096775647779,0.9948189236095939,0.04420634050602965,0.044206361720552305,0.0439773251835362,0.0016260578977087374,0.000611618039835344,0.362337532595969,0.9713013654490051,0.04852510034810544,0.048578173979455526,0.047184046717264484,,,0.0006403134242577869,0.0006503214479435448,0.5263218477637838,0.0006189302488667429,0.0006191528899578773,0.5428688698167177
